len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
1CMET2-PWY	61	46	0.0228818252570604	0.0212974105321291	0.00216191356372499	0.00220850287390571	0.726128832212778	0.326620243758802	1.12563742066675
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	61	46	0.00100228556707564	0.00169175483089602	0.00226412399377467	0.00297037601425147	-0.26615410385594	-0.655026551866938	0.122718344155058
7ALPHADEHYDROX-PWY	61	46	0.000102826670639874	8.76521695276309e-05	0.000373573368677416	0.00034486481396584	0.0419708075752603	-0.345266490192623	0.429208105343144
AEROBACTINSYN-PWY	61	46	9.67456769652211e-05	0.000392966956540214	0.000365666204130972	0.00178241582669698	-0.247024318205069	-0.63566480167193	0.141616165261793
ALL-CHORISMATE-PWY	61	46	0	8.63708267479359e-05	0	0.000585795447919843	-0.225221308230725	-0.613618351022993	0.163175734561542
ALLANTOINDEG-PWY	61	46	0.00104741865212065	0.00174449423729001	0.00127462276810104	0.00198975856926131	-0.430231862115745	-0.821794072501884	-0.0386696517296061
ANAEROFRUCAT-PWY	61	46	0.0189623555249088	0.0176846121216054	0.00269354129602378	0.00153055035666401	0.563053416797948	0.168408329214332	0.957698504381563
ANAGLYCOLYSIS-PWY	61	46	0.0218307679180068	0.0204897386022719	0.00250550601398829	0.00175448014443218	0.60541966363008	0.209623987325548	1.00121533993461
ARG+POLYAMINE-SYN	61	46	0.00844753438370865	0.0100913122229125	0.00364480735955945	0.00409944483169044	-0.427372888782846	-0.818877575158653	-0.035868202407039
ARGDEG-PWY	61	46	0.00212891698036276	0.00333305388704919	0.00364654398938016	0.00409517827704218	-0.313150767125962	-0.702665797943958	0.0763642636920333
ARGININE-SYN4-PWY	61	46	0.00615361794431975	0.00875482555275748	0.00424885135817035	0.0044527744732609	-0.599712950294934	-0.995348980544984	-0.204076920044885
ARGORNPROST-PWY	61	46	0.00473146151321397	0.00533546004663993	0.00261306004571206	0.00201586372361033	-0.254253761282384	-0.642979891010599	0.134472368445831
ARGSYN-PWY	61	46	0.0255653427750206	0.022844602128281	0.00333775954720123	0.00319981602104466	0.829658139330248	0.426463095784836	1.23285318287566
ARGSYNBSUB-PWY	61	46	0.0260436758178973	0.0230833607371957	0.00349014811589288	0.00336081228390712	0.861730373105488	0.457301332679172	1.2661594135318
ARO-PWY	61	46	0.0254679539664341	0.0229885240771974	0.00286253483808488	0.00272254788525619	0.884437818408255	0.479109176813791	1.28976646000272
ASPASN-PWY	61	46	0.0152661597756119	0.0152164850468992	0.00328320095349901	0.00323496040766348	0.0152254395205021	-0.371975568827634	0.402426447868638
AST-PWY	61	46	0.00172686411353811	0.00276289440925805	0.00284430879483739	0.00369121019703805	-0.320302806508416	-0.709924664480532	0.0693190514636997
BIOTIN-BIOSYNTHESIS-PWY	61	46	0.00736527681678508	0.00934984549102045	0.00363985990376338	0.00395020837634316	-0.525575576157946	-0.919269857597964	-0.131881294717928
BRANCHED-CHAIN-AA-SYN-PWY	61	46	0.0249994904982051	0.0230511237905508	0.00307882119979844	0.00225585736095953	0.706858257156736	0.307985112432191	1.10573140188128
CALVIN-PWY	61	46	0.0248771516291717	0.0227812562914845	0.00293286877076116	0.00245552866919999	0.765343821164773	0.364492675200546	1.166194967129
CATECHOL-ORTHO-CLEAVAGE-PWY	61	46	0.000274120489966296	0.000493078597010576	0.00113607816600011	0.00131856839301119	-0.179821432576665	-0.567783320646307	0.208140455492977
CENTFERM-PWY	61	46	0.006442443423318	0.00637931627817662	0.00254190087138447	0.00220691290921974	0.0262585880457958	-0.360953278520223	0.413470454611815
CITRULBIO-PWY	61	46	0.00777805802467042	0.0101870388367188	0.00359721307332427	0.0041587295622655	-0.626049209278733	-1.02243405430207	-0.229664364255396
COA-PWY-1	61	46	0.0250809023860154	0.0232290336315495	0.0023244346730215	0.00269076813687041	0.74430583000632	0.344183156029195	1.14442850398344
COA-PWY	61	46	0.023137460278381	0.0212084151803594	0.00214353923726317	0.00236264219211624	0.861155395054477	0.456748855442731	1.26556193466622
COBALSYN-PWY	61	46	0.0155785850218738	0.0141596759295257	0.00271935275212532	0.00248353439053312	0.541385035800051	0.147297376303284	0.935472695296817
CODH-PWY	61	46	4.28458341130661e-05	0.000122386245973922	0.000334636661995524	0.000377990254823386	-0.224774403318584	-0.61316668979168	0.163617883154513
COLANSYN-PWY	61	46	0.0101508393326899	0.0104371818937334	0.00184758337901115	0.00268661621366904	-0.127496571090589	-0.515077532796948	0.260084390615769
COMPLETE-ARO-PWY	61	46	0.0247072976825015	0.0223430929572235	0.00278710565357544	0.00244866121250685	0.893041924658961	0.48736683486361	1.29871701445431
CRNFORCAT-PWY	61	46	0.000451978593365565	0.000502438842228067	0.000823037392551379	0.000922457096500448	-0.0581981007657857	-0.445473955332062	0.32907775380049
DAPLYSINESYN-PWY	61	46	0.013546690293281	0.0115335650565275	0.00429150146157844	0.00412643686348064	0.476868757185665	0.0843153594933896	0.869422154877941
DENITRIFICATION-PWY	61	46	6.49170958709378e-05	0.000164801586801284	0.000247894231868872	0.000665694306723517	-0.210558089991643	-0.598803976802171	0.177687796818884
