len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
1CMET2-PWY	30	30	0.0193557206341292	0.0197069759189977	0.00224977432731715	0.00235841839662228	-0.152405823928314	-0.669996821334728	0.365185173478099
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	30	30	0.00140648870940101	0.00134135518994134	0.00178980407330165	0.00252075669745232	0.0297950983976152	-0.487074809345186	0.546665006140417
7ALPHADEHYDROX-PWY	30	30	0	0	0	0	NA	NA	NA
AEROBACTINSYN-PWY	30	30	0.00030796121597241	0.00121629578413663	0.000978879438369495	0.00214969099752439	-0.543836073855567	-1.07014433666717	-0.0175278110439625
ALL-CHORISMATE-PWY	30	30	0	0	0	0	NA	NA	NA
ALLANTOINDEG-PWY	30	30	0.000347880932918963	0.00149167721876266	0.00094405125742949	0.00149585870344407	-0.914477387980175	-1.45766095305599	-0.371293822904364
ANAEROFRUCAT-PWY	30	30	0.0131195341809175	0.0145383853484001	0.00302832460528062	0.0014184932896971	-0.600033006776998	-1.12837645598766	-0.0716895575663332
ANAGLYCOLYSIS-PWY	30	30	0.0153351859849966	0.0173965000494615	0.00300475692227805	0.00113959390554211	-0.907124845944532	-1.4498965948168	-0.364353097072261
ARG+POLYAMINE-SYN	30	30	0.00754987629780415	0.00963727312785476	0.00356892478290379	0.00484070788646587	-0.490848764873867	-1.01541500657846	0.0337174768307245
ARGDEG-PWY	30	30	0.00217536934173866	0.00447232570049967	0.00271493898569375	0.00440240422847085	-0.628042673514772	-1.15747196069164	-0.0986133863379047
ARGININE-SYN4-PWY	30	30	0.00652120893920577	0.0108940129353998	0.00483093505505554	0.00360792043167053	-1.0256349110007	-1.57540699065292	-0.475862831348484
ARGORNPROST-PWY	30	30	0.000837711925217469	0.00226707103475926	0.00149242198360944	0.00228146725538352	-0.741466169731326	-1.27577140346253	-0.207160936000123
ARGSYN-PWY	30	30	0.0153118324919272	0.0151061074225581	0.00367829884391503	0.00344351359574589	0.0577418651055019	-0.459207056433606	0.57469078664461
ARGSYNBSUB-PWY	30	30	0.0142605060369359	0.0145947827716139	0.00327659356022591	0.00361548940522218	-0.0968860503305769	-0.614030414707356	0.420258314046203
ARO-PWY	30	30	0.0191914377322231	0.017492871084477	0.00444882530892263	0.00173778288957934	0.502940394159833	-0.0220081568189978	1.02788894513866
ASPASN-PWY	30	30	0.0186229314780459	0.0156194043335679	0.00445206760451692	0.00229481683874193	0.848049910683952	0.308476926768613	1.38762289459929
AST-PWY	30	30	0.00167725748732732	0.00367487228693493	0.00201544662866397	0.00374045720991133	-0.66489261513887	-1.19582222621399	-0.133963004063745
BIOTIN-BIOSYNTHESIS-PWY	30	30	0.00609715467563509	0.0107576459794416	0.00368999182346929	0.00376345121540382	-1.25049992196941	-1.81560117238406	-0.685398671554765
BRANCHED-CHAIN-AA-SYN-PWY	30	30	0.024453966591967	0.0182801998844497	0.00535352066356876	0.00274282933291813	1.45148030845483	0.87055688265514	2.03240373425452
CALVIN-PWY	30	30	0.0178233437214234	0.017206309090529	0.00342683029851049	0.00246290592669851	0.206777794331903	-0.311442760226066	0.724998348889872
