len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
1CMET2-PWY	21	25	0.0200636963790876	0.0198011574291025	0.00225099217748124	0.0020409089113	0.122741359282089	-0.474375024397531	0.71985774296171
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	21	25	0.000552442704397832	0.00191607558908661	0.00106228085308646	0.00292435080508063	-0.599287007052839	-1.20899081601689	0.010416801911212
7ALPHADEHYDROX-PWY	21	25	0	0	0	0	NA	NA	NA
AEROBACTINSYN-PWY	21	25	0	0.00103914725308437	0	0.00318708329556818	-0.441473253610314	-1.04520119586474	0.162254688644115
ALL-CHORISMATE-PWY	21	25	0	0	0	0	NA	NA	NA
ALLANTOINDEG-PWY	21	25	0.00127641252923014	0.00154901637190011	0.00102026690968061	0.00164242342928565	-0.195489035698169	-0.793460646778558	0.402482575382221
ANAEROFRUCAT-PWY	21	25	0.0151574628909273	0.0152115066080792	0.00201175006175017	0.00181606417259191	-0.0283321859627831	-0.624921065088147	0.568256693162581
ANAGLYCOLYSIS-PWY	21	25	0.0185996125944276	0.0180261382332477	0.00214468229521751	0.00164081105202476	0.30397233498272	-0.295996148868095	0.903940818833535
ARG+POLYAMINE-SYN	21	25	0.00713791226589658	0.00975615358958601	0.0034201538901611	0.00385930483715882	-0.714153280521534	-1.32929512707731	-0.0990114339657542
ARGDEG-PWY	21	25	0.00123175978573047	0.00396336740228521	0.0018247395948321	0.00449554661362323	-0.771471546833051	-1.38966158974782	-0.153281503918285
ARGININE-SYN4-PWY	21	25	0.0124120558430414	0.0129203876357859	0.00326973407411497	0.00344698777039167	-0.150948928690579	-0.748350646040717	0.44645278865956
ARGORNPROST-PWY	21	25	0.00156921269258652	0.00313586299701189	0.00116911144437244	0.00189704561561941	-0.974550662554561	-1.60527509063556	-0.343826234473563
ARGSYN-PWY	21	25	0.0200045692422193	0.018036911957372	0.00348726024549617	0.00296479552258066	0.612437538792121	0.00215707797150444	1.22271799961274
ARGSYNBSUB-PWY	21	25	0.0194685257534193	0.0172463727587883	0.00372385875124621	0.00290820549859288	0.672561667114005	0.0594930189676836	1.28563031526033
ARO-PWY	21	25	0.020512685802231	0.0199484202967481	0.00241388265466571	0.00181276791421861	0.267758646877952	-0.33144757767588	0.866964871431784
ASPASN-PWY	21	25	0.0152300232312608	0.0158123728221252	0.0031165265065692	0.00296387375003787	-0.191927685470815	-0.789848360920552	0.405992989978923
AST-PWY	21	25	0.000972027673031976	0.00349085877668886	0.00125985342227257	0.00392978259217677	-0.832926239573777	-1.45462706842051	-0.211225410727043
BIOTIN-BIOSYNTHESIS-PWY	21	25	0.00987005498133956	0.0121418248255004	0.00193367857262949	0.00334909977450707	-0.812504244355882	-1.43301079829004	-0.191997690421724
BRANCHED-CHAIN-AA-SYN-PWY	21	25	0.0213979936917362	0.0206639422828423	0.00265903771477943	0.00191032596664335	0.321766510283659	-0.278611502941684	0.922144523509001
CALVIN-PWY	21	25	0.0185381206316241	0.0186184909130156	0.00220168507567674	0.0026791567560271	-0.0324915324555407	-0.629089772321658	0.564106707410577
