len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
1CMET2-PWY	28	32	0.0215019133148058	0.0217047560816465	0.00127791425152436	0.00134333708657799	-0.154454239488079	-0.673216179932789	0.364307700956631
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	28	32	0.000156050302378453	0.000536479395747891	0.000490817690148122	0.00093399756047941	-0.50021794051569	-1.02621443421115	0.0257785531797704
7ALPHADEHYDROX-PWY	28	32	0.000100191213486171	0	0.000375722582361584	0	0.390835903635306	-0.132057858359706	0.913729665630318
AEROBACTINSYN-PWY	28	32	0.000157500738075586	0.000208713594155592	0.000398472413337273	0.000575695476163441	-0.102210061952176	-0.620540274277744	0.416120150373392
ALL-CHORISMATE-PWY	28	32	0	0	0	0	NA	NA	NA
ALLANTOINDEG-PWY	28	32	0.00116915787805528	0.00137863780429562	0.00137912648028415	0.00132323070940561	-0.155223298842155	-0.673992903941206	0.363546306256897
ANAEROFRUCAT-PWY	28	32	0.0179213338604049	0.0177274066404817	0.00132244732355874	0.0013148299541468	0.147094924972852	-0.371595590248147	0.665785440193851
ANAGLYCOLYSIS-PWY	28	32	0.0208385221239967	0.0202639705200767	0.00143211805400968	0.0011769240538666	0.441297782667968	-0.0829349827238048	0.965530548059741
ARG+POLYAMINE-SYN	28	32	0.00808792189475818	0.00933237446938415	0.00204498493919184	0.00288985642523501	-0.491514416610191	-1.0172368701341	0.0342080369137187
ARGDEG-PWY	28	32	0.000730031218396445	0.00148298871849559	0.00134159296329429	0.00180918603941464	-0.468107660005572	-0.993116317385649	0.0569009973745047
ARGININE-SYN4-PWY	28	32	0.0109406017871312	0.00887289597139164	0.00264978681911515	0.00301177296718108	0.725768083560088	0.191066740459604	1.26046942666057
ARGORNPROST-PWY	28	32	0.00486246927505746	0.00520123074173687	0.00168262372211336	0.00157735984723998	-0.208185545087691	-0.727574195792904	0.311203105617521
ARGSYN-PWY	28	32	0.0232085120817472	0.0236557396279481	0.00219008341557924	0.00195537698381624	-0.216265764739704	-0.735764647227175	0.303233117747767
ARGSYNBSUB-PWY	28	32	0.0232246109774829	0.0236174169473329	0.00229217124838391	0.00206349792274971	-0.180771230555574	-0.699817015616531	0.338274554505383
ARO-PWY	28	32	0.0235608068191554	0.0237217057826994	0.00160182760223209	0.00152974623362228	-0.102895340548913	-0.621230080079588	0.415439398981761
ASPASN-PWY	28	32	0.0150293129535905	0.0143009890622935	0.00225556909716558	0.00149646085937919	0.385724961594064	-0.137042061494827	0.908491984682955
AST-PWY	28	32	0.000725583866743145	0.00125603621107947	0.00155309412010652	0.00163708835962753	-0.331836191376742	-0.853366819552323	0.189694436798839
BIOTIN-BIOSYNTHESIS-PWY	28	32	0.00821874402507445	0.00850957875866011	0.00248374160415058	0.00253203639532555	-0.115885649711491	-0.634311921617609	0.402540622194627
BRANCHED-CHAIN-AA-SYN-PWY	28	32	0.0241453073597759	0.0240716933211502	0.00136941898463127	0.0015120308230057	0.0508597903749895	-0.4672171854458	0.568936766195779
CALVIN-PWY	28	32	0.022488299659881	0.02258885696254	0.00148911508620951	0.00154283866884158	-0.0662404041459405	-0.584375417238575	0.451894608946695
CATECHOL-ORTHO-CLEAVAGE-PWY	28	32	6.23235157200488e-05	0.000193327518114646	0.000329785046852947	0.000652681559478485	-0.248322678868735	-0.768299970967635	0.271654613230165
CENTFERM-PWY	28	32	0.00624494711588083	0.00695908974739902	0.00167635127328982	0.00107417310255618	-0.514733424178731	-1.04119732496925	0.0117304766117901
CITRULBIO-PWY	28	32	0.0120608235851014	0.0102410446072674	0.00257219051218547	0.00320696029757316	0.621375403451096	0.091083275358643	1.15166753154355
COA-PWY-1	28	32	0.0231078088168729	0.0235918760016369	0.0013752974959291	0.00155663822608924	-0.328181771552541	-0.849635181318861	0.193271638213779
COA-PWY	28	32	0.0207378892005909	0.0211229220106488	0.00130055371537821	0.00136158917575825	-0.288733383499093	-0.809407037947658	0.231940270949472
COBALSYN-PWY	28	32	0.0147894934891634	0.0142651331125904	0.00197688186278774	0.00171470581041786	0.284761336964709	-0.235839270390836	0.805361944320254
CODH-PWY	28	32	0	0	0	0	NA	NA	NA
COLANSYN-PWY	28	32	0.0111726896392567	0.010795738541695	0.00147101269152463	0.00145882922775597	0.257389986893705	-0.262734512955168	0.777514486742579
COMPLETE-ARO-PWY	28	32	0.0230021460888891	0.0230552019772491	0.00150788297983648	0.00155087201585612	-0.0346541737176051	-0.552686489267669	0.483378141832459
CRNFORCAT-PWY	28	32	0.000173533536898985	0.000435364462516928	0.00044593500291544	0.000869435620314257	-0.371551342832243	-0.893975468901416	0.150872783236931
DAPLYSINESYN-PWY	28	32	0.0106281915315327	0.0106942352647189	0.00287318522220735	0.00282402635047018	-0.0231975258780744	-0.541208480500384	0.494813428744235
DENITRIFICATION-PWY	28	32	4.86103562128385e-05	2.02146589309832e-05	0.000257221827362869	0.000114351379275771	0.146072821930365	-0.372608048319658	0.664753692180388
DENOVOPURINE2-PWY	28	32	0.0158618286497748	0.0162492762355435	0.00178242059054402	0.00173697420561949	-0.220356470157533	-0.739912749721073	0.299199809406007
DHGLUCONATE-PYR-CAT-PWY	28	32	4.71849939443779e-05	0	0.000249679519181825	0	0.276982989946272	-0.243477473534175	0.797443453426719
DTDPRHAMSYN-PWY	28	32	0.0254019026401727	0.0245926474839244	0.00220763237057192	0.00199756303777887	0.385732043643622	-0.13703515392973	0.908499241216973
ECASYN-PWY	28	32	0.000459624341244073	0.00109995254289319	0.00078344505712187	0.00148669272042653	-0.528660680035422	-1.05558520816234	-0.00173615190850385
ENTBACSYN-PWY	28	32	0.00199114955044377	0.00309029714048224	0.00315205333080998	0.00335010628575641	-0.337223209109126	-0.858869203741662	0.18442278552341
FAO-PWY	28	32	0.00521812783873852	0.00623466640210557	0.00228124095365235	0.00239289770531633	-0.434124686838705	-0.958157430424139	0.0899080567467289
FASYN-ELONG-PWY	28	32	0.00837709393794786	0.0090308958088098	0.00313641218038975	0.00313034995831706	-0.208670816887209	-0.728065969946837	0.31072433617242
FASYN-INITIAL-PWY	28	32	0.00735237068301029	0.00819868121456678	0.00332239495501564	0.00356987758732802	-0.244819533379208	-0.764741354801326	0.27510228804291
FERMENTATION-PWY	28	32	0.00948945982882427	0.00978486189280688	0.00293715358995856	0.00223558393748117	-0.114232822524975	-0.632646845692058	0.404181200642108
FOLSYN-PWY	28	32	0.00592976161703125	0.00594298657576387	0.00247216406854845	0.00218906101970977	-0.00568780551320081	-0.523682458965475	0.512306847939074
FUC-RHAMCAT-PWY	28	32	0.00704564144320516	0.00648018213666127	0.00154350272095162	0.0018780206037632	0.326786930242816	-0.194637228818289	0.84821108930392
FUCCAT-PWY	28	32	0.00564930382333834	0.00580037657769102	0.00170917413352223	0.00197254300057955	-0.0814584493869416	-0.599665882230715	0.436748983456831
GALACT-GLUCUROCAT-PWY	28	32	0.00835413285309152	0.00788640216428587	0.00185270743592471	0.00171812268727752	0.262469368688015	-0.257739882848065	0.782678620224096
GALACTARDEG-PWY	28	32	0.00253932029600735	0.00304847739758316	0.00275541799875534	0.00259708083579751	-0.190555870347447	-0.709718508783337	0.328606768088443
GALACTUROCAT-PWY	28	32	0.00774717193057385	0.00735827363785801	0.00189224143663754	0.00164095771163878	0.220664347637002	-0.298896295044093	0.740224990318097
GALLATE-DEGRADATION-I-PWY	28	32	0	0	0	0	NA	NA	NA
GALLATE-DEGRADATION-II-PWY	28	32	0	0	0	0	NA	NA	NA
GLCMANNANAUT-PWY	28	32	0.0108522575884626	0.00993141557125444	0.001796979820878	0.00139324707986678	0.577705432802067	0.0490644570940562	1.10634640851008
GLUCARDEG-PWY	28	32	0.00204802856314366	0.00256102469796716	0.00189227078030587	0.00198399195542724	-0.264181357587633	-0.784419544411468	0.256056829236201
GLUCARGALACTSUPER-PWY	28	32	0.00253932029600735	0.00304847739758316	0.00275541799875534	0.00259708083579751	-0.190555870347447	-0.709718508783337	0.328606768088443
GLUCONEO-PWY	28	32	0.0153836078869953	0.015059810322667	0.00113773962628656	0.00154502808847959	0.236250453948772	-0.283538977831786	0.75603988572933
GLUCOSE1PMETAB-PWY	28	32	0.00558865668709482	0.00562603332120275	0.00288700231185708	0.00261133190584431	-0.01362564229952	-0.531625236912172	0.504373952313132
GLUCUROCAT-PWY	28	32	0.00905105501423734	0.00850240099206083	0.00204064737314289	0.00175675462696997	0.289647598548904	-0.231043010361921	0.810338207459729
GLUDEG-I-PWY	28	32	0.00443886734204957	0.00481554101540295	0.00195807251464498	0.00134080218778894	-0.227321305897311	-0.746977768976861	0.292335157182239
GLUTORN-PWY	28	32	0.021722662891116	0.0216324724000113	0.00208715276696183	0.00201392080478264	0.0440310741976103	-0.474025019615549	0.562087168010769
GLYCOCAT-PWY	28	32	0.00761858576948904	0.00729335686651018	0.00383090625086752	0.00346925415395969	0.0892975784096082	-0.428952978179378	0.607548134998595
GLYCOGENSYNTH-PWY	28	32	0.0212461646706698	0.0211099034753672	0.00227961537159	0.00253230026874121	0.05635382044156	-0.461742136988533	0.574449777871653
GLYCOL-GLYOXDEG-PWY	28	32	0.000563383691690843	0.00115616882401426	0.001064779832907	0.00113288784440552	-0.538060934309767	-1.06530308089445	-0.0108187877250867
GLYCOLYSIS-E-D	28	32	0.00980189917381489	0.00988748071010703	0.00204192817659698	0.00188667374146743	-0.0436534139125167	-0.561708440534878	0.474401612709844
GLYCOLYSIS-TCA-GLYOX-BYPASS	28	32	0.00265181711560498	0.00436248064016977	0.0035164275680898	0.003510078813424	-0.486947379081455	-1.01252790238454	0.0386331442216316
GLYCOLYSIS	28	32	0.0155979669439501	0.0156724474190767	0.00191138448788971	0.00195731471563136	-0.0384699494527101	-0.556511257435864	0.479571358530444
GLYOXYLATE-BYPASS	28	32	0.00190970890777791	0.00316930120743688	0.00261136935818598	0.00256523968822943	-0.486927639949918	-1.01250755261113	0.0386522727112978
GOLPDLCAT-PWY	28	32	0.0059264156833987	0.00588444674831412	0.00123097012641648	0.00123983928278364	0.0339631854258473	-0.4840676020558	0.551993972907494
HCAMHPDEG-PWY	28	32	0.000490581882766924	0.00085144414075428	0.000788514000021453	0.00114300645570438	-0.363098622645686	-0.885324262402573	0.159127017111202
HEME-BIOSYNTHESIS-II	28	32	0.00224741275624954	0.00294585483082577	0.00219139683566023	0.00178434210748713	-0.351993186800073	-0.87396488185884	0.169978508258693
HEMESYN2-PWY	28	32	0.00417941591822891	0.00450980401131464	0.00178870480848419	0.001462215174534	-0.203642056506742	-0.72297055772774	0.315686444714256
HEXITOLDEGSUPER-PWY	28	32	0.0110621146775504	0.0112264762034893	0.00225669933384964	0.0015913828292996	-0.0851681223373562	-0.603395469351721	0.433059224677009
HISDEG-PWY	28	32	0.00975098038923514	0.0100838167431675	0.00255901132962458	0.00236128176681768	-0.135557769543313	-0.654143310741777	0.38302777165515
HISTSYN-PWY	28	32	0.0204914042672895	0.0202569959152862	0.00118723206125595	0.00146217069589311	0.174773528821937	-0.344203660601086	0.693750718244959
HOMOSER-METSYN-PWY	28	32	0.00884440001043152	0.00865449894111523	0.0018817486879267	0.00181700789277057	0.102792129007374	-0.415541926737004	0.621126184751753
HSERMETANA-PWY	28	32	0.0183870411727618	0.0181942895515827	0.00147589577995604	0.0020030256150694	0.108458274115104	-0.409914334228858	0.626830882459066
ILEUDEG-PWY	28	32	0	0	0	0	NA	NA	NA
ILEUSYN-PWY	28	32	0.0267969760024248	0.0264824052033278	0.00163385313132569	0.00162598210765442	0.193029557726636	-0.326163593718738	0.712222709172009
KDO-NAGLIPASYN-PWY	28	32	0.000527881596449478	0.0010143717157858	0.000994259029750077	0.00117745645728043	-0.443881463457072	-0.968187058809327	0.080424131895183
KETOGLUCONMET-PWY	28	32	0.00160140995056444	0.00202863742179697	0.00284290769933811	0.00199681165299394	-0.175983910147311	-0.694974757014827	0.343006936720206
LACTOSECAT-PWY	28	32	0.00811771021460015	0.00849635273541498	0.00214216697790049	0.00169485318163114	-0.197608902324777	-0.716859573870709	0.321641769221155
LEU-DEG2-PWY	28	32	0	0	0	0	NA	NA	NA
LIPASYN-PWY	28	32	4.09372522111116e-05	8.32456595057868e-05	0.000216619577417861	0.000279214833347472	-0.167878980050881	-0.686780165268992	0.35102220516723
LPSSYN-PWY	28	32	0.0004561666784473	0.000917752091083073	0.0010923449784907	0.00127103321481544	-0.387499372311073	-0.910310210883098	0.135311466260952
LYSINE-AMINOAD-PWY	28	32	0	0	0	0	NA	NA	NA
LYSINE-DEG1-PWY	28	32	0	0	0	0	NA	NA	NA
MET-SAM-PWY	28	32	0.01209414613253	0.0119089892308123	0.00202502524419684	0.00209722232090316	0.0897109504490983	-0.428541989931946	0.607963890830142
METH-ACETATE-PWY	28	32	0.0108403119728471	0.0101394337049124	0.00202245045788793	0.00205912798420973	0.343208433095989	-0.178567886948986	0.864984753140963
METHANOGENESIS-PWY	28	32	0.000534083806760992	0.00216066768305913	0.00116933880436645	0.00213014007695805	-0.929591809633417	-1.47472626220987	-0.38445735705696
METHGLYUT-PWY	28	32	0.00309065073836407	0.0032210115840119	0.00191901290685164	0.00175763278954443	-0.0710597281479254	-0.589216061845739	0.447096605549888
METHYLGALLATE-DEGRADATION-PWY	28	32	0	0	0	0	NA	NA	NA
METSYN-PWY	28	32	0.011566141035599	0.0113725063008931	0.00203671895112955	0.0020923487695437	0.0936955066848221	-0.424580975366193	0.611971988735837
NAD-BIOSYNTHESIS-II	28	32	0.0041490497447704	0.00461855505894976	0.00221776756126783	0.00151961474663647	-0.250109141643453	-0.77011502266161	0.269896739374705
NADSYN-PWY	28	32	0	0	0	0	NA	NA	NA
NAGLIPASYN-PWY	28	32	0.00673100860533598	0.006582270274457	0.00248258988958969	0.00213259247563876	0.0646084024479355	-0.453519729754327	0.582736534650198
NONMEVIPP-PWY	28	32	0.0114147794307933	0.00979982730861043	0.00449351646369588	0.00461759280766751	0.354136508721944	-0.167883592327718	0.876156609771606
NONOXIPENT-PWY	28	32	0.0186375524990993	0.0188013531575487	0.0016689212569913	0.00251497537353329	-0.0757390411632136	-0.5939175072732	0.442439424946773
OANTIGEN-PWY	28	32	0.0176592810912707	0.018458767005528	0.00137208266367707	0.00219968095135671	-0.429648982167884	-0.953558543447561	0.0942605791117934
ORNARGDEG-PWY	28	32	0.000730031218396445	0.00148298871849559	0.00134159296329429	0.00180918603941464	-0.468107660005572	-0.993116317385649	0.0569009973745047
ORNDEG-PWY	28	32	0.00155348429182511	0.00263901948737914	0.00303161572673671	0.002926192245679	-0.364795853382064	-0.887060986948072	0.157469280183944
P101-PWY	28	32	0	0	0	0	NA	NA	NA
P105-PWY	28	32	0.00226575185693525	0.00355989028790289	0.00295217303087063	0.0030402118309301	-0.431444232123749	-0.955403053206827	0.0925145889593279
P108-PWY	28	32	0.00525266120568665	0.00543490156328835	0.00140705493751188	0.00149306936927889	-0.125366435619463	-0.643866360770971	0.393133489532045
P122-PWY	28	32	0.000945292532449305	0.00150987806544557	0.00165883028030538	0.00176084058459504	-0.3293756210603	-0.850854164246988	0.192102922126387
P124-PWY	28	32	0.00637754390779229	0.00573518259782103	0.00331059016199417	0.00319671909631278	0.197635988535551	-0.321615027226838	0.716887004297941
P125-PWY	28	32	0.0021428486250037	0.00239412172321392	0.00222846748309933	0.00158783447700389	-0.131354437944062	-0.649903858860369	0.387194982972244
P161-PWY	28	32	0.00339616498687987	0.00391215869568028	0.00155505365561989	0.00196093253249251	-0.289312453460907	-0.809996840821235	0.231371933899422
P162-PWY	28	32	0.00154682738664116	0.0026318933964112	0.00200742844747565	0.00236869487297965	-0.491450348697441	-1.01717080228051	0.0342701048856263
P163-PWY	28	32	0.000304751772551697	0.000666875251682932	0.000813254045018704	0.000983713093603399	-0.39866086513133	-0.921751838309475	0.124430108046815
P164-PWY	28	32	0.00873626408830213	0.00885900225789412	0.000982021620696416	0.00127588193564906	-0.106870345726608	-0.625231941478261	0.411491250025045
P165-PWY	28	32	0	0	0	0	NA	NA	NA
P185-PWY	28	32	0.00510672812791469	0.0053413115128074	0.00187927393872416	0.00160430927745598	-0.134994058472233	-0.653574689653509	0.383586572709043
P221-PWY	28	32	0.000372000552242724	0.000739678111853844	0.000567234129246597	0.000878739048705443	-0.490236559545529	-1.01591917136823	0.0354460522771719
P23-PWY	28	32	0.00119314307558437	0.00191618257700755	0.00116062499843821	0.00162305889233412	-0.506841226611109	-1.03304938703766	0.0193669338154407
P241-PWY	28	32	0	0.000167181869532456	0	0.000507407199988474	-0.450677318753651	-0.975176459431036	0.0738218219237334
P261-PWY	28	32	0	0.000128015258094647	0	0.000424199514429502	-0.412785771470431	-0.936242432775413	0.11067088983455
P4-PWY	28	32	0.00926076415723854	0.0088407943664158	0.00275574421922287	0.00238043883838906	0.163922717564333	-0.354936230850788	0.682781665979453
P42-PWY	28	32	0.00437837848241581	0.00598112416978203	0.00248511293893891	0.00260185160495665	-0.628978324432964	-1.15956965832679	-0.0983869905391425
P441-PWY	28	32	0.00938991366093918	0.00894099977577295	0.00175024410130121	0.00193151521046611	0.242742472087017	-0.277146829448136	0.76263177362217
P461-PWY	28	32	0.0077745960156337	0.00804937627857361	0.00281206364585737	0.00225629046906646	-0.108598269455006	-0.6269718564736	0.409775317563588
P562-PWY	28	32	0.000137366166946526	0.000613928636772496	0.000587374461347557	0.00108138694883492	-0.537663659370906	-1.06489227333067	-0.0104350454111429
P621-PWY	28	32	0.0031279847175358	0.00272509214305957	0.00281440200478134	0.00251381693229736	0.151578670886156	-0.367154947165975	0.670312288938286
PANTO-PWY	28	32	0.0192814159761201	0.0192740238253942	0.00124478474599474	0.00165558270215154	0.00499937003916146	-0.512995046278293	0.522993786356616
PANTOSYN-PWY	28	32	0.0197801266381674	0.0198711139172544	0.00126327676268607	0.00151066959647968	-0.0649468682322643	-0.583076413383299	0.45318267691877
PENTOSE-P-PWY	28	32	0.0119389925889556	0.0108579375185306	0.00228019224703665	0.00224134487494721	0.478446243436251	-0.0468735179404189	1.00376600481292
PEPTIDOGLYCANSYN-PWY	28	32	0.0236208674738238	0.0240107477189375	0.0015666569346635	0.00149906148436597	-0.254673934803739	-0.774753790156651	0.265405920549174
PHOSLIPSYN-PWY	28	32	0.0134375593375149	0.0126652837261604	0.00323074344505449	0.00296788500977179	0.24968251078477	-0.270316524339072	0.769681545908613
PHOTOALL-PWY	28	32	5.15528421520008e-05	3.04554612419368e-05	0.000196328301973921	0.000172282105346701	0.114742201675519	-0.403675577661979	0.633159981013018
POLYAMINSYN3-PWY	28	32	0.00324929329319478	0.00433815269341336	0.00225299460655687	0.00229658632888612	-0.47832569188466	-1.00364178759161	0.0469904038222848
POLYAMSYN-PWY	28	32	0.00611288473025557	0.00733569069763874	0.0019254938147415	0.00261708118574846	-0.526863531783893	-1.05372795322485	8.89657064684357e-07
POLYISOPRENSYN-PWY	28	32	0.00803166823263097	0.00661077758171574	0.00220850235797733	0.00157514276755699	0.749224436080579	0.21344390947027	1.28500496269089
PPGPPMET-PWY	28	32	0.00654309386281841	0.00697514485845121	0.00146253503515422	0.00174434637772604	-0.266818151021531	-0.787101268585233	0.253464966542171
PROPFERM-PWY	28	32	0.000921100131048577	0.00136471182308587	0.0011168904713129	0.00136758412953642	-0.352880251031717	-0.874871944951559	0.169111442888125
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	28	32	0.000205743581389798	0.000387153734283869	0.000478637341017641	0.000976969642585598	-0.230988994018547	-0.750699458799318	0.288721470762224
PRPP-PWY	28	32	0.0120655780464331	0.0119493775226853	0.00157727187675789	0.00122732793501215	0.0829323420680431	-0.435282896815564	0.60114758095165
PWY-101	28	32	0.000148527312026648	0.000122533443545816	0.000375058589109053	0.000333852142360459	0.073505358306009	-0.44466236694493	0.591673083556948
PWY-1042	28	32	0.0269221024798212	0.0264322935529559	0.00178641054578405	0.00141153185936327	0.306699995139803	-0.214316573207569	0.827716563487174
PWY-1269	28	32	0.00939118957793434	0.00888544013155044	0.00261287936901927	0.00283761211323988	0.184897712469105	-0.334196605506469	0.703992030444679
PWY-1361	28	32	0	0	0	0	NA	NA	NA
PWY-1501	28	32	0	3.43351928765967e-05	0	0.000194229181731117	-0.241801037912338	-0.761675690301671	0.278073614476995
PWY-1541	28	32	2.64568631662357e-05	7.83518590391762e-05	0.000139996560817449	0.000443225046761392	-0.153617539385643	-0.672371184161103	0.365136105389818
PWY-1622	28	32	0	0	0	0	NA	NA	NA
PWY-181	28	32	0	0	0	0	NA	NA	NA
PWY-1861	28	32	0.00804846988661409	0.00848295341409883	0.00345574249372954	0.0021319063076499	-0.153723490906171	-0.672478183679647	0.365031201867305
PWY-2201	28	32	0	0	0	0	NA	NA	NA
PWY-2221	28	32	2.41460376584112e-05	7.31284878863342e-05	0.000127768821583513	0.000287927579569817	-0.214989718793858	-0.734470915752904	0.304491478165189
PWY-241	28	32	0.00948494415594888	0.00920257394133705	0.00289385172275268	0.00244349959676332	0.106048990664576	-0.412306972474159	0.624404953803312
PWY-2723	28	32	0.00562024842502293	0.00535446895479536	0.0029723397565669	0.002682308645189	0.0942134570337003	-0.42406616023092	0.61249307429832
PWY-2941	28	32	0.0112106976790286	0.0109056122255945	0.00256311039916379	0.00257942833984394	0.118625135207089	-0.399821825269438	0.637072095683616
PWY-2942	28	32	0.0218279103988179	0.0219626690351311	0.00105899731220043	0.00131111284053554	-0.112265696484085	-0.6306653706673	0.406133977699129
PWY-3001	28	32	0.0206198155260836	0.0203207772526455	0.000775927003474651	0.00108153148966455	0.314262093236491	-0.206904923479674	0.835429109952656
PWY-3502	28	32	0	0	0	0	NA	NA	NA
PWY-3781	28	32	0.000834933591140234	0.000995033492707223	0.00123795587316034	0.00141299406067805	-0.119981613992102	-0.638438997195451	0.398475769211247
PWY-3801	28	32	0	0.000303729875395643	0	0.00126800466159094	-0.327642183616407	-0.849084263301136	0.193799896068323
PWY-3841	28	32	0.0222771507150113	0.0229256245048023	0.0013621557657781	0.00151264345209095	-0.448913538942631	-0.973362171656974	0.0755350937717118
PWY-4041	28	32	0.00961305962037658	0.00935631413992877	0.00218144149034611	0.00168151917640143	0.133000105681295	-0.385563321658036	0.651563533020627
PWY-4242	28	32	0.0209571669639296	0.0213327462364027	0.00147313921729015	0.00144241006578761	-0.257811911270116	-0.777943388559958	0.262319566019725
