len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
1CMET2-PWY	40	40	NA	0.0202588869811415	NA	0.00143653976568121	NA	NA	NA
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	40	40	NA	0.000938365774706053	NA	0.00224603444676559	NA	NA	NA
7ALPHADEHYDROX-PWY	40	40	NA	0.000127405149874259	NA	0.00033467834220463	NA	NA	NA
AEROBACTINSYN-PWY	40	40	NA	0.000393546190667106	NA	0.000912712355605994	NA	NA	NA
ALL-CHORISMATE-PWY	40	40	NA	0	NA	0	NA	NA	NA
ALLANTOINDEG-PWY	40	40	NA	0.00122273082488062	NA	0.00117782118802298	NA	NA	NA
ANAEROFRUCAT-PWY	40	40	NA	0.0164460431578398	NA	0.00142230462511356	NA	NA	NA
ANAGLYCOLYSIS-PWY	40	40	NA	0.0195247585216665	NA	0.0015661810027937	NA	NA	NA
ARG+POLYAMINE-SYN	40	40	NA	0.00910488110455306	NA	0.00324981250205829	NA	NA	NA
ARGDEG-PWY	40	40	NA	0.00189775849346458	NA	0.00308139984439859	NA	NA	NA
ARGININE-SYN4-PWY	40	40	NA	0.0129058248058983	NA	0.00306903967995112	NA	NA	NA
ARGORNPROST-PWY	40	40	NA	0.00360792206614335	NA	0.00180581928824533	NA	NA	NA
ARGSYN-PWY	40	40	NA	0.0186862794179579	NA	0.00203656736860074	NA	NA	NA
ARGSYNBSUB-PWY	40	40	NA	0.0184949490223514	NA	0.0021579892496915	NA	NA	NA
ARO-PWY	40	40	NA	0.0206129931051374	NA	0.00178286560245475	NA	NA	NA
ASPASN-PWY	40	40	NA	0.0162547876952548	NA	0.0023830160169172	NA	NA	NA
AST-PWY	40	40	NA	0.00179227706161996	NA	0.00266614961370738	NA	NA	NA
BIOTIN-BIOSYNTHESIS-PWY	40	40	NA	0.0105018893047256	NA	0.002944884134615	NA	NA	NA
BRANCHED-CHAIN-AA-SYN-PWY	40	40	NA	0.0211869847463409	NA	0.00195181601527744	NA	NA	NA
CALVIN-PWY	40	40	NA	0.019911520872219	NA	0.00170783214445456	NA	NA	NA
CATECHOL-ORTHO-CLEAVAGE-PWY	40	40	NA	0.000633047343841942	NA	0.00150350680671449	NA	NA	NA
CENTFERM-PWY	40	40	NA	0.00529972474989892	NA	0.00141434719095069	NA	NA	NA
CITRULBIO-PWY	40	40	NA	0.0130834627791696	NA	0.00284680975640888	NA	NA	NA
