len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
1CMET2-PWY	52	52	0.0212221094827833	0.0207908441447965	0.00128426667121409	0.00165969153686505	0.290629701041073	-0.100413877427196	0.681673279509342
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	52	52	0.000301614780444854	0.000627253936344834	0.00101437706767127	0.00128919093313923	-0.280735193127074	-0.671642021530318	0.11017163527617
7ALPHADEHYDROX-PWY	52	52	4.00037351054618e-05	5.86328633815126e-05	0.00020212490239066	0.000251585976772081	-0.0816352892386758	-0.470792704068783	0.307522125591431
AEROBACTINSYN-PWY	52	52	3.49594947922379e-05	9.81315633549927e-05	0.00025209650207546	0.000360286165776651	-0.20316933597958	-0.593167023166462	0.186828351207302
ALL-CHORISMATE-PWY	52	52	0	0	0	0	NA	NA	NA
ALLANTOINDEG-PWY	52	52	0.000924590306714296	0.000675323431821371	0.00100634754438631	0.00101063609316804	0.247167410592752	-0.143310463979868	0.637645285165373
ANAEROFRUCAT-PWY	52	52	0.0162474580764424	0.016305560165192	0.00107965972012725	0.00153144257824722	-0.0438523098247701	-0.432894484186993	0.345189864537452
ANAGLYCOLYSIS-PWY	52	52	0.0202217065670771	0.0203488540286515	0.00125527411517363	0.00123562512559003	-0.102086430292781	-0.491335145126936	0.287162284541374
ARG+POLYAMINE-SYN	52	52	0.00821521960951177	0.00899092069351384	0.00260624225348923	0.00261909168680296	-0.296899202058558	-0.688031855683908	0.0942334515667927
ARGDEG-PWY	52	52	0.00086296259131367	0.00184911438113215	0.00188201421377915	0.00287791048161285	-0.405574083988397	-0.798548284322154	-0.0125998836546401
ARGININE-SYN4-PWY	52	52	0.0133543849250874	0.0136568126698344	0.00325871195352279	0.00316434362898492	-0.0941592690109226	-0.483370184807276	0.295051646785431
ARGORNPROST-PWY	52	52	0.00365698024641908	0.00376052411060708	0.00129011375157242	0.00156645880788988	-0.0721583096593408	-0.46128030260489	0.316963683286209
