len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
1CMET2-PWY	65	60	0.0211892225214215	0.0214837351118834	0.0016299494235036	0.0014698327587966	-0.189372313061468	-0.544540815568835	0.165796189445898
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	65	60	0.000527628487459014	0.000125501179883069	0.00167026384321302	0.000448110380049107	0.323214030615169	-0.033464954311464	0.679893015541803
7ALPHADEHYDROX-PWY	65	60	1.19684230333738e-05	6.57444484195381e-05	9.64925113357329e-05	0.000308625069075074	-0.239221079076115	-0.594860658284075	0.116418500131845
AEROBACTINSYN-PWY	65	60	7.08872625334098e-05	0.000214336824420672	0.000271876838104579	0.000547985906989612	-0.335788427656441	-0.692649424569513	0.0210725692566323
ALL-CHORISMATE-PWY	65	60	0	0	0	0	NA	NA	NA
ALLANTOINDEG-PWY	65	60	0.00111685762373892	0.00117444520600925	0.00122067461280312	0.00112692444451081	-0.0489424989148387	-0.403371835099814	0.305486837270136
ANAEROFRUCAT-PWY	65	60	0.0167067190688174	0.0168313961996382	0.00160412273354508	0.00125737301239383	-0.0860914650062328	-0.440631694732838	0.268448764720372
ANAGLYCOLYSIS-PWY	65	60	0.0204074836355299	0.0206422273627434	0.00193655093334548	0.00183056932005052	-0.124436272567104	-0.479154886017281	0.230282340883073
ARG+POLYAMINE-SYN	65	60	0.00870515997594307	0.00805788963251839	0.00238885329792403	0.00256405299236983	0.261582483698309	-0.0943037675452092	0.617468734941827
ARGDEG-PWY	65	60	0.00127373577070984	0.00063347454578419	0.00259265430854734	0.00125845796269295	0.310308839439911	-0.0461904766658824	0.666808155545705
ARGININE-SYN4-PWY	65	60	0.0113313184915199	0.0121641089834031	0.00350789431509293	0.00309354326761475	-0.251172719853661	-0.606941420300536	0.104595980593214
ARGORNPROST-PWY	65	60	0.00414066165081585	0.00435036678866686	0.00176774485145368	0.00156038151258419	-0.125459902605138	-0.480184167107215	0.22926436189694
