len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
1CMET2-PWY	251	187	0.0202570646614396	0.0201551486802579	0.00170536095190714	0.00169778831485147	0.0598753967805038	-0.130026779584926	0.249777573145933
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	251	187	0.000680313573400427	0.00088103036232717	0.00156737319852565	0.00187952371603223	-0.11754789941029	-0.307568841272729	0.0724730424521483
7ALPHADEHYDROX-PWY	251	187	6.21056789229674e-05	9.48178898090487e-05	0.000245296099298039	0.000309026831618134	-0.119256619825208	-0.309282256635122	0.0707690169847066
AEROBACTINSYN-PWY	251	187	0.000211813766242211	0.000223394557498926	0.000773748050164396	0.000680670775591524	-0.015745834381329	-0.205609261406866	0.174117592644208
ALL-CHORISMATE-PWY	251	187	0	0	0	0	NA	NA	NA
ALLANTOINDEG-PWY	251	187	0.000891199670671453	0.00105614681149588	0.00109699790123918	0.00115144920605662	-0.147201841891735	-0.337313856626198	0.0429101728427282
ANAEROFRUCAT-PWY	251	187	0.0158125725452389	0.0157939582319202	0.00157023600561115	0.00153072960977569	0.0119821374372853	-0.177880077680967	0.201844352555538
ANAGLYCOLYSIS-PWY	251	187	0.019059218041248	0.0189797953368509	0.00175739161011465	0.00162879612449111	0.0466172386580938	-0.143268544340849	0.236503021657036
ARG+POLYAMINE-SYN	251	187	0.00854686270190749	0.00879869343957819	0.0030443293863092	0.00282293892930786	-0.0853109868608877	-0.275256034394644	0.104634060672869
ARGDEG-PWY	251	187	0.00150871702124622	0.00162964199416588	0.00275333049592735	0.00277244095022345	-0.0437896084534532	-0.233672423127356	0.146093206220449
ARGININE-SYN4-PWY	251	187	0.0130920063562678	0.0131866563351633	0.0037226708570141	0.00328938396503697	-0.0267047488889016	-0.216573578234141	0.163164080456338
ARGORNPROST-PWY	251	187	0.00300186416276806	0.0032172999412659	0.00159684767579187	0.00166536854119993	-0.132459123464839	-0.322523315833119	0.0576050689034413
ARGSYN-PWY	251	187	0.0180908026824029	0.0177769551405063	0.0025226159202895	0.00239071823475963	0.127207459050017	-0.0628409132856688	0.317255831385703
ARGSYNBSUB-PWY	251	187	0.0178525108401585	0.017531668064211	0.00269570584580339	0.00253303080870917	0.122107671519252	-0.0679259495266607	0.312141292565165
ARO-PWY	251	187	0.0203516986744897	0.0201492889437716	0.00182681950478945	0.00173761008012967	0.113121898758838	-0.0768871965818624	0.303130994099539
ASPASN-PWY	251	187	0.015863722379465	0.015749566879284	0.00266039601917302	0.00219814548215411	0.0461460990509817	-0.143739176477593	0.236031374579557
AST-PWY	251	187	0.00147662652877565	0.00165469255919913	0.0023884849593504	0.00250495906745137	-0.0730121765410331	-0.262934620246239	0.116910267164173
BIOTIN-BIOSYNTHESIS-PWY	251	187	0.00932234865599495	0.00992023060783216	0.0033292725930247	0.00305988085474341	-0.185844493207823	-0.376105707728993	0.00441672131334692
BRANCHED-CHAIN-AA-SYN-PWY	251	187	0.0205652542235828	0.0202366736402989	0.002584833263027	0.00209774951815314	0.137526482882455	-0.0525535796149285	0.327606545379839
CALVIN-PWY	251	187	0.0193435205014427	0.0191733816254724	0.00200225842395897	0.00197105437912175	0.0855396287437489	-0.104405872230623	0.275485129718121
CATECHOL-ORTHO-CLEAVAGE-PWY	251	187	0.000527036227362506	0.000639196031135078	0.00135562655915115	0.00151203162097212	-0.0787389263814007	-0.268671458638202	0.111193605875401
CENTFERM-PWY	251	187	0.00484213386278801	0.00487228148206584	0.00171773281549174	0.0016503592666445	-0.0178460132859603	-0.207710259576695	0.172018233004774
CITRULBIO-PWY	251	187	0.01287161849726	0.0127904999161762	0.00321226443753032	0.0031530196956271	0.0254519609464028	-0.164416109626441	0.215320031519247
COA-PWY-1	251	187	0.021322381003061	0.0211569860182509	0.00198735544898698	0.00195662912869153	0.0837737369922119	-0.10616829336386	0.273715767348284
COA-PWY	251	187	0.0195903575184549	0.0194335949498855	0.00214889372979144	0.00185240255045415	0.0773098382947573	-0.112620105156022	0.267239781745537
COBALSYN-PWY	251	187	0.0120811224828916	0.011854236470192	0.00208143558501444	0.00200595078821465	0.11069913975041	-0.0793036631297671	0.300701942630588
CODH-PWY	251	187	8.94846471171496e-06	5.05818270791774e-05	8.16701302169793e-05	0.0003518704041342	-0.174930462781165	-0.365146042104248	0.0152851165419174
COLANSYN-PWY	251	187	0.00987868066506578	0.0100739303052858	0.00181932028070311	0.0016018485929569	-0.112868066192686	-0.302876495893343	0.0771403635079707
COMPLETE-ARO-PWY	251	187	0.0200438004939446	0.0197650637100287	0.00173446039958043	0.00159575117038521	0.166242254327996	-0.0239389633264234	0.356423471982416
CRNFORCAT-PWY	251	187	0.000203339173406301	0.000201393980780993	0.000655070949685917	0.000531794439483964	0.00321223310519411	-0.186648434560403	0.193072900770791
DAPLYSINESYN-PWY	251	187	0.00840970496226997	0.00845918813050152	0.00356713250860722	0.00346074826625478	-0.0140491712750236	-0.203912011250659	0.175813668700612
DENITRIFICATION-PWY	251	187	0.000419033278443938	0.000353001435489097	0.00090846567669856	0.000731503933731419	0.0788385038211292	-0.111094210586847	0.268771218229106
DENOVOPURINE2-PWY	251	187	0.0167754842506776	0.0169854657605365	0.00191445685179376	0.00146286172157367	-0.120941068113824	-0.310971399382407	0.0690892631547581
DHGLUCONATE-PYR-CAT-PWY	251	187	3.0381557732408e-05	4.74674547260921e-05	0.000190329775485854	0.000216783991823249	-0.0845671614394273	-0.274510742214011	0.105376419335157
DTDPRHAMSYN-PWY	251	187	0.0238693855041342	0.0231964322981245	0.00363412485355276	0.00312190106952908	0.196483285410575	0.00617494053526318	0.386791630285886
ECASYN-PWY	251	187	0.00133933538702607	0.0016097219430601	0.00205781865692978	0.00241084515941445	-0.122053428497782	-0.312086895881634	0.0679800388860702
ENTBACSYN-PWY	251	187	0.00271683877014197	0.00311285803105877	0.00363547274954625	0.00388051771158815	-0.105831660163022	-0.29582223225727	0.0841589119312255
FAO-PWY	251	187	0.00594307350482708	0.00601146128769498	0.00305869206812479	0.00330271695379693	-0.0216068566231595	-0.211472825953491	0.168259112707172
FASYN-ELONG-PWY	251	187	0.00957148986377385	0.0102431699114282	0.00387783046146241	0.0037058899561254	-0.176505690540296	-0.366727686581456	0.0137163055008646
FASYN-INITIAL-PWY	251	187	0.00838688211154238	0.00900131700637492	0.0039295239718417	0.00374508996853159	-0.159513778709581	-0.349669583879969	0.0306420264608076
FERMENTATION-PWY	251	187	0.00684967463214111	0.0071791638630135	0.00351018347547334	0.00320402793911963	-0.0973965464485007	-0.287367223623063	0.0925741307260613
FOLSYN-PWY	251	187	0.00515322244016921	0.00592483869944585	0.00328662985209147	0.00329692541232538	-0.234460704575806	-0.42495856673713	-0.0439628424144825
FUC-RHAMCAT-PWY	251	187	0.00636127980662457	0.00675903923786601	0.00262046812306809	0.00255030909162439	-0.153529409568737	-0.343663492008012	0.0366046728705377
FUCCAT-PWY	251	187	0.00511008306810155	0.00551718266676479	0.00259800616918203	0.00250169349522655	-0.159187298081555	-0.349341896801986	0.0309673006388757
GALACT-GLUCUROCAT-PWY	251	187	0.0081731519745403	0.00792176681829431	0.00198346003444725	0.00195485719357252	0.127521965856199	-0.0625273359176949	0.317571267630094
GALACTARDEG-PWY	251	187	0.00379763565969918	0.00422994108194618	0.00296946866509706	0.00301433335365301	-0.144647099929007	-0.334750467333081	0.0454562674750682
GALACTUROCAT-PWY	251	187	0.0080286607724002	0.00790216316455489	0.00198858610114478	0.0019239289046019	0.0644980108608778	-0.12541084054915	0.254406862270906
GALLATE-DEGRADATION-I-PWY	251	187	0	1.76328599155561e-06	0	2.41125732815691e-05	-0.111960793880442	-0.301966856592711	0.0780452688318266
GALLATE-DEGRADATION-II-PWY	251	187	0	1.76328599155561e-06	0	2.41125732815691e-05	-0.111960793880442	-0.301966856592711	0.0780452688318266
GLCMANNANAUT-PWY	251	187	0.00973626128592248	0.0100711073495883	0.00240767823471932	0.0022715486370865	-0.142453192983154	-0.332549254937633	0.0476428689713238
GLUCARDEG-PWY	251	187	0.00305159396186469	0.00339086606960372	0.00246600193922201	0.00248020315240038	-0.1372420990419	-0.327321255153611	0.0528370570698116
GLUCARGALACTSUPER-PWY	251	187	0.00379763565969918	0.00422994108194618	0.00296946866509706	0.00301433335365301	-0.144647099929007	-0.334750467333081	0.0454562674750682
GLUCONEO-PWY	251	187	0.0131335915846453	0.0133209504740998	0.00227341490811865	0.00201719392498858	-0.0864274602209877	-0.276374733430794	0.103519812988819
GLUCOSE1PMETAB-PWY	251	187	0.00456907055246913	0.00464516713226224	0.00347403855636266	0.00321135522893666	-0.0226175961995412	-0.212484084605443	0.167248892206361
GLUCUROCAT-PWY	251	187	0.00865463080102643	0.0084882849986393	0.00193839708276302	0.00188285455653398	0.0868692128758504	-0.103078948945374	0.276817374697075
GLUDEG-I-PWY	251	187	0.00380791023684989	0.00394573033994327	0.00259040671039354	0.0026868593858213	-0.0523635336583294	-0.242255920782945	0.137528853466286
GLUTORN-PWY	251	187	0.0168271578799416	0.0165071931437872	0.00247975540232691	0.00241704389634018	0.13042758191481	-0.0596304149346337	0.320485578764254
GLYCOCAT-PWY	251	187	0.00569410729732908	0.00574840289792125	0.00407237374032189	0.00368264709431877	-0.0138832639225084	-0.203746050082183	0.175979522237166
GLYCOGENSYNTH-PWY	251	187	0.0151697223716044	0.014943976633794	0.00266028053306903	0.00261573914023476	0.0854653720562772	-0.104479981519917	0.275410725632471
GLYCOL-GLYOXDEG-PWY	251	187	0.000794180737814201	0.000892995732015703	0.00126286924742159	0.00142761013845666	-0.0739834676782446	-0.263907568878661	0.115940633522172
GLYCOLYSIS-E-D	251	187	0.010154188454148	0.0103446478224053	0.00227005070164375	0.00192468719177783	-0.0894352596813819	-0.279388672760899	0.100518153398135
GLYCOLYSIS-TCA-GLYOX-BYPASS	251	187	0.00392481105651212	0.00414281772900434	0.0041539737238452	0.00439293137502692	-0.0512046635763933	-0.241095657121402	0.138686329968615
GLYCOLYSIS	251	187	0.0142230812309935	0.0143689465620366	0.00228498522151381	0.00229726981360376	-0.063690144277049	-0.253597793366487	0.126217504812389
GLYOXYLATE-BYPASS	251	187	0.00270812494286228	0.00290860929827847	0.00305591458617446	0.00318579451261764	-0.0644233013749471	-0.254332040961764	0.12548543821187
GOLPDLCAT-PWY	251	187	0.00420194077159895	0.00472619540485554	0.00215115615468409	0.00192293590286437	-0.254876648301343	-0.445490103733587	-0.0642631928690987
HCAMHPDEG-PWY	251	187	0.00115071646156138	0.00122046249488592	0.00245067288125469	0.00264272877791373	-0.0275198973847465	-0.217389240011678	0.162349445242185
HEME-BIOSYNTHESIS-II	251	187	0.00383161172757042	0.00411609487838571	0.00264354518676517	0.00242998400844099	-0.111360116630826	-0.301364622727172	0.0786443894655193
HEMESYN2-PWY	251	187	0.00472279153966139	0.00495294618196355	0.00241965185955465	0.00214756538514236	-0.0997417505761473	-0.289717793563561	0.0902342924112665
HEXITOLDEGSUPER-PWY	251	187	0.00907359180084762	0.00938561244904067	0.00275761952047362	0.00267769391083528	-0.114553028853831	-0.304565905068368	0.0754598473607058
HISDEG-PWY	251	187	0.0121112885497658	0.0123768497331627	0.00308270692713224	0.00277168474722128	-0.0898978996378739	-0.279852275730304	0.100056476454556
HISTSYN-PWY	251	187	0.0191203056844781	0.0187487263261667	0.00219014485005457	0.00195638482048894	0.177482080494982	-0.0127439216558007	0.367708082645765
HOMOSER-METSYN-PWY	251	187	0.00723902817816143	0.00745694985504574	0.00319881176536995	0.00307335449362034	-0.0692715821036738	-0.25918784702076	0.120644682813412
HSERMETANA-PWY	251	187	0.0148519683242339	0.0145940926720117	0.00225097271919256	0.00214863844451514	0.116796981651036	-0.073221918354564	0.306815881656636
ILEUDEG-PWY	251	187	0	3.09867643641723e-06	0	4.23737629668711e-05	-0.111960793880442	-0.301966856592711	0.0780452688318266
ILEUSYN-PWY	251	187	0.0232790553336828	0.0227875465729357	0.00221976775094917	0.0020824543411588	0.227312949381637	0.0368532929802367	0.417772605783038
KDO-NAGLIPASYN-PWY	251	187	0.00125910986215536	0.00140201614947106	0.00177171337041043	0.00194269989320197	-0.0773890958626749	-0.267319181648235	0.112540989922885
KETOGLUCONMET-PWY	251	187	0.00201960391069549	0.00200769519540218	0.00265937184992916	0.00252918333333091	0.00457213545038814	-0.185288655149359	0.194432926050135
LACTOSECAT-PWY	251	187	0.00515599400009994	0.00545872963446589	0.00257514878450164	0.00251141769301953	-0.11880578305573	-0.308830174560037	0.0712186084485778
LEU-DEG2-PWY	251	187	0	3.08945369645051e-06	0	4.22476438946564e-05	-0.111960793880442	-0.301966856592711	0.0780452688318266
LIPASYN-PWY	251	187	4.67080357730446e-05	6.9873472417595e-05	0.000309239513981766	0.000319317386556152	-0.0738744639935278	-0.263798378090184	0.116049450103129
LPSSYN-PWY	251	187	0.000619569166455875	0.000730928963767412	0.00150272321018229	0.00158505675217697	-0.0723874138122977	-0.262308802936881	0.117533975312286
LYSINE-AMINOAD-PWY	251	187	0	0	0	0	NA	NA	NA
LYSINE-DEG1-PWY	251	187	0	0	0	0	NA	NA	NA
MET-SAM-PWY	251	187	0.00970943797824992	0.00995155668859101	0.00351399186850875	0.00328065363133575	-0.0708695806855498	-0.260788445484103	0.119049284113003
METH-ACETATE-PWY	251	187	0.00478859417425883	0.00495112835310419	0.00222346943229547	0.00237082273665126	-0.0710534290492718	-0.260972596762772	0.118865738664229
