len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
1CMET2-PWY	53	75	0.0202230666668815	0.0203713413545296	0.00189933836962995	0.00200373055146771	-0.0755993773717349	-0.430842973614926	0.279644218871456
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	53	75	0.00202046644314565	0.00153356795299261	0.00295651379924965	0.00231122003196016	0.187482362270521	-0.168394447709984	0.543359172251026
7ALPHADEHYDROX-PWY	53	75	7.78269888698526e-05	0.000292484457092717	0.000337251310402125	0.000614329776716596	-0.414193004485269	-0.772989695647799	-0.0553963133227393
AEROBACTINSYN-PWY	53	75	0.000741012087625994	0.000761305664355982	0.00151701017668177	0.0017635815137353	-0.0121791930360389	-0.367302902371451	0.342944516299374
ALL-CHORISMATE-PWY	53	75	6.85034771438939e-05	0	0.000498712841405364	0	0.213818690742613	-0.142285208198753	0.56992258968398
ALLANTOINDEG-PWY	53	75	0.00149785097487365	0.00175284969518348	0.00125472212039123	0.00139700666557287	-0.190280783229568	-0.546180314228961	0.165618747769825
ANAEROFRUCAT-PWY	53	75	0.0169238614434138	0.0171280339150282	0.00154696349796631	0.00171142194904193	-0.124076024073895	-0.479527979314917	0.231375931167127
ANAGLYCOLYSIS-PWY	53	75	0.0193571809928764	0.0196855244860714	0.00162640413279447	0.0019873688554792	-0.177774275580531	-0.533574862337675	0.178026311176612
ARG+POLYAMINE-SYN	53	75	0.0101167003646365	0.00975710565799571	0.00402383842149524	0.00339597543877756	0.0980318712588944	-0.257295581469972	0.45335932398776
ARGDEG-PWY	53	75	0.00391944716905134	0.00364679508073154	0.00418615457562303	0.00327302278357956	0.0741415727940027	-0.281097323152912	0.429380468740918
ARGININE-SYN4-PWY	53	75	0.0122402409261186	0.0120244034868189	0.00454052902241593	0.00372438783182512	0.0528879027967956	-0.302292854868562	0.408068660462153
ARGORNPROST-PWY	53	75	0.00428850564401243	0.00455725837329249	0.00169390635881225	0.00180060523909998	-0.152930152456397	-0.508554064829339	0.202693759916544
ARGSYN-PWY	53	75	0.0208224335781889	0.0202471022451584	0.00323899276056996	0.00316103693052563	0.18016038110205	-0.175658566144589	0.535979328348689
ARGSYNBSUB-PWY	53	75	0.0208705935312175	0.0202820606136929	0.00342400940775651	0.00352699586738672	0.168882685604146	-0.186851630406134	0.524617001614426
ARO-PWY	53	75	0.0213234848411704	0.020920333740999	0.00231450005643985	0.00223819364699017	0.177599911894223	-0.178199342738471	0.533399166526917
