len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
1CMET2-PWY	61	53	0.0206297239238896	0.0198676215032322	0.0016326442048285	0.00237872465072796	0.378456178333663	0.00309437468014734	0.753817981987179
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	61	53	0.000171376930689229	0.000631123499988552	0.000496393814019229	0.00129539747837027	-0.481654218150507	-0.859046366222714	-0.1042620700783
7ALPHADEHYDROX-PWY	61	53	7.92067248440782e-05	6.92065316764933e-05	0.000288960125896939	0.000312910952838318	0.0332987035593199	-0.33878915641673	0.40538656353537
AEROBACTINSYN-PWY	61	53	0.000411011372983607	0.000442549035053325	0.000807458034891154	0.00118037797160852	-0.0315983070871029	-0.403683613785783	0.340486999611577
ALL-CHORISMATE-PWY	61	53	4.87543843972678e-05	0.000172181842558076	0.000380783914937789	0.000776787103141031	-0.206336451675018	-0.579382507243558	0.166709603893522
ALLANTOINDEG-PWY	61	53	0.0011439873780432	0.00120195693046744	0.00153655697653432	0.00111841643365475	-0.0426710721147589	-0.414775406210107	0.32943326198059
ANAEROFRUCAT-PWY	61	53	0.0169291041745285	0.0164838438397227	0.00184892329119915	0.00271963734247588	0.194043078078062	-0.178889368226029	0.566975524382153
ANAGLYCOLYSIS-PWY	61	53	0.0198130702730682	0.0191680644559343	0.00170502070115672	0.00238361908340898	0.314907726408187	-0.0594421039105167	0.68925755672689
ARG+POLYAMINE-SYN	61	53	0.0083527500017051	0.00899014606784783	0.00292352002460146	0.00303352996596551	-0.21424343337918	-0.587366228494752	0.158879361736391
ARGDEG-PWY	61	53	0.00120066695580214	0.0021473243112674	0.0018209268603338	0.00283867981699982	-0.40301284476585	-0.778814538144673	-0.0272111513870266
ARGININE-SYN4-PWY	61	53	0.0103903088616049	0.0115462592667255	0.00337147561251725	0.0038116145336698	-0.322660726213055	-0.697124219801199	0.0518027673750884
ARGORNPROST-PWY	61	53	0.00418331520165999	0.00451959976729709	0.00232743951861114	0.00198440550469487	-0.15461979875038	-0.52723479143116	0.217995193930399
ARGSYN-PWY	61	53	0.02143300817406	0.019558028745492	0.00245827962833112	0.00309096185296947	0.67687454051153	0.29435770502291	1.05939137600015
ARGSYNBSUB-PWY	61	53	0.0215242855860067	0.0194674942426541	0.00261784555284159	0.00327391940409291	0.699419769552345	0.316205205303958	1.08263433380073
ARO-PWY	61	53	0.0221760901959595	0.0206114415070097	0.0021244102538264	0.00239172608639026	0.694636882861903	0.311572142318881	1.07770162340492
ASPASN-PWY	61	53	0.0135086935971242	0.0143716226905052	0.00183569396114176	0.00252741741549103	-0.395065957091578	-0.770722327182313	-0.0194095870008428
