Row.names	des	I2	Q_test	model_p	Coefficient	C.lower	C.upper	fdr
P163-PWY	L-lysine_fermentation_to_acetate_and_butanoate	48.93735437	0.041984776	5.70E-10	-0.564549128	-0.743056238	-0.386042017	3.14E-07
PWY-7357	thiamin_formation_from_pyrithiamine_and_oxythiamine_(yeast)	81.49201589	1.74E-05	0.000198092	0.558189505	0.264208621	0.852170388	0.002275709
PWY-6588	pyruvate_fermentation_to_acetone	59.25950597	0.004790032	6.54E-08	-0.551389364	-0.751398438	-0.35138029	1.20E-05
PWY-6151	S-adenosyl-L-methionine_cycle_I	48.17890265	0.000300556	1.16E-05	0.5490532	0.303676234	0.794430166	0.000374901
PWY-5088	L-glutamate_degradation_VIII_(to_propanoate)	49.38500906	0.033719911	1.08E-08	-0.521983869	-0.700905915	-0.343061822	2.97E-06
VALSYN-PWY	L-valine_biosynthesis	63.37134599	0.006717974	5.33E-06	0.487664575	0.277661963	0.697667186	0.000244695
ILEUSYN-PWY	L-isoleucine_biosynthesis_I_(from_threonine)	63.37134599	0.006717974	5.33E-06	0.487664575	0.277661963	0.697667186	0.000244695
P162-PWY	L-glutamate_degradation_V_(via_hydroxyglutarate)	69.48263853	2.87E-05	5.61E-05	-0.471187908	-0.700422673	-0.241953143	0.000909039
PWY-7237	"myo-,_chiro-_and_scillo-inositol_degradation"	83.87419017	2.78E-05	0.003227997	0.47017351	0.157278197	0.783068823	0.013175012
HISDEG-PWY	L-histidine_degradation_I	80.81408054	9.26E-06	0.001373985	-0.469645541	-0.757292656	-0.181998426	0.007647126
PWY-7111	pyruvate_fermentation_to_isobutanol_(engineered)	52.46808985	0.031541603	1.07E-06	0.458327515	0.274180297	0.642474733	8.73E-05
PWY-1042	glycolysis_IV_(plant_cytosol)	58.84256451	0.01413209	7.33E-06	0.452711789	0.254827157	0.650596421	0.000310612
TRPSYN-PWY	L-tryptophan_biosynthesis	80.041838	1.47E-05	0.001954731	0.445281794	0.163483572	0.727080017	0.009617229
GLUTORN-PWY	L-ornithine_biosynthesis	59.53096816	0.00584365	1.45E-05	0.440614765	0.241435542	0.639793989	0.00038553
PWY-5918	superpathay_of_heme_biosynthesis_from_glutamate	65.36198281	0.003479797	7.77E-05	-0.433860313	-0.649064514	-0.218656113	0.001157194
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_II_(lysine-containing)	78.64835791	6.44E-05	0.001972317	0.430072921	0.157666069	0.702479774	0.009617229
HISTSYN-PWY	L-histidine_biosynthesis	50.17499716	0.028216836	3.71E-06	0.423919264	0.244358274	0.603480254	0.000204214
COMPLETE-ARO-PWY	superpathway_of_aromatic_amino_acid_biosynthesis	60.16122931	0.009356012	7.44E-05	0.405128172	0.204696875	0.60555947	0.001139296
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	77.11515141	0.000147965	0.002939241	0.399032785	0.136058971	0.6620066	0.012457859
PWY-5845	superpathway_of_menaquinol-9_biosynthesis	62.37583182	0.007884083	0.000153705	-0.398497512	-0.604848775	-0.192146249	0.00188562
PWY-5189	tetrapyrrole_biosynthesis_II_(from_glycine)	55.6537832	0.020395429	4.14E-05	-0.397583886	-0.587678213	-0.20748956	0.000815549
PWY-5677	succinate_fermentation_to_butanoate	52.63201214	0.017500733	2.57E-05	-0.394548703	-0.578287379	-0.210810026	0.000566081
P108-PWY	pyruvate_fermentation_to_propanoate_I	37.94113596	0.114105933	1.40E-06	-0.39297359	-0.552582408	-0.233364772	9.61E-05
PWY-5862	superpathway_of_demethylmenaquinol-9_biosynthesis	63.55003324	0.006600773	0.000243626	-0.392210116	-0.601734569	-0.182685664	0.002397107
PWY-5920	superpathway_of_heme_biosynthesis_from_glycine	58.61363489	0.012887535	0.000116393	-0.386710487	-0.583393666	-0.190027309	0.001603312
PWY4LZ-257	superpathway_of_fermentation_(Chlamydomonas_reinhardtii)	53.18414103	0.021861136	4.71E-05	-0.383873179	-0.568758861	-0.198987498	0.000895474
METHGLYUT-PWY	superpathway_of_methylglyoxal_degradation	69.8321574	0.001412464	0.001254469	-0.378016424	-0.60766716	-0.148365688	0.007200127
PWY-6737	starch_degradation_V	41.4541609	0.086163991	8.08E-06	0.37451748	0.210043852	0.538991108	0.00031813
P42-PWY	incomplete_reductive_TCA_cycle	51.53378496	0.026242721	5.22E-05	-0.374465068	-0.555881012	-0.193049123	0.000898598
PWY-6285	superpathway_of_fatty_acids_biosynthesis_(E._coli)	67.11349741	0.006052101	0.000874364	-0.373836364	-0.593992889	-0.153679838	0.005474709
BIOTIN-BIOSYNTHESIS-PWY	biotin_biosynthesis_I	65.22861534	0.008413117	0.000688387	-0.370998778	-0.58523251	-0.156765045	0.004993469
PWY-6163	chorismate_biosynthesis_from_3-dehydroquinate	62.63480852	0.007496894	0.00043797	0.370684876	0.164054444	0.577315308	0.003447449
ARO-PWY	chorismate_biosynthesis_I	59.07254337	0.009910624	0.00024021	0.369919139	0.172497072	0.567341206	0.002397107
P161-PWY	acetylene_degradation	48.30413157	0.039103699	3.93E-05	-0.368426891	-0.544065482	-0.1927883	0.000806936
PWY-5097	L-lysine_biosynthesis_VI	72.33787642	0.001044264	0.002729848	0.366037252	0.126628103	0.6054464	0.011751144
PWY-6385	peptidoglycan_biosynthesis_III_(mycobacteria)	74.60702608	0.000525525	0.00411867	0.365356238	0.115755916	0.61495656	0.015833103
PEPTIDOGLYCANSYN-PWY	peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	77.35345717	0.000147145	0.007046332	0.36283548	0.098925374	0.626745586	0.023248676
NAD-BIOSYNTHESIS-II	NAD_salvage_pathway_II	76.94405019	0.000293745	0.006628254	-0.362280937	-0.623815534	-0.10074634	0.022405937
PWY-6519	8-amino-7-oxononanoate_biosynthesis_I	63.65489448	0.010506948	0.000708213	-0.362042844	-0.57158549	-0.152500199	0.005067865
PWY-7400	L-arginine_biosynthesis_IV_(archaebacteria)	63.25442819	0.005480859	0.000717714	0.359370377	0.151149556	0.567591198	0.005070008
PWY-5136	fatty_acid_&beta;-oxidation_II_(peroxisome)	63.44022054	0.004309959	0.000826239	-0.356121557	-0.564858517	-0.147384597	0.005293695
ARGSYN-PWY	L-arginine_biosynthesis_I_(via_L-ornithine)	63.62005768	0.005211589	0.000861654	0.355699745	0.146480369	0.56491912	0.005457145
ARGSYNBSUB-PWY	L-arginine_biosynthesis_II_(acetyl_cycle)	68.60731395	0.001828351	0.001968777	0.355219388	0.130263278	0.580175499	0.009617229
PWY-6969	TCA_cycle_V_(2-oxoglutarate:ferredoxin_oxidoreductase)	63.22844447	0.0091462	0.000920329	-0.351929166	-0.560078626	-0.143779706	0.005634457
PWY66-422	D-galactose_degradation_V_(Leloir_pathway)	64.46903375	0.003106147	0.001129125	0.351447692	0.139905433	0.562989951	0.006618592
PWY-5840	superpathway_of_menaquinol-7_biosynthesis	55.30673659	0.023797088	0.000319711	-0.347099549	-0.536136453	-0.158062645	0.002887881
PWY-7204	pyridoxal_5'-phosphate_salvage_II_(plants)	56.91330138	0.019002288	0.000422508	-0.346149594	-0.538581741	-0.153717447	0.003381227
PWY-7316	dTDP-N-acetylviosamine_biosynthesis	37.43938727	0.100250088	1.91E-05	-0.345908029	-0.504497749	-0.187318309	0.000438866
REDCITCYC	TCA_cycle_VIII_(helicobacter)	59.65327814	0.010633025	0.000663233	-0.345249943	-0.544018795	-0.146481092	0.004938396
PWY-5850	superpathway_of_menaquinol-6_biosynthesis_I	50.49629235	0.041243258	0.000211562	-0.339038254	-0.518401193	-0.159675315	0.002275709
PWY-5896	superpathway_of_menaquinol-10_biosynthesis	50.57650395	0.040899571	0.000214767	-0.338967529	-0.518477805	-0.159457253	0.002275709
PWY-5723	Rubisco_shunt	60.21523548	0.01278471	0.000910417	-0.338736624	-0.538900497	-0.138572751	0.005634457
PWY-5392	reductive_TCA_cycle_II	18.62371687	0.226807286	1.11E-06	-0.337649598	-0.4735074	-0.201791797	8.73E-05
PYRIDOXSYN-PWY	pyridoxal_5'-phosphate_biosynthesis_I	58.49154545	0.016784513	0.000774586	-0.336037874	-0.531956062	-0.140119686	0.005204838
FAO-PWY	fatty_acid_&beta;-oxidation_I	63.38427829	0.005068375	0.001601977	-0.335527138	-0.543928791	-0.127125485	0.008487399
PWY-5971	palmitate_biosynthesis_II_(bacteria_and_plants)	49.10880687	0.04891783	0.000213748	-0.334029435	-0.510866941	-0.157191929	0.002275709
PWY-6834	spermidine_biosynthesis_III	0	1	0.19933537	-0.333682841	-0.843252879	0.175887198	0.31928427
PWY-6700	queuosine_biosynthesis	71.1265595	0.002000105	0.005266098	0.333463637	0.099231029	0.567696245	0.018364683
PWY-5860	superpathway_of_demethylmenaquinol-6_biosynthesis_I	51.29411917	0.03838486	0.000301674	-0.333387499	-0.514199087	-0.152575911	0.002817326
PWY-5675	nitrate_reduction_V_(assimilatory)	70.3099913	0.00193091	0.004999221	-0.330721003	-0.561637238	-0.099804769	0.017896187
PWY-6277	superpathway_of_5-aminoimidazole_ribonucleotide_biosynthesis	78.2865523	0.00023427	0.016720614	0.328469441	0.059416526	0.597522356	0.043253794
PWY-6122	5-aminoimidazole_ribonucleotide_biosynthesis_II	78.2865523	0.00023427	0.016720614	0.328469441	0.059416526	0.597522356	0.043253794
BRANCHED-CHAIN-AA-SYN-PWY	superpathway_of_branched_amino_acid_biosynthesis	79.69520616	0.000173659	0.020750568	0.327936038	0.049992272	0.605879804	0.051970741
HEME-BIOSYNTHESIS-II	heme_biosynthesis_I_(aerobic)	55.74193057	0.02341322	0.000737998	-0.326681737	-0.516392317	-0.136971157	0.005147303
PWY-5838	superpathway_of_menaquinol-8_biosynthesis_I	56.29127579	0.021471114	0.000818608	-0.326136646	-0.51715126	-0.135122031	0.005293695
PWY-6953	"dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose_biosynthesis"	36.33907491	0.132170978	5.22E-05	-0.323885129	-0.480794603	-0.166975655	0.000898598
PWY-7221	guanosine_ribonucleotides_de_novo_biosynthesis	78.36838099	0.000153223	0.01884685	0.322886255	0.053423651	0.592348859	0.047635847
PWY-5861	superpathway_of_demethylmenaquinol-8_biosynthesis	59.24218681	0.016025706	0.001412896	-0.322032709	-0.519768239	-0.124297179	0.007707977
PWY-5989	stearate_biosynthesis_II_(bacteria_and_plants)	46.1949812	0.04671499	0.000249218	-0.321183765	-0.493036862	-0.149330668	0.002409106
PWY-6527	stachyose_degradation	54.1438698	0.02612231	0.000817725	0.317745029	0.131661937	0.503828122	0.005293695
PWY0-845	superpathway_of_pyridoxal_5'-phosphate_biosynthesis_and_salvage	58.04228849	0.017619735	0.001412756	-0.317138471	-0.511867084	-0.122409859	0.007707977
GLYCOLYSIS-TCA-GLYOX-BYPASS	"superpathway_of_glycolysis,_pyruvate_dehydrogenase,_TCA,_and_glyoxylate_bypass"	61.4435909	0.009551036	0.002257275	-0.316420817	-0.519482563	-0.113359071	0.010283715
PWY66-389	phytol_degradation	71.32993064	0.000618745	0.008392657	-0.31560277	-0.550278422	-0.080927117	0.026274737
PWY-5899	superpathway_of_menaquinol-13_biosynthesis	54.19840947	0.025960059	0.000951093	-0.314456079	-0.500960072	-0.127952087	0.005634971
PWY-5898	superpathway_of_menaquinol-12_biosynthesis	54.19840947	0.025960059	0.000951093	-0.314456079	-0.500960072	-0.127952087	0.005634971
PWY-5897	superpathway_of_menaquinol-11_biosynthesis	54.19840947	0.025960059	0.000951093	-0.314456079	-0.500960072	-0.127952087	0.005634971
