V1	V2	V3	V4	V5
3	NA	1.72211031644571	H	2.42728599944112	0.0179094768572622
6	ANAEROFRUCAT_PWY_homolacticfermentation	4.715416093054	H	3.63929005299009	0.016193118022968342
12	ARGSYN_PWY_L_argininebiosynthesisI_viaL_ornithine_	4.74263868961876	H	3.86599788982312	0.02090932382957928
13	ARGSYNBSUB_PWY_L_argininebiosynthesisII_acetylcycle_	4.72562463724544	H	3.87727279468451	0.017649280912566196
25	COBALSYN_PWY_adenosylcobalaminsalvagefromcobinamideI	4.58024956873636	H	3.81508284348637	0.00440676954765554
26	COLANSYN_PWY_colanicacidbuildingblocksbiosynthesis	4.38469162228327	H	3.35613501214432	0.029031142135425375
39	FOLSYN_PWY_superpathwayoftetrahydrofolatebiosynthesisandsalvage	3.87619137285251	CRC	3.24250314303083	0.008639385587365616
52	GLUTORN_PWY_L_ornithinebiosynthesis	4.71682343768187	H	3.84018889746687	0.003987959364715997
54	GLYCOGENSYNTH_PWY_glycogenbiosynthesisI_fromADP_D_Glucose_	4.60055141511341	H	3.7929030654252	0.008639385587365616
62	NA	3.78754441747295	CRC	2.8794214878735	0.04623607144374416
72	LACTOSECAT_PWY_lactoseandgalactosedegradationI	3.40487801117917	H	2.74423206114898	0.03402408040958259
76	NA	3.54158858627303	H	3.01552559988478	0.0071457698149241765
92	P162_PWY_L_glutamatedegradationV_viahydroxyglutarate_	3.16540506704048	CRC	2.8039000835608	0.0004778848270311675
93	P163_PWY_L_lysinefermentationtoacetateandbutanoate	3.09901029630237	CRC	2.77192430046867	0.019856104077767025
112	PPGPPMET_PWY_ppGppbiosynthesis	3.76710813485362	CRC	2.94100729319328	0.013594215509699857
121	PWY_1861_formaldehydeassimilationII_RuMPCycle_	3.83530782769547	H	3.42052218228133	0.039733480563818056
144	PWY_5100_pyruvatefermentationtoacetateandlactateII	4.4768552722363	H	3.73596875646241	0.005913163714189143
145	PWY_5103_L_isoleucinebiosynthesisIII	4.92994646934158	CRC	3.91198783863515	0.042880674686755896
150	PWY_5154_L_argininebiosynthesisIII_viaN_acetyl_L_citrulline_	4.72338627341139	H	3.69390880660095	0.007160611708082982
169	PWY_5654_2_amino_3_carboxymuconatesemialdehydedegradationto2_oxopentenoate	1.80563664608989	CRC	2.34075999415229	0.0439443120098469
226	PWY_6210_2_aminophenoldegradation	1.84518166804951	CRC	2.24592262600228	0.022478873366125345
228	PWY_621_sucrosedegradationIII_sucroseinvertase_	4.40053366616303	H	3.4989326422003	0.039733480563818056
237	PWY_6317_galactosedegradationI_Leloirpathway_	4.55829598289679	H	3.68648546432124	0.016193118022968342
261	PWY_6612_superpathwayoftetrahydrofolatebiosynthesis	3.72531557051556	CRC	3.10378888137653	0.008639385587365616
270	PWY_6737_starchdegradationV	4.97970040036339	H	3.99896552560669	0.03678452322577578
299	PWY_7196_superpathwayofpyrimidineribonucleosidessalvage	3.99425708998482	H	3.35539503199514	0.042880674686755896
308	PWY_7211_superpathwayofpyrimidinedeoxyribonucleotidesdenovobiosynthesis	4.2271581902166	H	3.41085917871695	0.042880674686755896
331	PWY_7323_superpathwayofGDP_mannose_derivedO_antigenbuildingblocksbiosynthesis	4.39918196860732	H	3.50003124339651	0.010385379619448897
335	PWY_7357_thiaminformationfrompyrithiamineandoxythiamine_yeast_	4.74362352139511	H	3.64286653202941	0.03402408040958259
342	PWY_7400_L_argininebiosynthesisIV_archaebacteria_	4.74419135378978	H	3.86119356246121	0.019218963823798566
345	PWY_7456_mannandegradation	4.33187145182394	H	3.50325360907781	0.017649280912566196
358	PWY0_1296_purineribonucleosidesdegradation	4.684400554395	H	3.86466034067713	0.005366046661588375
386	PWY66_389_phytoldegradation	3.44874190960984	CRC	2.76826032188575	0.0035969709634568023
392	PWY66_422_D_galactosedegradationV_Leloirpathway_	4.58538052028637	H	3.75942225585415	0.005913163714189143
407	TEICHOICACID_PWY_teichoicacid_poly_glycerol_biosynthesis	4.08449982421723	H	3.03498000779952	0.04623607144374416
