ID	S1	S2	S3	S4	S5	S6	S7	S8	S9	S11	S12	S13	S14	S15	S16	S17	S18	S19	S21	S22	S23	S24	S25	S26	S27	S28	S29	S31	S32	S33	S34	S35	S36	S37	S38	S39
s__Actinobaculum_sp_oral_taxon_183	0	0	0.00336	0	0	0.03138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_odontolyticus	0	0	0.00324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00304	0	0	0	0	0
s__Actinomyces_sp_ICM47	0	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_sp_S6_Spd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00233	0	0	0	0	0
s__Actinomyces_turicensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0246	0	0	0	0	0
s__Bifidobacterium_adolescentis	0.02678	0	0	0	0	0	0	0	0	0	0.00919	0	0	0	0	0	1.44518	0.01521	0	0	0	0	0	0	0	0	3.22469	0	4.1569	0	0	0	0	0.14168	0	0.05664
s__Bifidobacterium_bifidum	0	0	0	0	0	0	0	0	0.02928	0	0	0	0	0	0	0	0.41793	0.00401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bifidobacterium_dentium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01181	0	0	0	0	0	0	0	0.00783	0	0	0	0	0.06355	0
s__Bifidobacterium_longum	0.02677	0	0	0.34219	1.30754	0.06729	0.34934	0.35596	0.02129	0	0.6315	0.08434	0.07056	0.00284	0	0.01151	0.30469	0.00403	0	0	0	0	0	0	0	0	0.79874	0	1.12209	0.01493	0	0	0.03466	0.04263	0.01903	0.04514
s__Bifidobacterium_pseudocatenulatum	0	0	0	0.36346	6.19095	0.43002	0.10747	1.12381	0.18081	0	1.42467	0.03582	0.44544	0.08164	0	0.01636	0.21399	0.22872	0	0	0	0	0	0.00129	0	0	0.45895	0	0.68738	0.0276	3.66377	0.0227	0.23726	0.0243	0	0.01593
s__Bifidobacterium_pseudolongum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Gardnerella_vaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23192	0	0	0	0	0
s__Scardovia_wiggsiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00112	0	0	0	0	0	0	0	0	0	0	0
s__Kocuria_polaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Rothia_mucilaginosa	0	0	0.0017	0	0	0	0	0	0.00043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Cutibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Atopobium_minutum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00719	0	0	0.03706	0	0	0	0	0
s__Collinsella_aerofaciens	0.24448	0.00042	0	0.63569	1.71196	0	0.35056	0.74718	0.78393	0.19519	0.54896	0	0.61555	0.51981	0.20153	0.36272	0.18351	0.02202	0	0	0	0.0619	0.09902	0.06008	0.76404	0	0.64958	0	1.09155	0.1137	0.42898	0.95457	0	0.31627	0.18811	0.03984
s__Collinsella_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0.00191	0	0	0	0.0415	0	0.3586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Collinsella_stercoris	0	0	0	0	0.00166	0	0	0.00206	0.00019	0	0.001	0.00149	0.00129	0.00064	0	0.00237	8e-04	0.00279	0	0	0	0	0	0	0	0.00019	0.00267	0	0.00452	0	0.00097	0.00194	0	0.00036	0	0
s__Adlercreutzia_equolifaciens	0	0	0	0.01941	0	0	0.03548	0.36302	0	0	0	0	0.01592	0.14713	0.05726	0	0	0	0	0	0	0.02761	0	0	0.44798	0	0.05008	0	0.05321	0	0	0.00464	0	0	0.31735	0
s__Asaccharobacter_celatus	0	0	0	0.00367	0	0	0.00822	0.10025	0	0	0	0	0.00311	0.04355	0.01902	0	0	0	0	0	0	0.00586	0	0	0.11485	0	0.0133	0	0.0132	0	0	0	0	0	0.11031	0
