len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
EC:1.1.1.1	24	24	0.0431059103127214	0.0442927272998717	0.00422995086523494	0.00416929923115185	-0.28259333442252	-0.866559284006521	0.301372615161482
EC:1.1.1.100	24	24	0.0561129537884245	0.0563546413536851	0.00323420849101504	0.00338883358811082	-0.0729639709608286	-0.654230189355208	0.508302247433551
EC:1.1.1.102	24	24	0.000672663410013499	0.000911935120881696	0.000613972065921401	0.000626200261100101	-0.385849732928888	-0.972304600730384	0.200605134872608
EC:1.1.1.103	24	24	0.0119516924540545	0.0110850717318035	0.00385564268785295	0.00248461948386336	0.267194967633661	-0.316464970478558	0.85085490574588
EC:1.1.1.105	24	24	0.0017039887471787	0.00186970213558417	0.00115127558963304	0.00223092761889733	-0.0933505928607709	-0.674739893599463	0.488038707877922
EC:1.1.1.108	24	24	0.00188158816918001	0.00247589111277983	0.00105485872816855	0.00118911834048652	-0.528741642038451	-1.11988044145958	0.0623971573826785
EC:1.1.1.11	24	24	0.00138044997928998	0.00185612226028946	0.000876507298752613	0.0013778117770488	-0.411947085280265	-0.999150671101176	0.175256500540646
EC:1.1.1.122	24	24	0.0031633851710288	0.00353854657114221	0.00118757681014494	0.00137072541848631	-0.292540656893586	-0.876713312021032	0.291631998233859
EC:1.1.1.125	24	24	0.0126619841016881	0.0133645206342906	0.00349954671618565	0.00362098962959844	-0.197298164820532	-0.77978305553509	0.385186725894025
EC:1.1.1.130	24	24	0.00700277649664722	0.00700639553433092	0.00260559603172193	0.00189977684490415	-0.00158718405549949	-0.582660183487095	0.579485815376096
EC:1.1.1.132	24	24	0.00221222794099791	0.00260459524675415	0.00126911936325888	0.00104976640636236	-0.336906236646034	-0.922086822766099	0.248274349474031
EC:1.1.1.133	24	24	0.0374619342307491	0.0370998390411818	0.00259304642464933	0.00337939959475028	0.120217713984513	-0.461379822079726	0.701815250048752
EC:1.1.1.136	24	24	0.00402694161051905	0.00446670671865843	0.00122687947625048	0.00152513603405546	-0.317734378226965	-0.902462185040299	0.26699342858637
EC:1.1.1.137	24	24	0.00573418426135178	0.00640649844128436	0.00239225797303174	0.00248201451184608	-0.275815611096731	-0.859644774942919	0.308013552749457
EC:1.1.1.14	24	24	0.0207239426043827	0.0200423175547969	0.00350898758761285	0.0035607713198603	0.192823199298147	-0.389598440093173	0.775244838689467
EC:1.1.1.140	24	24	0.00845987093260149	0.0091126605344225	0.00309516199335666	0.00348788885481011	-0.197972360374261	-0.780466905667429	0.384522184918907
EC:1.1.1.145	24	24	2.93354693522276e-05	0.000223578010480397	0.000143713862556023	0.000624492041489209	-0.428673479761338	-1.01638215489249	0.159035195369812
EC:1.1.1.157	24	24	0.0215807471233505	0.0233801372980241	0.00324537846996447	0.00396421791115892	-0.496702480127439	-1.08666725702134	0.0932622967664667
EC:1.1.1.159	24	24	0.0093571068144718	0.00941678042970235	0.00223080353393023	0.00161402633326008	-0.0306491125779918	-0.611756134604626	0.550457909448642
EC:1.1.1.163	24	24	0.00199937849000286	0.00151930560353826	0.000937211109512159	0.000494875783200315	0.640590853592718	0.0448013605358927	1.23638034664954
EC:1.1.1.169	24	24	0.0309445094102352	0.0305102765488666	0.00339443190719977	0.00431774127893768	0.111811276039618	-0.469715481842853	0.693338033922089
EC:1.1.1.17	24	24	0.0129328303003789	0.0134754236650118	0.00414503327959158	0.00419679815981382	-0.130087240880848	-0.71177440645721	0.451599924695514
EC:1.1.1.173	24	24	0.000753876291133192	0.000983770780486438	0.000283224198844265	0.000557643126329965	-0.519821498581557	-1.11062630225376	0.0709833050906458
EC:1.1.1.179	24	24	0.000485126215912953	0.000683012985527458	0.00044876032195415	0.00047959080950549	-0.426083899526297	-1.01371309046431	0.161545291411721
EC:1.1.1.18	24	24	0.0106312568055856	0.0113429322909786	0.00258810989693562	0.00290300510437075	-0.258784656913643	-0.84228463116902	0.324715317341735
EC:1.1.1.193	24	24	0.0347280721395239	0.0344183554781967	0.00150765856811636	0.0018433256691338	0.183930685553766	-0.398369550306191	0.766230921413722
EC:1.1.1.2	24	24	0.000513725087825095	0.000674376734139978	0.000554004210522332	0.000536831246784363	-0.294511405837702	-0.878725852895773	0.28970304122037
EC:1.1.1.202	24	24	0.00182385718235527	0.00206000889443852	0.000783164336357491	0.000925794766393463	-0.275411517766924	-0.859232630225292	0.308409594691443
EC:1.1.1.203	24	24	0.00238701941790935	0.00312003516654036	0.00109333655231931	0.00123522345943719	-0.628421622297654	-1.22366387644714	-0.0331793681481731
EC:1.1.1.205	24	24	0.03942175320943	0.0397943184341974	0.00142263646175252	0.00115397621509642	-0.287630603917926	-0.871700343567521	0.296439135731669
EC:1.1.1.206	24	24	0.0030336138890155	0.00314596309875653	0.00105407749588428	0.000865653228766955	-0.116487086528408	-0.698052580591965	0.465078407535148
EC:1.1.1.21	24	24	0.000431791179047548	0.000750662957334205	0.00035847483734089	0.000502309184960545	-0.730755232083271	-1.33090830580126	-0.130602158365282
EC:1.1.1.215	24	24	0.00757439555589706	0.00860951730854932	0.00284814545887572	0.00279064490528874	-0.367124106857683	-0.953071387184499	0.218823173469132
