len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
1CMET2-PWY	24	24	0.0765098901679691	0.0766987216825662	0.00433166428005897	0.00330445016882692	-0.0490159841137344	-0.630176139658162	0.532144171430693
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	24	24	0.0130998026370637	0.0139790348193508	0.00518243237104778	0.0046430299131059	-0.178701055015608	-0.760932559227116	0.4035304491959
AEROBACTINSYN-PWY	24	24	0.00362626211850133	0.00353829127834084	0.00205292428257281	0.00150813100297437	0.0488389458681822	-0.532320580611302	0.629998472347667
ALL-CHORISMATE-PWY	24	24	0.0345888678884896	0.0353627575782104	0.00783077818383712	0.00691906594213244	-0.104735414617862	-0.686206566302132	0.476735737066408
ANAEROFRUCAT-PWY	24	24	0.0738653003268119	0.0756916120011657	0.00460641246488171	0.00395247400382633	-0.425523625894827	-1.01313568184044	0.162088430050786
ANAGLYCOLYSIS-PWY	24	24	0.0853748681262091	0.085137930575572	0.00404928517364757	0.00275470743479673	0.0684191876114205	-0.512823702339186	0.649662077562027
ARG+POLYAMINE-SYN	24	24	0.0413040465634116	0.0410769935527846	0.00569426232189943	0.00528157268925042	0.0413440403420063	-0.539790942108426	0.622479022792439
ARGDEG-PWY	24	24	0.014971107114274	0.015547124799729	0.00571457360337656	0.00460376471332538	-0.111007909810862	-0.692528171781091	0.470512352159368
ARGORNPROST-PWY	24	24	0.0294925617245444	0.0330068118043797	0.00613052500528777	0.00643381625527927	-0.55923770113163	-1.15155976478648	0.0330843625232223
ARGSYN-PWY	24	24	0.0642928730692404	0.0638418428355209	0.00502632139683308	0.00446011526078973	0.0949205723039676	-0.486479457157064	0.676320601764999
ARGSYNBSUB-PWY	24	24	0.0644800551224908	0.0635467617249332	0.00587292615811386	0.00499839566671298	0.17114537188952	-0.410990317546645	0.753281061325684
ARO-PWY	24	24	0.0790434885142389	0.0784577650432668	0.00377490963141308	0.00270276030979252	0.178416519104965	-0.403811302161379	0.760644340371309
ASPASN-PWY	24	24	0.0769737170207897	0.075243464210928	0.00746016672580374	0.00576162508038971	0.259594113414166	-0.323921036079021	0.843109262907353
AST-PWY	24	24	0.0204615039146894	0.01865770301519	0.00944746090092232	0.00538817958335725	0.234549814811134	-0.348517602695593	0.817617232317861
BIOTIN-BIOSYNTHESIS-PWY	24	24	0.0650150444908071	0.0661837918687619	0.00831865615125151	0.00776483978587391	-0.14524890767802	-0.727087500996348	0.436589685640307
BRANCHED-CHAIN-AA-SYN-PWY	24	24	0.0797618923889272	0.078918019143692	0.00458728500030525	0.00424329614625142	0.19098034375768	-0.391415667699646	0.773376355215005
CALVIN-PWY	24	24	0.0877292863052744	0.0874262285263848	0.00488585364145654	0.00353212396489653	0.071089157490555	-0.510167255835804	0.652345570816914
CATECHOL-ORTHO-CLEAVAGE-PWY	24	24	0.0114771362138562	0.0126617383665303	0.00603570037030741	0.0061782147508359	-0.193962625290174	-0.776400232827218	0.388474982246869
CENTFERM-PWY	24	24	0.0417815403215663	0.0438466493527976	0.00516826929835268	0.00547062745427608	-0.388061955975194	-0.97457842710624	0.198454515155853
CHLOROPHYLL-SYN	24	24	0.00830775104550707	0.00697654811036681	0.00730839910608925	0.00518969813306615	0.210028408582905	-0.372644312605589	0.792701129771398
COA-PWY	24	24	0.0790879393159186	0.0790967185912217	0.00436779548025139	0.00327435135513624	-0.00227443074602961	-0.583347526558785	0.578798665066726
COBALSYN-PWY	24	24	0.0662035720837435	0.0656666435062513	0.00749715912976562	0.00769754523081569	0.0706669744152882	-0.510587266124847	0.651921214955424
CODH-PWY	24	24	0.0213372104259554	0.0222276748990052	0.00493645847687668	0.00508485169091427	-0.177694702220253	-0.759913206735603	0.404523802295098
COLANSYN-PWY	24	24	0.0624204266118775	0.060239483549657	0.0048178499804686	0.00436526649782126	0.474413929135926	-0.1147761120637	1.06360397033555
COMPLETE-ARO-PWY	24	24	0.0809091142693568	0.080114949891809	0.00365267982557658	0.0026372791205583	0.249290740025124	-0.334034756920122	0.83261623697037
CRNFORCAT-PWY	24	24	0.00916221092609771	0.00982813764675991	0.00497639747154129	0.0049535843334695	-0.134124105431345	-0.715849964059794	0.447601753197105
DAPLYSINESYN-PWY	24	24	0.0676894345889493	0.0679036753863557	0.00531559182113163	0.00470040917214192	-0.0426992438846649	-0.623838362237204	0.538439874467874
DENITRIFICATION-PWY	24	24	0.00540095502265329	0.00790102392678656	0.00182797790864106	0.00317096760435525	-0.965985646615654	-1.58001257652366	-0.35195871670765
DENOVOPURINE2-PWY	24	24	0.0780443488397769	0.0768577726756792	0.00390135617898798	0.00362687903659763	0.315024239347826	-0.269641674666257	0.899690153361909
DHGLUCONATE-PYR-CAT-PWY	24	24	0.00373267770537342	0.00424278212158206	0.00149879198767273	0.00231884995458061	-0.261275396698767	-0.844822216127678	0.322271422730144
DTDPRHAMSYN-PWY	24	24	0.0771192566167937	0.0769612447494232	0.0074200445908867	0.00645729680597204	0.0227180376069951	-0.558373613602375	0.603809688816365
ECASYN-PWY	24	24	0.0160037215369608	0.0172873776134416	0.00623313965032176	0.00626076442635685	-0.205484679705082	-0.788089019304646	0.377119659894483
ENTBACSYN-PWY	24	24	0.0255213337276933	0.0264355978199492	0.0074175730733682	0.00617686027608444	-0.133948947888051	-0.71567310316003	0.447775207383928
FAO-PWY	24	24	0.0419306457951436	0.0421192081359742	0.0132855346145613	0.00975892905596261	-0.0161767574591375	-0.597259169043922	0.564905654125647
FASYN-ELONG-PWY	24	24	0.0807905493042846	0.078729071733583	0.00793622027092752	0.0078061426609871	0.261892983785877	-0.321665519894969	0.845451487466724
FASYN-INITIAL-PWY	24	24	0.0655918159726786	0.0656897818642173	0.0106217267617447	0.00815227674573892	-0.0103472067937393	-0.591424002998468	0.57072958941099
FERMENTATION-PWY	24	24	0.0683423433337125	0.0682162460596897	0.00443521382475427	0.00304066703907814	0.0331623842886333	-0.547950461737746	0.614275230315012
FOLSYN-PWY	24	24	0.0768605281560431	0.0767816253084275	0.003930561277201	0.00306696503572708	0.0223818338543264	-0.558709266706237	0.603472934414889
FUC-RHAMCAT-PWY	24	24	0.0338028630086894	0.0328931735136499	0.0061755183091692	0.00536651127695812	0.157244974981392	-0.424725215075803	0.739215165038588
FUCCAT-PWY	24	24	0.0292778572675899	0.0290916745543879	0.00647064503069357	0.00803650953289929	0.0255194826655086	-0.555577076061689	0.606616041392706
GALACT-GLUCUROCAT-PWY	24	24	0.0385633278185582	0.0403091476906392	0.00559018006859769	0.00650654791015084	-0.287818668873707	-0.871892318642832	0.296254980895418
GALACTARDEG-PWY	24	24	0.0158401669091157	0.0164321550668386	0.00475332843915144	0.003576502439912	-0.140739285782406	-0.72253110080011	0.441052529235299
GALACTUROCAT-PWY	24	24	0.0526580992398592	0.0534122709365965	0.00774935196818925	0.00932809722188972	-0.0879486755050931	-0.669302426907107	0.493405075896921
GALLATE-DEGRADATION-I-PWY	24	24	0.00374541309541329	0.00511456462040962	0.00114739010382558	0.00315076713191597	-0.577443145915332	-1.17050201559128	0.01561572376062
GALLATE-DEGRADATION-II-PWY	24	24	0.0031051769221282	0.00380567927286009	0.00116420183392537	0.00178713765376728	-0.464467997039071	-1.05332348467455	0.124387490596411
GLCMANNANAUT-PWY	24	24	0.0545913340093711	0.057906365604817	0.00650320734263997	0.00642624430521663	-0.512778570513388	-1.103323550844	0.0777664098172277
GLUCARDEG-PWY	24	24	0.018022828262606	0.0180796065900854	0.00476089746789546	0.00346109577485146	-0.0136419122098549	-0.594721578782418	0.567437754362708
GLUCARGALACTSUPER-PWY	24	24	0.0158401669091157	0.0164321550668386	0.00475332843915144	0.003576502439912	-0.140739285782406	-0.72253110080011	0.441052529235299
GLUCONEO-PWY	24	24	0.0806205296229142	0.0798678681084099	0.00349943898233679	0.00253798419387054	0.246229360723361	-0.337041254319027	0.829499975765748
GLUCOSE1PMETAB-PWY	24	24	0.0339433491975849	0.0328894354978651	0.0123412957129388	0.010310721720429	0.0926808911997014	-0.488703887401604	0.674065669801007
GLUCUROCAT-PWY	24	24	0.0373893900252393	0.0392098481753164	0.00626218355864203	0.00650535457822283	-0.285118091419354	-0.869135835272291	0.298899652433583
GLUTORN-PWY	24	24	0.0611728686069871	0.0596517793122497	0.00551311978315439	0.00569485367288728	0.271394178523338	-0.312347526247458	0.855135883294134
GLYCOCAT-PWY	24	24	0.0799031365395198	0.0785711866655677	0.00619080684611701	0.00585340552165013	0.221090015740562	-0.361755395391415	0.803935426872538
GLYCOGENSYNTH-PWY	24	24	0.0757400202621464	0.075194886119513	0.00681438016999441	0.00581716838695174	0.0860453915401878	-0.495296338786703	0.667387121867079
GLYCOL-GLYOXDEG-PWY	24	24	0.0187070015110673	0.0193238949156296	0.00471475821799367	0.00428190876829959	-0.136979762662388	-0.718733704983454	0.444774179658679
GLYCOLYSIS	24	24	0.0817761080993614	0.0828144934735876	0.00351245321435756	0.00266125610906067	-0.333237056573027	-0.918328963655315	0.25185485050926
GLYCOLYSIS-E-D	24	24	0.0599306665124538	0.0603202091589192	0.00739175124536809	0.00500712772252814	-0.0617043058668946	-0.642915471699715	0.519506859965926
GLYCOLYSIS-TCA-GLYOX-BYPASS	24	24	0.0461423809931113	0.0472560935289852	0.012047768568496	0.00903848683770734	-0.104574414527558	-0.686044343203826	0.476895514148711
GLYOXYLATE-BYPASS	24	24	0.0360069364326029	0.0365642355392152	0.0112187080900573	0.00812349861260114	-0.0569012382683986	-0.638091719900667	0.524289243363869
GOLPDLCAT-PWY	24	24	0.0123371569887966	0.0100991382832441	0.00394488726769693	0.00405886850957161	0.55918542779419	-0.033134552950716	1.1515054085391
HCAMHPDEG-PWY	24	24	0.0114046144523605	0.0113617124204871	0.00484462014770921	0.0040711993302351	0.00958779334478189	-0.571488453062813	0.590664039752377
HEME-BIOSYNTHESIS-II	24	24	0.0333887300146611	0.0323341824816824	0.0114164974660503	0.00655396718723907	0.113290444004291	-0.468248396560675	0.694829284569257
HEMESYN2-PWY	24	24	0.0467298584069957	0.0477085429135568	0.0108805397982452	0.00868437365932888	-0.0994204652891411	-0.680852235784184	0.482011305205902
HEXITOLDEGSUPER-PWY	24	24	0.0434077334500119	0.0450925769931016	0.00666784677366727	0.00830925151484824	-0.223650202573232	-0.806536837749551	0.359236432603087
HISDEG-PWY	24	24	0.058250637416365	0.0578747641736815	0.00795601576535928	0.00717440712249064	0.0496182727078902	-0.53154403997017	0.63078058538595
HISTSYN-PWY	24	24	0.0667385366069619	0.065739365536399	0.00544211178961139	0.00576140194909849	0.178295055976137	-0.403931194889182	0.760521306841457
HOMOSER-METSYN-PWY	24	24	0.053670606178924	0.0529979360360479	0.00725734084934434	0.00573215436781865	0.102864749122951	-0.478592308304214	0.684321806550115
HSERMETANA-PWY	24	24	0.0574897489237077	0.056761711387983	0.00812148927337392	0.00667501853437203	0.0979398004796196	-0.483481363738785	0.679360964698025
ILEUSYN-PWY	24	24	0.0821812843811018	0.0814557179054044	0.00470868533883717	0.00436358592164147	0.159836956189367	-0.422163034999481	0.741836947378214
KDO-NAGLIPASYN-PWY	24	24	0.0373998127336581	0.0389656445113217	0.00794284565077899	0.00822382596544795	-0.193681837718994	-0.776115501547613	0.388751826109625
KETOGLUCONMET-PWY	24	24	0.0140574562300507	0.0150055475680931	0.00541848458639529	0.00440729798880042	-0.191966460267946	-0.774376154823907	0.390443234288015
LACTOSECAT-PWY	24	24	0.0221821413520823	0.0269253022374364	0.00797967401062976	0.0127092595836195	-0.44699040548158	-1.03527472802224	0.141293917059081
LEU-DEG2-PWY	24	24	0.0217171289297239	0.0219736375532187	0.00963590280474568	0.00694795100799634	-0.0305362382264378	-0.611643009452822	0.550570532999946
LIPASYN-PWY	24	24	0.00263452652239275	0.00332930090784805	0.00206665006093207	0.00257301209701884	-0.29772566228285	-0.882008866754797	0.286557542189096
LPSSYN-PWY	24	24	0.0148911458581881	0.0129845807086658	0.00497598918476613	0.00539675677401299	0.367308418959872	-0.218643736502288	0.953260574422031
MET-SAM-PWY	24	24	0.0627298851479973	0.0620833363654309	0.0074022916663778	0.00619069649830072	0.0947540915306883	-0.48664479178404	0.676152974845417
METH-ACETATE-PWY	24	24	0.0213895990199712	0.0216574380119689	0.00471932600727763	0.00514136772995772	-0.0542748840783704	-0.635454763618917	0.526904995462176
METHANOGENESIS-PWY	24	24	0.000864586076724757	0.000896422207247406	0.00141168635189984	0.00159861826843298	-0.021110771266207	-0.602199864213046	0.559978321680632
METHGLYUT-PWY	24	24	0.0167696497709437	0.0173955840766109	0.00508580669699634	0.00451304493111894	-0.130187022578739	-0.711875130334393	0.451501085176914
