len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
EC:1.1.1.1	47	48	0.0426051175859038	0.0398497928239967	0.0030252222546631	0.00620622727910383	0.56251631441397	0.147035880527387	0.977996748300553
EC:1.1.1.100	47	48	0.060802963562502	0.0569334311429143	0.00463696334999963	0.00587749258302244	0.730057569483787	0.309202920660042	1.15091221830753
EC:1.1.1.102	47	48	0.000763438829850243	0.000914613614116207	0.00164364454490901	0.00197815996781793	-0.0830448207927692	-0.490720918927165	0.324631277341626
EC:1.1.1.103	47	48	0.00885972429617231	0.00880502447963988	0.00354177615115245	0.0041437020530661	0.0141792692291345	-0.393326362153706	0.421684900611976
EC:1.1.1.105	47	48	8.07342952083063e-05	0.000231529703186268	0.000204833927167237	0.000613051977665541	-0.328523389957657	-0.738763174905347	0.0817163949900334
EC:1.1.1.108	47	48	0.0026245171304231	0.00257184160611406	0.00205632056257456	0.00159015425764961	0.0286968120867116	-0.378824670211649	0.436218294385072
EC:1.1.1.11	47	48	0.00116645520025976	0.000872008141389861	0.00337841694280228	0.00279647959792028	0.0950438636831317	-0.312686625435956	0.502774352802219
EC:1.1.1.122	47	48	0.00231550042240873	0.00310054491106129	0.00320006937121738	0.00469767166054401	-0.194938377074781	-0.603405473355292	0.213528719205731
EC:1.1.1.125	47	48	0.00867979678468219	0.00873642290560219	0.00418055856688671	0.00462236072112307	-0.012842221569086	-0.420346932902246	0.394662489764074
EC:1.1.1.130	47	48	0.00415758057658714	0.00512067967757144	0.00221557733527097	0.00302111108397682	-0.362965474759385	-0.773807273603946	0.0478763240851762
EC:1.1.1.132	47	48	0.00129595734883854	0.000876949977405665	0.00156730378470638	0.000996348158931946	0.319796507228211	-0.0903001332082733	0.729893147664696
EC:1.1.1.133	47	48	0.0409158455635616	0.040343826557605	0.00382729678965837	0.00505426849548386	0.127412967572308	-0.280500750403804	0.53532668554842
EC:1.1.1.136	47	48	0.00325021949313244	0.00272369769590524	0.0015733389050592	0.00116128368140889	0.381384422261739	-0.0298035331779918	0.79257237770147
EC:1.1.1.137	47	48	0.00266468662598289	0.0046988647746452	0.00215199747238718	0.00350370692778294	-0.697937885861147	-1.1176600329073	-0.27821573881499
EC:1.1.1.14	47	48	0.0283124081990867	0.0257954873109909	0.00625026461792376	0.00580765810593838	0.417355299215088	0.00544287160058821	0.829267726829589
EC:1.1.1.140	47	48	0.00609896279450014	0.00756357613580314	0.00372828136886271	0.00444897195166082	-0.356498195785661	-0.767222449082483	0.0542260575111604
EC:1.1.1.145	47	48	4.6238634484216e-06	0	3.16996107217978e-05	0	0.207402329252744	-0.201192150524406	0.615996809029893
EC:1.1.1.157	47	48	0.0232999648668315	0.024283182884153	0.00559634966328438	0.00567548565692908	-0.17443824336247	-0.58271291551086	0.233836428785921
EC:1.1.1.159	47	48	0.00871036289331365	0.00907036388776163	0.00263712372244945	0.00453996249056437	-0.0967120570186576	-0.50445068766441	0.311026573627095
EC:1.1.1.163	47	48	0.00016048262799791	0.000561110211205411	0.00030221137178677	0.00130570222102724	-0.420719174126712	-0.832702619723369	-0.00873572853005528
EC:1.1.1.169	47	48	0.0321172346826275	0.0303611452134508	0.00525073864767414	0.00601265048477429	0.310886565885018	-0.0990678536814235	0.72084098545146
EC:1.1.1.17	47	48	0.00767417066722221	0.00790919814751021	0.00420777816020938	0.00384211968238976	-0.0583609662211948	-0.465948205553293	0.349226273110904
EC:1.1.1.173	47	48	0.000272403874873299	0.00032561942826848	0.000540185730002732	0.000629905818461338	-0.0906191681388224	-0.498328748174822	0.317090411897177
EC:1.1.1.179	47	48	2.47974495162915e-05	5.50851659370204e-05	0.000101150912930533	0.00029916421041312	-0.13505761561933	-0.543022375968812	0.272907144730152
EC:1.1.1.18	47	48	0.0116484555259657	0.0104714892234258	0.00425719461000713	0.00396655066804852	0.286166117894444	-0.123414518571937	0.695746754360825
EC:1.1.1.193	47	48	0.0312538406103668	0.0330181180998018	0.00218843051336413	0.00304717767688311	-0.663927246706463	-1.08250264333685	-0.245351850076074
EC:1.1.1.2	47	48	0.000856245721318118	0.000591394005321553	0.00149974908250877	0.000995360164107564	0.208523429165799	-0.200082893279427	0.617129751611026
EC:1.1.1.202	47	48	0.00166042072458378	0.00135957097050323	0.00197495134088258	0.00169696942638979	0.163529907000443	-0.244651047816273	0.57171086181716
EC:1.1.1.203	47	48	0.00128651698350746	0.0011668396405782	0.00387953456862245	0.00307850054102488	0.0342158630993769	-0.373314460894443	0.441746187093197
EC:1.1.1.205	47	48	0.0388865879344379	0.0398319655899054	0.0020634144676996	0.0027034191656812	-0.392564325173364	-0.803970595214159	0.018841944867431
EC:1.1.1.206	47	48	0.00132870101039802	0.00224416663015482	0.00133140496149155	0.00242313862462188	-0.466918904183708	-0.879934018771806	-0.0539037895956103
EC:1.1.1.21	47	48	0	1.10098185497079e-05	0	7.62782604408332e-05	-0.20303547536162	-0.611584431609268	0.205513480886027
EC:1.1.1.215	47	48	0.00395498141253245	0.0039688346898655	0.00539831759300922	0.00560318922370322	-0.00251749227812197	-0.410018165116502	0.404983180560258
EC:1.1.1.219	47	48	0.00528897669428235	0.00443614315249314	0.00273751359908975	0.00235474212316535	0.334279645897499	-0.0760566383012468	0.744615930096244
EC:1.1.1.22	47	48	0.0378627917151492	0.037057371274594	0.00427022529316537	0.00595662301420686	0.15514461367475	-0.252968399315355	0.563257626664854
EC:1.1.1.220	47	48	0.00031508834296642	0.0016761514118596	0.000921701758792964	0.00288826815386106	-0.632123643858645	-1.0496758794235	-0.214571408293793
EC:1.1.1.23	47	48	0.0362499224867412	0.0334226962687951	0.00210935137814312	0.00367844458340102	0.94037426420077	0.510944177043758	1.36980435135778
EC:1.1.1.25	47	48	0.0414171985674943	0.0409128068932887	0.00226270905049344	0.00243996006358427	0.21427402007175	-0.194394046428395	0.622942086571896
EC:1.1.1.251	47	48	0.00240645608111334	0.0028315409817613	0.00310981866966535	0.00450459874439696	-0.109616630730199	-0.517423021398727	0.298189759938328
EC:1.1.1.26	47	48	0.00342246445864042	0.00447769462971407	0.00245590877345119	0.00313088006616429	-0.374552686641244	-0.785610285371846	0.0365049120893572
EC:1.1.1.261	47	48	0.0114229128731449	0.0105603443898335	0.00423152982795745	0.0046419213761986	0.194111660252849	-0.214347264604304	0.602570585110001
EC:1.1.1.262	47	48	0.0265200123455177	0.0287506527538527	0.00394588304008137	0.00470498497700576	-0.513248895010124	-0.927403435942265	-0.0990943540779841
EC:1.1.1.264	47	48	0.00263028326827664	0.00231932489352748	0.00401661860016311	0.00290758254259708	0.0888367486595449	-0.318864689784519	0.496538187103609
EC:1.1.1.267	47	48	0.0374054285667805	0.037080077304413	0.00199109006223237	0.0023866088609944	0.147894887273829	-0.260162258330119	0.555952032877778
