len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
1CMET2-PWY	47	48	0.0809042268264605	0.0809307128327763	0.00329354263156927	0.00446597952340782	-0.00673939607161197	-0.414241064161186	0.400762272017962
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	47	48	0.00205571027270689	0.00200427866324477	0.0039725992981621	0.00591408402726622	0.0101885398391917	-0.397314615121515	0.417691694799898
AEROBACTINSYN-PWY	47	48	0.000467293374243341	0.000293756599571666	0.00210002587172844	0.000888134018563801	0.108039782458206	-0.299757874471357	0.515837439387768
ALL-CHORISMATE-PWY	47	48	0.0149860940446482	0.0157619279400468	0.0124173209783516	0.0126658390174245	-0.0618513130532286	-0.469449235044087	0.34574660893763
ANAEROFRUCAT-PWY	47	48	0.0761686020050983	0.0788184051142045	0.00517689089605166	0.00898579427680769	-0.360384460541809	-0.771179098999572	0.0504101779159548
ANAGLYCOLYSIS-PWY	47	48	0.0918694881255123	0.0914830942076317	0.0051006544745063	0.00508332294803635	0.0758839917319192	-0.331763136012836	0.483531119476675
ARG+POLYAMINE-SYN	47	48	0.0415589617554419	0.0410237797392154	0.00684312510750531	0.00870001937321891	0.0682913938052139	-0.339327866299555	0.475910653909983
ARGDEG-PWY	47	48	0.00755322071562287	0.00847541213905186	0.00852376441699223	0.0108010293928276	-0.0946671750734795	-0.502395845366874	0.313061495219915
ARGORNPROST-PWY	47	48	0.0212969977829785	0.025613027398346	0.00593622393716747	0.00752045158485479	-0.636276791916579	-1.05395992852936	-0.218593655303795
ARGSYN-PWY	47	48	0.0718966006865781	0.0686541886349492	0.00663196487084784	0.00741937776204571	0.46050974709319	0.0476440089890702	0.87337548519731
ARGSYNBSUB-PWY	47	48	0.0707881585820358	0.067295622861055	0.00824684674195567	0.00891693679243096	0.406485576740576	-0.00520118593627494	0.818172339417426
ARO-PWY	47	48	0.0858850352487472	0.0846371880998786	0.00515630751282873	0.0047979792821224	0.250650160497463	-0.158447134202189	0.659747455197114
ASPASN-PWY	47	48	0.0826734540658987	0.0816428638597636	0.0048810881621804	0.010524672887886	0.125194563150376	-0.282704898273681	0.533094024574434
AST-PWY	47	48	0.00689366803955847	0.00761205430849192	0.00715195239016072	0.00931762656113607	-0.0863734216273115	-0.494063874233093	0.321317030978469
BIOTIN-BIOSYNTHESIS-PWY	47	48	0.0656282811599691	0.0622223236749358	0.011120257641664	0.0112573331181526	0.304382122280897	-0.105470980530285	0.71423522509208
BRANCHED-CHAIN-AA-SYN-PWY	47	48	0.0897466081242003	0.0837320591305441	0.00414149668195874	0.00740730309874241	0.999474601427359	0.567282923018252	1.43166627983647
CALVIN-PWY	47	48	0.0923306202822447	0.0938480474578559	0.00481578036372371	0.00545589284662451	-0.294689927020233	-0.704395988608285	0.11501613456782
CATECHOL-ORTHO-CLEAVAGE-PWY	47	48	0.00377757039547297	0.0027191847628918	0.00793524071390163	0.00538363102357876	0.156402663247262	-0.251720315818468	0.564525642312991
CENTFERM-PWY	47	48	0.0230348269217795	0.0231568055889001	0.01114674839697	0.010470746431222	-0.0112834578875479	-0.418787211550631	0.396220295775535
CHLOROPHYLL-SYN	47	48	0.000402738711409786	0.00074391761589411	0.0012273118981714	0.00177533046192258	-0.223136100729133	-0.631902588674767	0.185630387216502
COA-PWY	47	48	0.08285960842631	0.0836492637470593	0.00469018989858903	0.00581915672014148	-0.149246761955751	-0.557314123109618	0.258820599198115
COBALSYN-PWY	47	48	0.0789785135333432	0.0750416487562091	0.0080506922045864	0.00920015296190364	0.455091355367865	0.0423503331195503	0.86783237761618
CODH-PWY	47	48	0.0159832531737741	0.0192178257739688	0.00659937214031144	0.00890567941016301	-0.412043539621493	-0.823844961947197	-0.000242117295789934
COLANSYN-PWY	47	48	0.0597733596194453	0.0597001211269498	0.0057912729865518	0.00932018728342148	0.00941674776084157	-0.398086021871505	0.416919517393188
COMPLETE-ARO-PWY	47	48	0.0877188564383891	0.0863874214115585	0.00513281988094341	0.00481564975547038	0.267622038801887	-0.141698320695448	0.676942398299223
CRNFORCAT-PWY	47	48	0.00356984742801989	0.00275305655580441	0.00607436941602941	0.00453619154990784	0.152598562814155	-0.255494526297881	0.560691651926191
DAPLYSINESYN-PWY	47	48	0.0756978324804481	0.0724751766537738	0.00703303891615068	0.00739569334822525	0.44643819730876	0.0338933612383719	0.858983033379148
DENITRIFICATION-PWY	47	48	0.00335556720562298	0.00389240942118544	0.00384811657679909	0.00324922506657749	-0.150880065989857	-0.558959892984332	0.257199761004617
DENOVOPURINE2-PWY	47	48	0.0744142594221743	0.0746867924048443	0.00651514321627815	0.00585267719678849	-0.0440335132606526	-0.451583398940965	0.36351637241966
DHGLUCONATE-PYR-CAT-PWY	47	48	0.00106315954906208	0.000471154864834768	0.00244631682257289	0.00093183925662074	0.32111208341906	-0.0890058925161472	0.731230059354266
DTDPRHAMSYN-PWY	47	48	0.0853467033024577	0.0848896604688519	0.00581923720164409	0.0100682015220488	0.055433131509268	-0.35214562503817	0.463011888056706
ECASYN-PWY	47	48	0.00809081255268163	0.00944155776440099	0.009598435855473	0.010989329825973	-0.130825235683581	-0.538761370355827	0.277110898988664
ENTBACSYN-PWY	47	48	0.0114692067431511	0.0127374190428809	0.0117593402272403	0.0127073802271589	-0.103547546072974	-0.511321014520198	0.30422592237425
FAO-PWY	47	48	0.0201117138237812	0.0213028004538043	0.0177103075070543	0.0193379642853036	-0.0642069440216523	-0.471812426168808	0.343398538125504
FASYN-ELONG-PWY	47	48	0.0821483919057398	0.0785876845326759	0.0104805384458745	0.0100155201159823	0.3474482263189	-0.0631150329724247	0.758011485610224
FASYN-INITIAL-PWY	47	48	0.0665735558873616	0.0580529981984337	0.0125927378620957	0.0148709520659452	0.617825169949279	0.200717351209151	1.03493298868941
FERMENTATION-PWY	47	48	0.0688674716704476	0.0676935382336238	0.00654837362988666	0.00720659290096395	0.170409736693442	-0.237829623128869	0.578649096515754
FOLSYN-PWY	47	48	0.0750228830655994	0.0778369268506707	0.00477686965643846	0.00599600942978604	-0.518495001447791	-0.932785143631007	-0.104204859264575
FUC-RHAMCAT-PWY	47	48	0.0375637451604897	0.0361019947110136	0.00900790668136337	0.0102160837751858	0.151674145624716	-0.256411790889792	0.559760082139224
FUCCAT-PWY	47	48	0.0325040963864859	0.0324153852263253	0.00844192414182996	0.00872118860499372	0.0103342453054282	-0.397168985805178	0.417837476416034
GALACT-GLUCUROCAT-PWY	47	48	0.0472965767564201	0.0451330553007431	0.00664004538484102	0.00881041724326179	0.276926305858956	-0.132522486258706	0.686375097976618
GALACTARDEG-PWY	47	48	0.00956162717242731	0.0105845608924928	0.00577105873621668	0.00504302769586277	-0.18889431611584	-0.597302469256451	0.219513837024771
GALACTUROCAT-PWY	47	48	0.0611786775161334	0.0583118662471823	0.00888936564331255	0.00925939449706711	0.31578881073693	-0.0942433675455768	0.725820989019437
GALLATE-DEGRADATION-I-PWY	47	48	0.00193131005075736	0.00181216640702364	0.00456021653423115	0.00420676401282914	0.0271697855761416	-0.380349524332894	0.434689095485177
GALLATE-DEGRADATION-II-PWY	47	48	0.000382628303283978	0.000367790479465686	0.00121978887557519	0.00122586828027941	0.0121336560684551	-0.395370604596855	0.419637916733765
GLCMANNANAUT-PWY	47	48	0.0528978033304006	0.0605641219561969	0.0101837029984957	0.0124893914749381	-0.672051365525114	-1.0908957612117	-0.253206969838528
GLUCARDEG-PWY	47	48	0.0146199351110368	0.0164070402581727	0.0070559402692638	0.00938332561623187	-0.214951845775139	-0.623627300115601	0.193723608565323
GLUCARGALACTSUPER-PWY	47	48	0.00956162717242731	0.0105845608924928	0.00577105873621668	0.00504302769586277	-0.18889431611584	-0.597302469256451	0.219513837024771
GLUCONEO-PWY	47	48	0.0838542721508519	0.0839910120326022	0.00344629889693438	0.00365803362389751	-0.0384653872245022	-0.446003576001936	0.369072801552931
GLUCOSE1PMETAB-PWY	47	48	0.0184659190316428	0.0189295727810919	0.0143868908353546	0.0133078472801058	-0.0334717845295189	-0.441000826023908	0.37405725696487
GLUCUROCAT-PWY	47	48	0.0453686535622557	0.0435484526210368	0.00633314497584173	0.00921526344476897	0.229769456804486	-0.17907329405164	0.638612207660611
GLUTORN-PWY	47	48	0.0697291629895316	0.0648344715325085	0.00533313861445233	0.00835850310374676	0.696572968721531	0.276897884594307	1.11624805284875
GLYCOCAT-PWY	47	48	0.0924330984504472	0.089978114864178	0.00785785448820321	0.0078452501579607	0.312677529633654	-0.0973051586147454	0.722660217882053
GLYCOGENSYNTH-PWY	47	48	0.0874871501838767	0.0870551767890018	0.00889063574714582	0.00826914544567993	0.0503337830052762	-0.357231241076713	0.457898807087265
GLYCOL-GLYOXDEG-PWY	47	48	0.0101914840879016	0.0117845980896496	0.00795222845633944	0.0106097734499675	-0.169664814620934	-0.577897734801051	0.238568105559184
GLYCOLYSIS	47	48	0.0829223646591249	0.0850713258290211	0.00450461357739035	0.00654147612198938	-0.381907410927557	-0.793105440911272	0.0292906190561575
