len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
EC:1.1.1.1	24	24	0.0444385536834183	0.0425254177888063	0.00336523338206188	0.00507809312273216	0.44412442612306	-0.144068275518839	1.03231712776496
EC:1.1.1.100	24	24	0.0602165236673838	0.0576786708038626	0.00375785406345924	0.00507479487128752	0.568369852554307	-0.0243189694488694	1.16105867455748
EC:1.1.1.102	24	24	0.000354690610154629	0.000388858001501376	0.000802912277108117	0.000872166587160097	-0.0407601432669259	-0.621893384846763	0.540373098312911
EC:1.1.1.103	24	24	0.0116609393804963	0.0110258876335784	0.00292154527641145	0.00344869505316992	0.198701599244137	-0.383803425752716	0.781206624240991
EC:1.1.1.105	24	24	0.000952827507373139	0.0012098687290767	0.00165333982968021	0.00166866895670742	-0.154748829222602	-0.736690779130989	0.427193120685785
EC:1.1.1.108	24	24	0.00458900742314946	0.0033439672026424	0.00306416971997589	0.00314067833899771	0.401281569310228	-0.185610226331861	0.988173364952316
EC:1.1.1.11	24	24	0.00211888240230582	0.00194917680730976	0.00191792157160006	0.00264499984865348	0.0734578915572009	-0.507810952435408	0.654726735549809
EC:1.1.1.122	24	24	0.00471504628196481	0.00405255916955209	0.00370763934749437	0.00379044555244408	0.176697576987533	-0.405508119153745	0.758903273128811
EC:1.1.1.125	24	24	0.0142608346642459	0.0142207851447498	0.00377538544724305	0.00392417278182002	0.0104011276245988	-0.570675709210197	0.591477964459394
EC:1.1.1.130	24	24	0.00823877829199404	0.00844258964861357	0.00345451588700322	0.00398629344997949	-0.0546426701881144	-0.635824004260933	0.526538663884705
EC:1.1.1.132	24	24	0.00530076920813527	0.00402603453390798	0.00296228627646291	0.00303339659094109	0.425187607889648	-0.162414182107374	1.01278939788667
EC:1.1.1.133	24	24	0.0357028442261863	0.0361713924550738	0.00319852287352892	0.00257364719477037	-0.161404306407118	-0.743422553731662	0.420613940917426
EC:1.1.1.136	24	24	0.00620815925676788	0.00523297166347525	0.00326822949978985	0.00206960046417099	0.356509446616618	-0.229161133124883	0.94218002635812
EC:1.1.1.137	24	24	0.00417634570654179	0.0048090334511474	0.00191260962505431	0.00318324151322455	-0.240937795807187	-0.824115135253785	0.342239543639411
EC:1.1.1.14	24	24	0.0242763677714031	0.0230576088478995	0.00503691531565825	0.00576408511422011	0.225165480845028	-0.357745775486297	0.808076737176352
EC:1.1.1.140	24	24	0.0121473806474654	0.0134515646663855	0.00419301347035776	0.0048650738730302	-0.287170805297947	-0.871230995778013	0.296889385182119
EC:1.1.1.145	24	24	0.00017096453824803	7.29588113338834e-05	0.000493416899365767	0.000357423720016001	0.227486420162565	-0.355462868486851	0.810435708811981
EC:1.1.1.157	24	24	0.0292264193259138	0.027472066134667	0.00320295597752948	0.00404798902910257	0.480643427611708	-0.108759667688864	1.07004652291228
EC:1.1.1.159	24	24	0.0110693492722662	0.0116232735543745	0.00295240640809864	0.00255371292465962	-0.200677754199236	-0.783211370735741	0.381855862337269
EC:1.1.1.163	24	24	0.00123521617972261	0.00158941826058731	0.00188242122797927	0.00180665378135017	-0.191987096109407	-0.774397077752315	0.390422885533501
EC:1.1.1.169	24	24	0.032111685851973	0.0317448893217276	0.00191711204532329	0.00235243276471938	0.170933775269166	-0.411199290230306	0.753066840768638
