len_control	len_case	mean_control	mean_case	sd_control	sd_case	cohen.d	lower	upper
1CMET2-PWY	24	24	0.0754873969984839	0.0760459862454547	0.00300315932223106	0.00343940335506785	-0.173009744392261	-0.755168693056076	0.409149204271554
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	24	24	0.00924759808816363	0.00837291434186127	0.00779089477340901	0.00850960748379396	0.107215686148803	-0.474274543888415	0.688705916186021
AEROBACTINSYN-PWY	24	24	0.000399828587016895	0.000479369564700255	0.00136675633871194	0.00187153544209998	-0.048539106493513	-0.629697572752847	0.532619359765821
ALL-CHORISMATE-PWY	24	24	0.0349302678674286	0.0338449618172785	0.0120083114954654	0.0124638544716847	0.0886818164419096	-0.492676635548083	0.670040268431902
ANAEROFRUCAT-PWY	24	24	0.0750970526872278	0.0773607593227019	0.00375147153584058	0.00330991661970116	-0.639900781022335	-1.23565897501516	-0.044142587029514
ANAGLYCOLYSIS-PWY	24	24	0.0849485368440519	0.0863713812814142	0.00431562405176948	0.0043464709423333	-0.328519928812968	-0.913499236736594	0.256459379110658
ARG+POLYAMINE-SYN	24	24	0.0517003474691327	0.0489563139610444	0.00422754452034798	0.00511405968637583	0.584858869086101	-0.00850662287200499	1.17822436104421
ARGDEG-PWY	24	24	0.0109587745386811	0.0107308767642328	0.00674990525625348	0.00930132485618735	0.0280442190051656	-0.553057250810378	0.609145688820709
ARGORNPROST-PWY	24	24	0.0365859671422458	0.0373441588985488	0.00639203990315923	0.00552035927859676	-0.126955116849285	-0.708613074121523	0.454702840422952
ARGSYN-PWY	24	24	0.0734270603833362	0.0704956729650019	0.00458142979210867	0.00665223507961952	0.513245891298386	-0.0773162228759765	1.10380800547275
ARGSYNBSUB-PWY	24	24	0.0737720446490008	0.0707242587412584	0.00445396206097969	0.00705854943477183	0.516422219212521	-0.0742567521191532	1.10710119054419
ARO-PWY	24	24	0.0818564747875338	0.0826531715075348	0.00369653315598744	0.00384208285725526	-0.211324802409254	-0.79401730661251	0.371367701794003
ASPASN-PWY	24	24	0.0686468069135898	0.0719538096289762	0.00741362701722628	0.00681282165044298	-0.464495068534762	-1.05335145741533	0.124361320345809
AST-PWY	24	24	0.0194664252012657	0.0183811211827578	0.00720574835920238	0.0089661918118751	0.133432371129054	-0.448286773517137	0.715151515775245
BIOTIN-BIOSYNTHESIS-PWY	24	24	0.0578992775489121	0.0536111379806116	0.00477214057318734	0.0069619924109817	0.718478595824282	0.118951449011883	1.31800574263668
BRANCHED-CHAIN-AA-SYN-PWY	24	24	0.0839096077084059	0.0812788835990109	0.0034801127859088	0.0056386649212914	0.561474084823762	-0.0309372663768629	1.15388543602439
CALVIN-PWY	24	24	0.0859940907444413	0.0884459000396686	0.00376313572201337	0.00483517581873409	-0.565918487631566	-1.15850829890824	0.0266713236451104
CATECHOL-ORTHO-CLEAVAGE-PWY	24	24	0.0123656692989141	0.010266518876131	0.00881530721031176	0.00888768651868606	0.237150044824516	-0.345961762512142	0.820261852161173
CENTFERM-PWY	24	24	0.0407616572767498	0.0390964477241988	0.00585653749266329	0.00894765581915981	0.220215367783097	-0.362616067905053	0.803046803471247
CHLOROPHYLL-SYN	24	24	0.00154846753327067	0.00101838462785864	0.00364043244297111	0.00282160865977476	0.162759079011331	-0.419275091467218	0.74479324948988
COA-PWY	24	24	0.0778831997375602	0.0797531310378662	0.00391902505855657	0.00503931526588119	-0.414246100000398	-1.00151794337078	0.173025743369983
COBALSYN-PWY	24	24	0.0668294082523968	0.0664606836620936	0.00697137077240928	0.0080200686827724	0.0490714348576522	-0.532088918186298	0.630231787901603
CODH-PWY	24	24	0.0228983722572145	0.0221697774033107	0.00804426526203626	0.00791229183312837	0.0913191900587205	-0.490056494000695	0.672694874118136
COLANSYN-PWY	24	24	0.0621664389302755	0.0636832617941178	0.00358773671399254	0.00469456274245898	-0.363053079571473	-0.948893293132982	0.222787133990035
COMPLETE-ARO-PWY	24	24	0.0833711594914299	0.0840642421252138	0.00377865887194238	0.00406356865835638	-0.176640039823835	-0.758844999073826	0.405564919426156
CRNFORCAT-PWY	24	24	0.00740957144125763	0.00415841793330502	0.00684361460794301	0.00645600836702683	0.488701620789523	-0.100981077578383	1.07838431915743
DAPLYSINESYN-PWY	24	24	0.0736618949060382	0.0728143324163632	0.00384633950482159	0.0042733048397412	0.208480342177983	-0.374168914069883	0.791129598425849
DENITRIFICATION-PWY	24	24	0.00772109545795956	0.00712178835423499	0.00595479433536288	0.00629768187842187	0.0977879983689175	-0.483632087446306	0.679208084184141
DENOVOPURINE2-PWY	24	24	0.0753188235172654	0.0763362009109345	0.00256804422182003	0.00439491132588851	-0.282658834780035	-0.8666261223118	0.30130845275173
DHGLUCONATE-PYR-CAT-PWY	24	24	0.00665992773092983	0.00439184066332252	0.0068325929944628	0.00616135865457281	0.348634039315607	-0.236836410242374	0.934104488873588
DTDPRHAMSYN-PWY	24	24	0.0742048780638106	0.0757672163621575	0.00581790248763346	0.00520758700150995	-0.282971590654421	-0.866945270949318	0.301002089640476
ECASYN-PWY	24	24	0.0192776224103861	0.0190840529457642	0.00999907467190891	0.0107881313803185	0.0186105011548321	-0.56247498509236	0.599695987402025
ENTBACSYN-PWY	24	24	0.0306893113310482	0.0299697370733677	0.0126076749690075	0.0130638884802441	0.0560511758565956	-0.525135819430269	0.637238171143461
FAO-PWY	24	24	0.042242097068609	0.038104533258042	0.0136737225063057	0.0136321014546213	0.303053224834505	-0.281345569070246	0.887452018739255
FASYN-ELONG-PWY	24	24	0.0757539179623208	0.0741102095146836	0.00472013254708075	0.00407376321315323	0.372823670746547	-0.2132754785853	0.958922820078394
FASYN-INITIAL-PWY	24	24	0.0578485020218856	0.052707903247682	0.0068144308189121	0.0100372795509797	0.599237825717027	0.00526711539045188	1.1932085360436
FERMENTATION-PWY	24	24	0.065921637913459	0.066851703427	0.00399905868473851	0.00348040036567667	-0.248102801134232	-0.83140692178066	0.335201319512197
FOLSYN-PWY	24	24	0.0732917739780631	0.0750492868646645	0.00207789426580837	0.00333809986760407	-0.63212209614171	-1.22752969962695	-0.036714492656471
FUC-RHAMCAT-PWY	24	24	0.0352543179187759	0.0343421210453816	0.0059426332528	0.00546315875989958	0.159812125677553	-0.422187577720078	0.741811829075185
FUCCAT-PWY	24	24	0.0318627920518554	0.0326917420983398	0.00627602780200262	0.00652839882060313	-0.129453525136153	-0.711134723739178	0.452227673466872
GALACT-GLUCUROCAT-PWY	24	24	0.0402679256217191	0.0404489929589026	0.00560563772740864	0.00668961741828778	-0.0293394040758044	-0.610443572923663	0.551764764772054
GALACTARDEG-PWY	24	24	0.0224614269147876	0.0217167372489602	0.00638536968794381	0.00836105372005409	0.100104920549955	-0.481331806545255	0.681541647645166
GALACTUROCAT-PWY	24	24	0.0497621079300205	0.0491507997130255	0.00612510645071912	0.00591208312202663	0.101554022855228	-0.479893310234167	0.683001355944624
GALLATE-DEGRADATION-I-PWY	24	24	0.00712752621924125	0.00712259890024338	0.00556934878951532	0.00599927347205639	0.000851254345648699	-0.580221679914296	0.581924188605593
GALLATE-DEGRADATION-II-PWY	24	24	0.00656610863837671	0.00602403604253685	0.00490990626027586	0.00615870549396988	0.0973302057138679	-0.484086638056179	0.678747049483915
GLCMANNANAUT-PWY	24	24	0.0482397797046304	0.0527194957297463	0.00524626176891148	0.00623832562286794	-0.777232175896314	-1.37984462925165	-0.174619722540982
GLUCARDEG-PWY	24	24	0.0234269254114757	0.0228327548986519	0.00718415480637238	0.00842221061806193	0.0759061620388201	-0.505375957877704	0.657188281955345
GLUCARGALACTSUPER-PWY	24	24	0.0224614269147876	0.0217167372489602	0.00638536968794381	0.00836105372005409	0.100104920549955	-0.481331806545255	0.681541647645166
GLUCONEO-PWY	24	24	0.0774786734322245	0.0793042060456338	0.00315825908239	0.00435944568781143	-0.479578986389577	-1.06894548550073	0.109787512721577
GLUCOSE1PMETAB-PWY	24	24	0.0324849983337453	0.0339613009011876	0.00807052574039332	0.007918591072822	-0.184655092293218	-0.766965004507284	0.397654819920849
GLUCUROCAT-PWY	24	24	0.040427292659648	0.0412207873154449	0.00617126773823209	0.00725948032889906	-0.117774945355629	-0.699351386762011	0.463801496050752
GLUTORN-PWY	24	24	0.0694053825867799	0.0650669433678242	0.00462066383433991	0.00832188365117352	0.644576034397739	0.0486051611366349	1.24054690765884
GLYCOCAT-PWY	24	24	0.0801716933007884	0.0816053788220118	0.00727748125724999	0.00693848722913682	-0.201643395132566	-0.78419108521594	0.380904294950809
GLYCOGENSYNTH-PWY	24	24	0.0773815145519058	0.0798161862569155	0.00747711336162226	0.00721711467394537	-0.331326105847074	-0.916372207186135	0.253719995491988
GLYCOL-GLYOXDEG-PWY	24	24	0.0246053741945968	0.0231448518093476	0.00819889662994418	0.00896309802903063	0.170035779406874	-0.412086186345541	0.752157745159289
GLYCOLYSIS	24	24	0.080189069232135	0.0821972436949236	0.00312652899745164	0.00357107424665815	-0.598353012861838	-1.19228607449619	-0.00441995122748629
GLYCOLYSIS-E-D	24	24	0.0612450362779367	0.0609567945888549	0.00390912280882207	0.00330178345159866	0.0796639733850627	-0.50163936957097	0.660967316341096
GLYCOLYSIS-TCA-GLYOX-BYPASS	24	24	0.048124891720527	0.0439776901322747	0.0124441756513322	0.0155160209790208	0.29487610362824	-0.289346107691325	0.879098314947805
GLYOXYLATE-BYPASS	24	24	0.0373682603936651	0.033611322400731	0.0126992787343147	0.0134665098741546	0.28704076374242	-0.297016728757414	0.871098256242254
GOLPDLCAT-PWY	24	24	0.00983658377588961	0.00997805498868676	0.00611017133778794	0.00842971409214543	-0.0192167484462287	-0.600303067521787	0.56186957062933
HCAMHPDEG-PWY	24	24	0.0061865315251821	0.00544362713027271	0.00528141770960329	0.005658898918395	0.135729631828419	-0.446011943556481	0.717471207213319
HEME-BIOSYNTHESIS-II	24	24	0.0324723537140984	0.0319654661837776	0.00857244363006905	0.00733812339982674	0.0635262140551135	-0.517693235793138	0.644745663903365
HEMESYN2-PWY	24	24	0.0450222713300311	0.0455980305490057	0.0105377792351949	0.00894902722583317	-0.0588967872778919	-0.640095659320417	0.522302084764633
HEXITOLDEGSUPER-PWY	24	24	0.0443583870875566	0.0473434875448039	0.00734661116643917	0.00874786596052339	-0.369549197095804	-0.955560814558336	0.216462420366728
HISDEG-PWY	24	24	0.0455723638831001	0.0480936275430215	0.00815393087103226	0.00787411928674243	-0.314558479927944	-0.899213809892246	0.270096850036358
HISTSYN-PWY	24	24	0.0743220643825735	0.0694743435349974	0.00582011636182937	0.00912540944755794	0.633413462790283	0.0379479391533358	1.22887898642723
HOMOSER-METSYN-PWY	24	24	0.0546085923784162	0.0569749008148904	0.0043328945763614	0.00324405418481612	-0.618256054814322	-1.21304884246328	-0.0234632671653611
HSERMETANA-PWY	24	24	0.0585940745205981	0.060521008149799	0.00509642538294392	0.00416359638975852	-0.414087615541696	-1.00135474158644	0.173179510503049
ILEUSYN-PWY	24	24	0.0866890112092974	0.0837824024902348	0.00324916920655436	0.0058723387774992	0.612484812787004	0.0179440848987006	1.20702554067531
KDO-NAGLIPASYN-PWY	24	24	0.0336725878603837	0.0340748570540271	0.0130428705368396	0.0122296742628064	-0.0318180152414051	-0.612927688904876	0.549291658422066
KETOGLUCONMET-PWY	24	24	0.0213452769980554	0.019618377557223	0.00942343356532581	0.00979613926296556	0.179668387875179	-0.402575680911152	0.761912456661511
LACTOSECAT-PWY	24	24	0.0185144094357518	0.0249393913348029	0.00775477399412873	0.0092046464446064	-0.754935093296717	-1.3563500091252	-0.153520177468238
LEU-DEG2-PWY	24	24	0.0215520235467587	0.0168119292933335	0.0128831196446856	0.0117205891658751	0.384886019209995	-0.201542120366428	0.971314158786419
LIPASYN-PWY	24	24	0.0012844264670852	0.000570214025163169	0.00257500779039669	0.00193443892860614	0.313614476121576	-0.271019449480629	0.898248401723781
LPSSYN-PWY	24	24	0.0256910726795306	0.0270730366870582	0.0134967126112114	0.0100554952207367	-0.116120311459554	-0.697682709764228	0.465442086845121
MET-SAM-PWY	24	24	0.0627483491500417	0.0658328310065528	0.0039674361833323	0.00255953150816609	-0.923900329858836	-1.53518764190626	-0.312613017811412
METH-ACETATE-PWY	24	24	0.0202325214677794	0.0198110529891479	0.0101072209372794	0.0123084279585227	0.0374248292101449	-0.543698942824666	0.618548601244955
METHANOGENESIS-PWY	24	24	0.0012719725183934	0.00257089536722701	0.00300662450014956	0.00490664827549458	-0.319217029553594	-0.903978917984619	0.26554485887743
METHGLYUT-PWY	24	24	0.017262179651557	0.0175462579764773	0.0104175153409631	0.00894040112254447	-0.0292650186593564	-0.610369029198242	0.551838991879529
METHYLGALLATE-DEGRADATION-PWY	24	24	0.00795253536683065	0.00794364297534026	0.0062015131309436	0.00666748189308139	0.00138108188654276	-0.579691895327514	0.582454059100599
NAD-BIOSYNTHESIS-II	24	24	0.026438867536896	0.028831540362917	0.00795953095441684	0.007520839892307	-0.308999400968792	-0.893529599202343	0.275530797264759
NADSYN-PWY	24	24	0.00596739283868281	0.00281623921899259	0.00674106925513809	0.00494790659660247	0.532932345604204	-0.0583652615304586	1.12422995273887
NAGLIPASYN-PWY	24	24	0.0574205810194902	0.0578947164750188	0.0042107585930437	0.00653544988994609	-0.0862473750671357	-0.667590368652725	0.495095618518454
NONMEVIPP-PWY	24	24	0.0791211992459012	0.0796008691238606	0.00489469404110764	0.00706339712153931	-0.0789374959218272	-0.660236656056025	0.50236166421237
NONOXIPENT-PWY	24	24	0.0949687770657557	0.095878493912096	0.00596051009583733	0.00563372736183727	-0.156863395246251	-0.738829239130885	0.425102448638383
OANTIGEN-PWY	24	24	0.0702614187696565	0.0712179755267755	0.00275638857627681	0.00291589894952967	-0.337140442542442	-0.922326721608292	0.248045836523408
ORNARGDEG-PWY	24	24	0.0109587745386811	0.0107308767642328	0.00674990525625348	0.00930132485618735	0.0280442190051656	-0.553057250810378	0.609145688820709
ORNDEG-PWY	24	24	0.018161871724557	0.0151057399679514	0.0112428921983767	0.0135515406194839	0.245455851663897	-0.337801003048501	0.828712706376295
P101-PWY	24	24	0.00768682239196064	0.00660668388691174	0.00948925921279366	0.00877946014616705	0.118160899051883	-0.463418846524339	0.699740644628105
P105-PWY	24	24	0.0531923192631869	0.0486539596224608	0.0127070204930649	0.0165290343872683	0.307843793486702	-0.276660669460653	0.892348256434058
P108-PWY	24	24	0.0612621327099688	0.0594576543203718	0.0082004794846345	0.00903726986312433	0.209117321932183	-0.37354156848278	0.791776212347147
P122-PWY	24	24	0.040833691731586	0.0402721821861306	0.00800760617557347	0.00826275057303676	0.0690139160658084	-0.512231941397467	0.650259773529084
P124-PWY	24	24	0.0458665199826791	0.0451882941185426	0.00978390160497961	0.00983873484940494	0.0691266148390844	-0.51211980784937	0.650373037527539
P125-PWY	24	24	0.0189483075612011	0.0203492953435228	0.0095359801431219	0.00613816840688772	-0.174706294070103	-0.756886626442257	0.407474038302051
P161-PWY	24	24	0.0613416382537853	0.0628662617477524	0.00740033243975572	0.00557923096296345	-0.232648031008068	-0.815683289965328	0.350387227949192
P162-PWY	24	24	0.0229967906082108	0.029919681785913	0.0122669336067779	0.0113094131868272	-0.586790545538639	-1.18023652372912	0.00665543265184132
P163-PWY	24	24	0.0244741005163264	0.028764454562491	0.00940310740819045	0.011162552407151	-0.415716167902434	-1.0030318523914	0.171599516586531
P164-PWY	24	24	0.049306759472193	0.0498575229110105	0.00781195892605209	0.00765392286484847	-0.0712193064093398	-0.652476392161793	0.510037779343114
P184-PWY	24	24	0.00378246598302708	0.0033753598596667	0.00551257762910241	0.00450690452603389	0.0808566329877975	-0.500453659941855	0.66216692591745
P221-PWY	24	24	0.0166927231114417	0.0147043429219276	0.0109720362149865	0.0126405407258794	0.167998151346468	-0.41409884421821	0.750095146911146
P23-PWY	24	24	0.0583089841530902	0.0573342688932195	0.00806193937369208	0.00611200487512111	0.136252889401928	-0.445493848550679	0.717999627354534
P241-PWY	24	24	0.00217280855348822	0.00349856819719553	0.00293596914370144	0.00507879786097899	-0.319603530889449	-0.904374329547875	0.265167267768977
P261-PWY	24	24	0.00207311491251358	0.00271195999147429	0.00296645980751795	0.00439804084772578	-0.170305266909961	-0.752430557565566	0.411820023745643
P281-PWY	24	24	0.011573682142762	0.0105882748373319	0.00899939519537761	0.00741009172907211	0.119542773253401	-0.462048891106809	0.70113443761361
P341-PWY	24	24	0.00472061982315785	0.00684420191879527	0.00679910278852157	0.00760726652205665	-0.294348772273736	-0.87855975999673	0.289862215449259
