ID	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S5	S51	S52	S53	S54	S55	S6	S7	S8	S9
g__Candidatus Koribacter	0	0	4	0	0	0	0	4	24	0	0	0	0	0	21	0	0	18	0	0	0	16	0	0	16	19	0	17	0	0	0	2	0	0	0	0	0	0	0	0	0	13	26	0	16	0	0	0
g__Actinomyces	33	83	180	25	53	121	80	118	521	28	34	24	45	52	228	38	93	390	204	1043	34	845	113	153	127	225	335	849	17	32	134	93	94	162	300	14	32	13	67	31	81	202	22	7	483	24	28	76
g__Mobiluncus	30	163	55	51	76	182	115	89	127	55	31	52	38	4277	145	0	5	108	0	0	1141	8	5	0	0	8	106	12	2	5	135	46	4	0	12	0	5	0	20	3	126	0	0	0	59	27	21	9
g__Varibaculum	8	0	9	0	0	0	14	0	0	0	8	11	0	0	0	0	0	0	38	12	9	17	7	19	39	12	0	21	0	0	0	29	15	0	0	0	19	10	10	0	0	0	4	0	12	12	259	6
g__Brevibacterium	14	12	59	0	0	8	20	9	142	4	8	0	11	14	55	11	0	26	30	26	0	165	15	19	9	55	43	166	5	0	6	18	13	10	62	9	0	0	11	14	8	55	0	0	112	0	9	8
g__Corynebacterium	178	149	816	78	125	139	309	153	3555	66	100	91	129	102	1206	85	179	310	359	292	66	4489	250	594	311	876	350	5515	59	49	94	517	122	85	859	43	74	36	93	125	59	1219	57	10	3319	164	48	42
g__Brachybacterium	8	0	19	0	7	0	0	9	27	0	6	0	6	0	26	3	0	12	0	0	0	52	0	18	0	15	9	59	0	0	0	14	0	0	27	0	0	0	0	0	0	41	0	0	33	0	0	0
g__Dietzia	0	0	18	0	0	0	0	0	0	0	0	0	0	0	10	0	0	9	9	0	0	26	9	0	0	26	13	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	15	0	0	0
g__Geodermatophilus	0	0	14	0	0	0	0	0	0	0	0	0	0	0	19	0	0	14	0	0	0	0	0	0	0	8	0	14	0	0	0	13	8	0	13	0	0	0	0	0	11	19	6	0	0	0	0	0
g__Arthrobacter	11	29	22	11	16	0	24	20	18	0	18	0	12	0	29	0	10	17	0	18	14	37	5	101	11	20	25	32	15	13	20	41	15	14	24	0	17	0	18	0	18	48	29	15	30	13	13	11
g__Kocuria	0	0	76	0	12	41	0	21	74	0	0	13	0	0	54	0	0	39	46	44	0	116	19	0	0	14	26	146	0	0	17	0	0	0	57	0	0	0	0	0	0	57	7	0	101	0	0	0
g__Microbispora	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	24	0	15	0	0	21	38	0	24	0	22	0	48	0	0	0	44	0	0	20	0	0	0	0	0	0	20	0	0	0	0	0	0
g__Micrococcus	19	35	58	0	14	13	39	26	91	14	12	10	23	19	80	0	25	33	36	29	12	106	32	38	23	71	29	138	30	22	14	56	26	0	60	31	9	0	11	23	17	84	14	0	83	29	16	12
g__Rothia	0	25	31	0	0	0	5	24	92	6	17	0	0	14	26	0	0	28	0	25	0	150	8	40	18	43	27	116	0	0	43	10	18	27	122	2	0	37	0	0	29	52	21	0	76	21	11	10
g__Catellatospora	6	0	8	0	0	0	0	10	0	0	0	0	0	0	8	0	0	0	14	6	0	0	0	0	0	0	7	0	0	0	0	8	7	6	27	0	0	0	0	0	14	0	0	0	4	6	16	12
g__Pilimelia	0	0	0	0	0	0	0	28	18	0	0	11	0	0	0	0	0	0	0	11	0	19	0	30	0	0	0	0	16	19	21	0	0	23	37	0	27	0	0	0	0	0	0	0	0	0	0	0
g__Rhodococcus	0	0	10	0	13	8	11	0	0	0	0	0	0	0	9	0	0	12	9	0	0	8	4	43	0	0	0	2	0	0	18	13	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	4
