pathway,I2,Q_test,model_p,Coefficient,C.lower,C.upper
1CMET2-PWY,0,0.902976078170487,0.75725284280156,0.0246407610315464,-0.13160809321271,0.180889615275803
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,0,0.958809961307406,0.924290713102419,-0.00757436116475382,-0.163792597710508,0.148643875381
AEROBACTINSYN-PWY,0,0.930766657802305,0.26371571198926,0.0891336864577492,-0.0671751088573618,0.24544248177286
ALL-CHORISMATE-PWY,0,0.933226793234974,0.953451768308536,-0.00465293538995055,-0.160883286748052,0.151577415968151
ANAEROFRUCAT-PWY,23.4607480230377,0.303831409113664,0.026589079402023,-0.224463476705847,-0.422858392820428,-0.0260685605912659
ANAGLYCOLYSIS-PWY,0,0.574889757833988,0.313074037217365,0.0805100676918913,-0.0759113900892772,0.23693152547306
ARG+POLYAMINE-SYN,41.7959791802936,0.147833178226714,0.118404331403411,0.187381722025793,-0.0478151640831429,0.422578608134729
ARGDEG-PWY,0,0.992230831999915,0.725828547176551,-0.027947892063773,-0.184149802530795,0.128254018403249
ARGORNPROST-PWY,54.7403780292432,0.0652831370246649,0.0858401445325615,-0.236657734749819,-0.506683965594519,0.0333684960948804
ARGSYN-PWY,9.4239131012382,0.436255798155376,0.0271567966450091,0.195483582692746,0.0220583779682811,0.36890878741721
ARGSYNBSUB-PWY,19.3349591915455,0.419822109263329,0.039969363588033,0.199866195284121,0.00915632450491211,0.39057606606333
ARO-PWY,0,0.695894719100119,0.292816821943599,0.083935553449111,-0.0724489988753348,0.240320105773557
ASPASN-PWY,0.00168035914706205,0.441581669485771,0.886245439233093,-0.0114166488192176,-0.167831748419346,0.144998450780911
AST-PWY,0,0.802383229927384,0.575371453471481,0.0446703345969464,-0.111628775490788,0.200969444684681
BIOTIN-BIOSYNTHESIS-PWY,0.000866274375259176,0.351027966353412,0.00255908527997595,0.241651851459583,0.0846269398119463,0.398676763107219
BRANCHED-CHAIN-AA-SYN-PWY,64.1343778801835,0.0175949979635862,0.00262142055050831,0.472349801704019,0.164672717616265,0.780026885791772
CALVIN-PWY,30.684483905253,0.168688212302928,0.441498832780147,-0.083055964187226,-0.29455936939299,0.128447441018538
CATECHOL-ORTHO-CLEAVAGE-PWY,0,0.751059587323153,0.825105154214149,0.0176226566393983,-0.138677460684452,0.173922773963248
CENTFERM-PWY,3.13854704396692,0.402796525683485,0.303975890202234,-0.085007629310388,-0.247090189515575,0.0770749308947987
CHLOROPHYLL-SYN,0,0.555474839295047,0.492006325940204,-0.0591004186146559,-0.227680116014035,0.109479278784723
COA-PWY,0,0.770418707185402,0.401410198669994,-0.0669302763873125,-0.223264558428422,0.0894040056537969
COBALSYN-PWY,35.5757164132902,0.220827989782566,0.0930456149481458,0.189748364121734,-0.0316804528744527,0.411177181117921
CODH-PWY,0,0.537610947391935,0.237763574379718,-0.0942438076196341,-0.250702575097169,0.0622149598579006
COLANSYN-PWY,6.20587620787027e-05,0.34644700273756,0.481302918397803,0.0562251816313192,-0.1002616060224,0.212711969285038
COMPLETE-ARO-PWY,0,0.65364125881355,0.190786353129447,0.104419935391354,-0.0520167618600214,0.260856632642729
CRNFORCAT-PWY,0,0.649197279875316,0.194499133039441,0.103551987858314,-0.0528844905211002,0.259988466237729
DAPLYSINESYN-PWY,0,0.456411882710602,0.12077179627353,0.123931306858849,-0.032623180645878,0.280485794363577
DENITRIFICATION-PWY,70.38258686699,0.0134560795646105,0.11137875544264,-0.272649558124088,-0.608311886583817,0.0630127703356417
DENOVOPURINE2-PWY,0.00110703628271511,0.573125753797568,0.274721721488009,-0.0871784847621448,-0.243613506992814,0.0692565374685244
DHGLUCONATE-PYR-CAT-PWY,0.000205115853353831,0.349072241775845,0.521812370030163,0.0511408025358786,-0.105339527302438,0.207621132374196
DTDPRHAMSYN-PWY,0,0.621755570660851,0.425695370290233,-0.0635571406387625,-0.219937927478754,0.0928236462012293
ECASYN-PWY,0,0.931943160653312,0.761532691454479,-0.0241906827163192,-0.180427110707926,0.132045745275287
ENTBACSYN-PWY,0,0.742700362573569,0.973225823822098,0.00267650721629492,-0.153623473600001,0.158976488032591
FAO-PWY,0,0.835175244295788,0.848274792105537,-0.0152542020507456,-0.171524673268221,0.14101626916673
FASYN-ELONG-PWY,0,0.695011587368403,0.0533562718130684,0.154317030560381,-0.00223147879819188,0.310865539918954
FASYN-INITIAL-PWY,18.593112185828,0.277030075644934,0.0018595676441645,0.301985903276762,0.111779782363935,0.492192024189588
FERMENTATION-PWY,49.7155879078643,0.0856783111687917,0.815012411785176,-0.0303110977923126,-0.284232605063004,0.223610409478379
FOLSYN-PWY,37.5055767619083,0.172545706722039,0.0174125674017643,-0.274575337661196,-0.500893796488019,-0.048256878834373
FUC-RHAMCAT-PWY,27.6975593031513,0.282932330302111,0.0488016939892844,0.207130994165759,0.00108869444095966,0.413173293890559
FUCCAT-PWY,0,0.541781192633179,0.671129155324746,0.0338778999774273,-0.122503750467356,0.190259550422211
GALACT-GLUCUROCAT-PWY,0,0.580005980458796,0.253706085163896,0.0911019816618555,-0.0653353527309238,0.247539316054635
GALACTARDEG-PWY,0,0.715039901193305,0.905786194192919,0.00943901086636292,-0.146871113018744,0.16574913475147
GALACTUROCAT-PWY,0,0.835045234867971,0.012490589988042,0.199659302314947,0.0430022337481396,0.356316370881754
GALLATE-DEGRADATION-I-PWY,0.00377529491622796,0.423008808841251,0.539043674597469,-0.0490317669030282,-0.205481041435794,0.107417507629738
GALLATE-DEGRADATION-II-PWY,0.0023230287833699,0.450402316501721,0.608257894618742,-0.0409082947743707,-0.197335846821009,0.115519257272267
GLCMANNANAUT-PWY,66.7965190035353,0.0176568165057381,0.0316029619935356,-0.348507779523448,-0.666300524261222,-0.0307150347856732
GLUCARDEG-PWY,0,0.739384135042916,0.923044893960976,0.00770349371359194,-0.148598111423099,0.164005098850283
GLUCARGALACTSUPER-PWY,0,0.715039901193305,0.905786194192919,0.00943901086636292,-0.146871113018744,0.16574913475147
GLUCONEO-PWY,0.00998814850607907,0.257993329524857,0.518268459370601,0.0516004652834047,-0.104951267826033,0.208152198392842
GLUCOSE1PMETAB-PWY,0,0.651823192191477,0.639961645011419,-0.0373121610438595,-0.193656602441867,0.119032280354148
GLUCUROCAT-PWY,0,0.675142728586184,0.754853027907204,0.024905140158711,-0.131423732265059,0.181234012582481
GLUTORN-PWY,47.0592064208321,0.116746648117611,0.00894567372714106,0.332424840316285,0.0831861354325106,0.581663545200059
GLYCOCAT-PWY,0,0.552602669559182,0.0356620991114616,0.167894039955598,0.0112524540295733,0.324535625881623
GLYCOGENSYNTH-PWY,0,0.654566075998189,0.738413773645421,0.0266379439734121,-0.129698880500014,0.182974768446838
GLYCOL-GLYOXDEG-PWY,0.0131408793611661,0.334233956909424,0.340025587720281,0.0762053391153401,-0.0803373917029658,0.232748069933646
GLYCOLYSIS,29.6942988567784,0.240942276427694,0.0801759591044762,-0.187329802068594,-0.397175372338357,0.0225157682011684
GLYCOLYSIS-E-D,0,0.871611767920712,0.594088489086732,-0.0424910445118359,-0.198763675703024,0.113781586679352
GLYCOLYSIS-TCA-GLYOX-BYPASS,0,0.679131284898239,0.935094456694906,0.00649520993794391,-0.149826655636247,0.162817075512135
GLYOXYLATE-BYPASS,0,0.909822659507212,0.487791908640571,0.0553194198749248,-0.100950615350191,0.211589455100041
GOLPDLCAT-PWY,1.40319964256424,0.35333270015291,0.982714874823424,-0.0017572589925882,-0.160728082327544,0.157213564342368
HCAMHPDEG-PWY,0,0.93636331590853,0.161306572091569,0.111736134733087,-0.0446144379790206,0.268086707445194
