S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S41	S42	S43	S44	S45	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S51	S52	S53	S54	S55
g__Bacteroides|s__fragilis	603	1520	2005	474	2018	1359	7151	254	2708	650	357	10249	2262	11190	3985	1435	1654	8479	31851	1702	6508	3878	3584	5766	1123	1245	1221	1658	2747	1423	7171	783	4561	1882	1804	7183	1340	6002	656	4899	1400	2633	16493	1168	3376	2415	2476	8656
g__Faecalibacterium|s__prausnitzii	3697	397	1037	1776	2905	5793	873	1157	875	1384	1184	615	3010	1057	1268	1414	10407	13133	427	579	1355	1169	327	6042	3000	586	1224	383	5376	1120	1104	1225	1188	5878	833	1589	1028	692	750	602	10783	933	609	559	442	669	220	2953
g__Vibrio|s__rumoiensis	333	445	930	726	340	197	160	33	306	6537	3014	12	198	267	378	444	25	6	13	2841	359	102	172	148	15	277	282	27	61	1297	465	595	87	42	31	42	67	458	357	245	301	2946	2674	191	950	783	0	0
g__Lactobacillus|s__delbrueckii	92	115	1068	182	2886	209	102	102	290	230	1073	89	143	155	415	199	2617	125	101	94	1453	62	113	62	155	214	1355	128	164	470	563	431	4032	313	297	359	1539	701	4873	92	60	141	236	177	123	1200	51	8
g__Prevotella|s__copri	3323	161	577	8478	276	370	184	3584	984	173	2989	268	309	84	177	1219	73	63	60	588	22	23	27	117	4276	45	521	801	192	439	314	2489	66	101	359	239	459	55	335	207	135	101	80	187	12	277	23	0
g__Prevotella|s__intermedia	225	346	3316	3955	282	221	106	89	187	129	843	530	136	61	380	1021	86	71	42	315	59	26	32	3422	67	216	4295	1520	105	61	149	513	37	83	49	270	60	38	347	516	42	84	136	34	26	299	20	918
g__Peptostreptococcus|s__anaerobius	427	192	193	141	63	64	655	17	485	396	99	301	393	1183	511	516	205	192	199	190	73	32	115	50	2518	412	317	153	208	510	336	292	133	149	189	191	783	1606	210	466	127	456	145	427	307	76	0	0
g__Bacteroides|s__caccae	1644	41	464	58	169	203	2376	71	768	85	113	77	279	39	463	72	255	164	148	45	113	261	173	359	1478	35	178	69	249	98	2173	100	642	186	203	181	363	80	98	67	310	50	293	253	28	293	34	428
g__[Ruminococcus]|s__gnavus	556	170	174	120	192	668	274	89	255	264	193	590	394	577	359	313	217	1061	712	166	422	541	316	281	693	270	356	114	252	261	114	107	153	386	285	320	450	328	154	569	273	491	323	367	656	383	292	152
g__Prevotella|s__stercorea	280	125	1738	10059	237	723	132	1104	328	169	594	921	116	76	335	1340	74	1827	64	481	20	66	6	45	81	52	1321	8463	180	344	383	2040	148	512	246	264	254	112	388	933	12	37	127	7	7	82	0	0
g__Roseburia|s__faecis	385	190	344	334	303	883	229	302	325	657	2641	21	81	41	48	57	44	183	36	68	97	221	63	360	52	73	527	88	221	223	140	245	164	1825	356	282	238	209	725	87	120	124	78	53	123	627	40	147
g__Akkermansia|s__muciniphila	80	45	333	52	260	114	4880	57	45	57	93	17	42	15	201	62	8	40	79	60	111	1707	264	42	19	14	116	25	249	138	4585	80	81	141	341	77	131	79	126	61	84	100	234	74	49	299	1659	53
g__Lactococcus|s__garvieae	181	306	562	410	202	156	85	45	186	2830	1057	6	38	123	184	204	11	0	3	1074	265	53	86	118	0	162	150	0	36	583	247	311	53	34	12	31	43	341	229	151	138	1262	1021	136	518	407	0	54
g__[Ruminococcus]|s__torques	141	54	209	66	68	754	1092	19	104	135	212	79	42	21	126	22	17	311	76	182	247	3449	303	563	89	28	144	41	98	114	327	90	79	822	125	178	125	75	204	361	261	388	345	252	229	639	103	86
g__Parabacteroides|s__distasonis	279	54	245	87	236	580	699	204	308	142	341	685	349	428	375	184	165	655	2634	151	372	2611	1141	1928	344	116	445	171	292	139	258	98	205	524	597	654	290	133	302	941	406	452	581	508	251	1493	1952	1638
g__Dorea|s__formicigenerans	408	107	256	156	129	359	526	344	187	170	210	75	152	297	168	120	39	137	99	121	91	115	178	1477	445	52	230	64	257	186	217	177	76	503	149	463	214	103	152	164	195	250	134	150	84	176	130	496
g__Gemmiger|s__formicilis	185	60	286	136	123	428	1106	976	103	150	185	47	156	92	303	184	178	2317	118	88	57	110	94	140	171	71	162	41	167	159	565	437	140	515	251	208	157	89	131	17	75	56	106	40	17	53	16	12
g__Aggregatibacter|s__segnis	18	159	19	12	37	17	0	10	97	318	17	50	154	2530	148	113	150	90	50	0	29	0	0	0	74	324	129	50	129	729	124	154	252	163	79	84	186	3173	127	0	9	354	0	19	247	0	0	0
g__Morganella|s__morganii	10	17	126	19	13	17	53	83	20	22	23	1030	61	121	195	119	52	34	512	52	58	51	158	399	58	88	93	111	87	147	180	166	109	70	184	3702	160	230	118	373	41	109	552	60	87	74	8	13
g__Haemophilus|s__influenzae	77	129	108	38	55	1285	19	0	15	55	42	0	69	229	70	21	0	83	0	96	75	65	29	16	0	0	6	28	125	3252	664	335	126	240	34	48	75	147	91	33	547	1098	264	35	41	37	0	0
g__Lactobacillus|s__salivarius	61	366	174	75	71	82	47	142	140	131	94	37	73	458	151	124	72	52	32	122	127	49	80	225	105	118	92	66	124	1502	302	275	169	107	220	1038	319	359	218	131	78	993	185	208	322	139	55	177
g__Bacteroides|s__ovatus	1802	60	185	99	1525	424	430	23	266	168	180	1105	728	268	293	246	775	711	1434	386	1592	943	501	503	1446	123	244	116	2355	136	486	155	373	625	173	595	321	257	167	773	1144	314	612	287	772	1174	2065	297
g__Collinsella|s__aerofaciens	239	60	200	424	292	1153	51	807	149	126	297	41	103	37	77	115	55	159	25	118	84	91	36	703	175	30	166	137	436	184	106	470	95	866	134	161	117	72	149	96	123	102	50	57	29	107	0	119
