ID	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S5	S51	S52	S53	S54	S55	S6	S7	S8	S9	S56
051373f9b21675fcfa03b56ee4c5427a	2618	650	352	10173	2262	11058	3934	1435	1654	8453	603	31573	1123	1234	1221	1643	2747	1421	7167	775	1455	4543	1882	1772	6951	1319	5990	656	4760	1400	2579	1975	16263	1676	6382	3878	3568	5003	474	1168	3282	2368	2398	7193	1997	1346	7126	254	14
69214ca920cbdec54695603966fab713	1661	1549	702	4373	3878	4217	1413	854	6672	3173	6698	740	4171	677	522	724	15329	1991	3894	868	533	2477	4149	1271	3446	2316	1090	562	2223	9805	2505	1325	1667	2524	14030	1298	2818	5294	554	1463	5964	699	13301	4788	10969	10975	4113	395	8
08f854a73d43353549064097d19788cb	2493	2051	833	4630	1371	6126	2428	3093	913	404	4457	2295	6588	1654	1009	640	1170	2269	8125	2784	813	1913	682	2244	2886	3046	8473	1150	3033	1430	3290	1844	2601	17966	2556	841	2052	962	1689	8963	6268	1377	1230	163	978	619	14864	451	66
f800721813fb00952c5cd8c119f6ffa5	1085	170	175	1640	2205	1972	1305	522	5344	3395	4516	3020	4489	329	590	155	2265	262	1875	148	112	1006	564	311	1290	708	443	145	899	7521	558	575	2133	346	1228	1093	715	3791	135	848	356	672	581	2806	1564	643	2006	127	0
a057e0f08abf72acbe29576588ed71ef	222	301	176	420	1964	589	800	853	9990	11463	1307	312	1306	389	740	45	1476	223	149	252	70	650	1877	215	432	334	231	175	274	9573	371	169	247	201	911	559	152	1817	157	263	221	279	159	898	1106	1042	81	219	0
43286d34feb24f197ed23e6573c89499	9506	116	274	34	384	37	43	65	439	193	543	0	1351	0	150	162	2852	271	130	313	81	10549	1045	157	247	2356	257	429	291	560	247	113	92	210	994	4577	56	631	133	1226	151	2985	23	232	2011	387	33	70	0
46f1c657b8bf57b702d287efc976d627	107	681	69	277	158	765	166	214	103	104	100	83	129	19971	163	0	0	376	0	0	11361	0	0	38	0	11	382	0	0	0	408	78	0	0	0	0	0	0	75	0	402	15	0	0	86	71	67	10	0
3548fb2765a1a6bac9ca06d0cd7b1f92	121	725	452	446	349	3691	863	943	421	195	178	367	152	697	1167	855	346	1830	837	2671	466	546	346	298	523	350	3174	870	532	109	1050	959	679	539	252	141	165	356	656	85	577	322	32	487	445	172	156	758	10
8628ac375a026823172a921422d0b496	306	6469	2964	12	198	267	378	428	25	6	333	13	15	268	269	27	61	1269	465	588	445	87	42	31	42	67	458	357	245	301	2866	930	2653	2747	359	102	172	148	726	191	938	783	0	0	340	197	160	33	0
3043563b24f80a88403397323cb25d61	476	754	222	334	532	2774	421	952	268	182	584	134	2166	769	415	407	566	1690	549	2354	508	453	330	208	525	871	4030	469	210	121	678	262	99	367	112	127	23	201	757	194	461	72	28	351	319	172	75	499	7
