V1	V2	V3	V4	V5
g__Mobiluncus	3.76496653953672	AN	3.42550033899664	0.012800750539994616
g__Adlercreutzia	2.06844237358104	T	2.04159600940912	0.037820535885448626
g__Parabacteroides	4.34179532061198	T	3.74337179993701	0.028838793626490333
g__Alistipes	3.60877754553234	T	3.00045765607463	0.002436070992438383
g__Enterococcus	4.28682375524045	T	3.92129398033732	0.003757329843688494
g__Clostridium	3.61385517855034	AN	2.98531491905623	0.012596495785492488
g__Pseudoramibacter_Eubacterium	2.21478524782875	T	2.05041568136325	0.020523730248029243
g__Catonella	3.37496790054409	AN	2.7309493742006	0.04330246288572877
g__Ruminococcus	3.92650902768731	T	3.14639848414006	0.03368484623624001
g___Ruminococcus_	4.46371518378515	T	3.87904120704318	0.0009698001256229238
g__Butyricicoccus	2.34873002197303	T	2.14848403297188	0.0006714226474510267
g__Oscillospira	4.10829411922317	T	3.33658734618818	0.0011223793767071932
g__Syntrophomonas	2.40683582084776	AN	2.1278113094633	0.002955932214708035
g__Megamonas	3.75999945986937	AN	3.24782913522265	0.005375049092050535
g__Phascolarctobacterium	3.65020781706121	T	3.01537556335445	0.035447892552461
g__Peptoniphilus	3.16114875493614	AN	2.48796021894563	0.042990325298970906
g__Leptotrichia	4.67171158430468	AN	4.33781485297934	0.016762336177186445
g__Kaistobacter	2.75107138821537	T	2.26340332363957	0.018124893293010015
g__Cupriavidus	2.27713002489405	T	2.03060326410693	0.015154216681893653
g__Desulfococcus	2.95149395273514	AN	2.64413518413043	0.0011288750260450636
g__Psychromonas	2.37387006983532	AN	2.19035012527439	0.00534632914728871
g__Proteus	3.36523658828207	T	3.01123991200494	0.0014480610844741944
g__Halomonas	2.40112073367226	AN	2.16467760454267	0.005140819165570323
g__Oleibacter	2.60011117096284	AN	2.30343188934929	0.009415054285946653
g__Aggregatibacter	4.02355334886639	AN	3.3023274488078	0.0031230932926601092
g__Pseudoalteromonas	4.40006254373636	AN	4.15402273158961	0.011690486498037026
g__Lysobacter	2.43188081477796	T	2.10046819071758	0.004805452811560914
g__Thermomonas	3.10370447098276	T	2.36601137384945	0.005043022603806787
g__Ureaplasma	3.74909730822627	AN	3.330631660192	0.02539608791594867
g__Akkermansia	4.08143851093691	T	3.75162202962162	0.007815569381540608
