pathway	description	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S5	S51	S52	S53	S54	S55	S6	S7	S8	S9
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	28749.714	32680.2503	38175.273	39530.7456	37631.3554	40906.1861	44326.5571	38978.7751	28503.3992	39644.0669	39774.2759	39124.1875	55892.7417	36076.0453	48306.2097	44802.3956	43986.0146	47066.952000000005	34008.0839	38310.8642	38832.3131	46117.5697	46382.2791	47360.1441	39075.1696	38008.6463	28937.3427	34792.8237	38418.246	35194.4463	40176.5351	36292.3788	35113.1322	45317.3957	35075.4156	44706.2874	48719.6218	29810.4409	47218.36	33773.2045	34423.0087	36304.8343	41611.7792	34357.7061	41673.4829	46151.0453	45454.0971	38653.7816	21047.0247
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	527.1309	1018.216	2655.5292	1514.1753	1388.4018	792.8392	1826.6088	1232.4922	1350.9738	759.0132	211.1044	1668.0697	861.9172	1920.3678	676.6979	746.5163	277.4405	810.8728	1438.1122	2597.8951	1334.3087	489.0687	1301.4327	418.8943	4393.3457	1038.3869	1299.8598	2642.9487	1392.5723	1187.9061	730.6231	2003.6053	1254.1453	1954.2409	5708.4711	1335.4202	374.9538	979.3749	390.3048	790.7728	2455.1423	2145.6595	1188.9162	657.2085	205.1232	973.8719	414.2978	3952.3271	291.9736
AEROBACTINSYN-PWY	aerobactin biosynthesis	47.1546	80.7157	778.0857	384.5185	11.0988	84.6177	42.5766	79.1005	62.5366	28.7048	36.6571	104.0602	10.0863	11.0707	53.1011	63.5607	14.1338	169.3876	183.8983	132.3331	113.9837	68.3794	62.6548	43.066	111.3161	23.156	57.0766	135.8943	102.9295	53.7325	87.0543	331.7857	155.9438	349.7486	406.7366	86.7369	35.5004	43.1437	18.2119	98.6372	47.4636	138.9856	139.9037	12.8991	11.5538	133.5935	56.5454	84.2596	18.971
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	4584.4749	5790.5356	18563.9689	11523.2249	8156.897	8412.0198	10144.677	10714.9444	11009.309	8420.9255	2426.5666	7998.6973	6457.3789	7368.1971	5378.7308	7831.5248	2323.2741	5499.7939	9813.3733	12053.7405	10274.3607	3932.4446	11430.803999999998	3878.3503	11696.4744	11306.5382	6720.7134	11897.1118	12904.7286	7148.8482	5433.5039	13248.4001	9099.607	15043.8395	18375.3708	9555.3131	3828.1037	8202.2498	4435.1706	5928.9344	8272.327	11816.1148	8765.5352	5054.4372	4423.4029	10244.0958	4337.3339	13506.7257	3015.2441
ANAEROFRUCAT-PWY	homolactic fermentation	26972.1973	35168.5568	42976.8524	41028.5952	27222.4793	35775.5175	42416.3257	34945.825	29542.3227	34989.8534	32403.9815	35286.284	34713.3462	33533.4921	45204.518	47336.1808	35748.9675	40411.8855	39087.6176	35617.2394	39425.1772	44546.1752	48187.6182	43721.5122	41401.2913	35252.035	32952.9052	39507.5603	42837.6467	35185.3224	29510.1385	41014.2508	38638.748999999996	39521.0187	35128.3429	37817.013	51000.5485	33353.9104	42699.1397	30076.9872	33068.8396	41815.8286	46066.202000000005	25225.972	35425.299	44644.7987	43244.1395	34395.1233	19430.1672
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	36526.0779	38965.3662	48604.2875	51169.2547	45560.1266	50523.4913	54339.7946	47908.2524	38112.568	47646.5255	49412.1661	47593.401	66628.7053	45158.2124	53916.972	55800.7683	51667.3004	56100.5731	43339.6777	47849.1854	49535.3665	52668.4467	53129.1785	58639.8046	51065.1637	46955.0051	36526.0939	44028.7773	48034.1832	43782.5921	47869.1441	46609.8042	45938.6983	55352.0186	43646.5103	52707.3335	61315.9966	45024.3721	58584.7384	42268.6947	42303.9351	44078.444	52447.1125	42077.2891	50823.8042	54829.0562	54567.0476	49944.4574	26368.2718
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	7532.2431	7831.4627	14258.7735	15521.0776	8585.9261	23448.6206	10500.6695	20665.8595	10855.2861	9961.0987	11214.6401	11315.2387	8807.2617	9310.035	19660.8651	11172.2931	20915.1122	10624.6929	12506.7879	10984.3582	11649.438999999998	16757.692	10413.7583	12457.7249	16082.5248	10653.0607	8983.6852	10167.7174	13538.2426	8623.5578	8238.3131	12968.358	10709.9836	9684.9672	14945.0533	8689.6174	8121.779	7492.380999999999	9792.0475	8696.3271	8827.1346	9875.3335	10473.1096	7657.4768	8737.8882	12280.7937	11479.2516	12825.3784	5841.2539
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	687.2646	1337.0838	2625.5712	1647.7347	2076.2494	1112.4354	2713.1204	1608.0526	1811.6441	1090.2943	391.9665	2315.005	1173.1844	2896.6346	965.3105	1048.5281	437.6256	913.6291	1688.8226	3474.3903	1736.8875	638.4792	1721.5362	565.0053	1566.4404	1674.6556	1675.3112	3604.5718	1778.4366	1550.9191	855.4281	2227.3356	1380.4678	1997.8216	7244.2336	1792.0672	477.8394	1081.9988	543.7794	1074.232	3361.9068	2867.6437	1320.5317	999.3393	605.6722	1316.4456	683.3039	5256.3961	397.9632
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	5028.2851	4141.072	12994.2194	12139.6027	3040.8186	4360.0939	8250.6537	6101.8044	5878.5824	7515.7089	2321.6253	5147.0569	2591.6952	5021.5219	4615.4176	8491.0714	5314.078	5029.1797	10027.5347	6681.7127	11397.3449	3849.4404	10214.7697	6174.1244	9281.6782	5227.1223	6377.1052	11998.8687	14287.782	4828.5888	3459.9333	10789.7691	8085.5482	8789.6574	7816.227	6691.9315	3836.6165	3071.6043	5650.6057	6133.8730000000005	3473.4566	13007.7556	9187.4406	3235.7324	6456.7536	9136.2545	5693.0677	6652.8518	4416.479
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	18034.1059	18855.3134	33814.2719	36810.6511	20047.5616	33555.9891	23659.9974	30295.7598	23888.8641	32908.5954	26477.7309	28573.9266	21839.2232	23361.3856	40370.0562	27632.7815	30731.0	27689.7277	26655.4967	24805.9985	26506.2408	41558.5958	30456.8044	35677.9156	35134.2764	24796.8346	21221.3153	21493.0127	34683.769	21227.833	29556.0504	29538.167	24892.7446	26561.9661	25800.783	29537.8353	32952.2916	30891.2009	30071.804	19064.7842	20051.675	22945.5796	30270.513	22765.117000000002	24180.7183	32346.7101	33881.5957	27572.3715	12799.9593
