Pathway	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S31	S32	S33	S34	S35	S36	S37	S38	S39	S3	S4	S5	S6	S7	S8	S9
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	9139	11957.3	9877.65	10484.2	11167.6	8428.33	10193.3	10439.1	4229.39	7407.25	10026.8	9221.58	9914.25	6678.64	13693.6	6838.68	8029.14	12383	9767.58	7752.94	9862.72	9595.29	11630.9	5639.05	7492.27	10076.7	11722.5	6548	9125.92	9319.57	8545.88	8505.91	9558.62	7137.73	10366.9	5476.07
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	142.21	0	0	0	0	41.1133	21.8531	0	536.463	38.2121	0	106.798	15.0656	408.755	0	0	284.165	0	77.218	32.6134	0	49.5463	0	110.069	309.832	33.7854	0	544.265	0	34.0534	70.4133	15.1007	52.4156	218.257	20.4277	854.085
"7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)"	0	0	0	0	0	0	5.75276	0	0	0	0	0	0	0	0	0	0	0	0	10.5167	0	0	0	0	0	0	0	0	0	31.626	0	9.73446	37.2921	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0	0	28.5842	590.973	0	0	19.6977	0	0	0	176.372	8.29617	0	58.6685	159.311	0	49.8674	0	22.9775	98.7585	0	0	0	0	11.8223	0	5.71492	0	100.208	0	646.371
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	92.0507	0	0	0	0	0	0	37.785	33.6345	39.7601	0	51.3501	40.7518	71.25	0	0	23.2553	7.62742	18.1352	304.063	0	43.5437	0	0	21.1174	0	0	68.4735	23.7354	0	3.66005	22.2841	118.094	55.0509	12.2381	237.088
ANAEROFRUCAT-PWY: homolactic fermentation	4984.45	4411.58	5411.2	6166.2	5269.34	3950.11	6160.44	5276.42	4148.35	4890.59	6383.37	3840.04	3309.09	3637.79	3018.73	4443.66	4788.72	3685.23	5648.31	4157.09	4186.35	5418.4	3839.08	4609.16	4118.15	4327.67	3135.74	4350.19	6194.49	5278.1	4706.35	6434.55	6217.12	5642.76	6408.93	3935.89
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	8213.87	8640.33	8858.92	9383.4	8487.65	8015.73	9884.82	8586.82	4595.87	6552.99	9616.69	8525.35	8083.71	5923.38	5562.45	5762.78	6665.05	6904.26	8585.92	6586.64	7173.87	8355.48	7187.41	5752.82	4857.79	8642.93	5464.36	5709.97	8917.17	8321.15	8583.39	8627.5	8909.75	7441.54	9369.32	5224.35
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	1637.14	620.961	261.743	344.641	585.661	1006.75	451.763	1344.35	3119.13	2687.05	1081.85	1151.05	919.748	2051.5	633.815	2378.74	2207.24	1139.61	1312.98	3307.68	2194.25	1628.64	940.722	2547.96	3061.62	972.7	808.346	3039.63	1644.75	1158.22	1834.99	1309.63	1786.43	2961.13	1807.4	4698.87
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	263.908	0	0	0	0	84.0766	27.9329	58.7564	2202.54	1005.73	111.102	525.972	89.2937	895.444	0	1037.7	609.982	125.371	272.129	549.525	424.965	202.282	25.0008	1317	880.283	54.6049	0	1265.39	188.651	293.758	212.242	56.1841	167.218	629.252	13.5055	2367.84
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	6674.82	10069.2	8141.49	6635.08	8669.98	4209.52	8896.05	7400.35	3546.76	5428.38	8316.47	7864.83	7932.39	2535.38	971.643	4770.05	3873.96	8540.75	5610.28	5811.26	7742.66	5832.05	9099.52	3688.02	1115.4	7635.2	829.935	1804.83	7606.4	6187.71	5161.91	5546.89	5057.82	3404.98	4741.49	2077.71
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion"	29.0639	26.7028	83.1556	147.229	244.209	265.372	61.6934	71.8881	64.6446	84.4432	166.861	0	91.2207	101.504	114.13	11.7744	328.259	98.5453	371.295	285.275	325.976	240.217	90.1962	336.565	243.267	233.432	263.508	196.575	366.013	327.828	46.742	301.472	92.2743	121.958	364.094	348.276
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	4398.32	4581.82	4665.26	6562.82	4886.4	5168.8	2666.14	4911	3701.6	3577.19	2575.44	1547.38	2830.86	3391.29	3422.54	2864.03	6202.24	3734.7	6492.04	6019.63	4126.38	7375.29	3018.19	4024.62	6594.31	4264.87	4691.3	5035.37	3219.55	4799.85	7231.38	5987.22	8404.88	7227.46	8728.05	5978.06
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	4361.74	4435.31	3901.13	6174.85	4545.56	4979.66	2444.45	4452.24	3324.54	3279.8	2152.67	1323.9	2598.01	3087.09	2909.64	2691.61	6125.92	3865.81	6170.06	6001.31	4022.86	7227.16	2701.78	3704.56	6582.68	4007.47	4104.31	4794.67	3021.28	4701.41	7268.83	5755.72	8194.6	7171.46	8541.54	6139.88
ARO-PWY: chorismate biosynthesis I	7157.28	9278.91	8132.37	9479.09	8347.4	7071.14	6652.54	7873.7	4501.99	6296.56	6542.26	6433.31	7416.48	8672.88	9423.28	6373.84	7715.35	7911.35	9402.44	8103.88	7601.36	9658.57	7182.43	5542.08	7996.68	7995.48	10029.4	7616.6	6993.73	8016.68	9082.78	9200.26	9379.32	8835.03	11140	6646.53
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	6864.36	6424.42	7497.22	5872.97	8003.48	9844.3	8440.22	8425.99	5265.8	6840.85	8335.93	8849.48	3578.15	9636.75	10880.6	7677.84	4787.49	9631.99	5103.55	6352.97	8057.3	4592.12	8829.74	5878.3	4197.71	8114.65	11601	5987.32	7687.94	7174.55	6230.01	6371.77	4806.44	4440.48	4698.03	4172.98
