g	sd
TCGA-AF-3911-01	0.425507444451534	0.330035746954848
TCGA-F4-6459-01	0.49985222420813	0.335388615398113
TCGA-3L-AA1B-01	0.462470442856239	0.305607541083234
TCGA-D5-5538-01	0.4129383751973	0.29717069190829
TCGA-F4-6854-01	0.476237931116386	0.322732456709068
TCGA-AG-A026-01	0.455694702637225	0.333261310278866
TCGA-G4-6303-01	0.47356516629692	0.330635282243442
TCGA-F5-6464-01	0.462279566251578	0.316965819215258
TCGA-T9-A92H-01	0.466075532668221	0.332977336250611
TCGA-CM-5863-01	0.466835038639083	0.309253960393289
TCGA-AZ-4308-01	0.432377622569134	0.321972017624624
TCGA-AD-6965-01	0.425753102440495	0.317412713698839
TCGA-AD-6548-01	0.469449175213195	0.304634246213759
TCGA-A6-5660-01	0.470538372794701	0.325171687593326
TCGA-AZ-6600-01	0.482308567031356	0.326525757128909
TCGA-F4-6808-01	0.438944046168269	0.31796614422257
TCGA-D5-6540-01	0.506437875133882	0.32549365548709
TCGA-F5-6571-01	0.471988127482724	0.328368786368676
TCGA-D5-6926-01	0.455218501598656	0.316577544909383
TCGA-CM-4748-01	0.456608453777522	0.318170777887886
TCGA-5M-AATE-01	0.423768520463507	0.326611746872734
TCGA-D5-5541-01	0.473577223014551	0.327696087679205
TCGA-CM-5862-01	0.432561962410149	0.323694377004452
TCGA-AA-3511-01	0.462855645765451	0.327067482549469
TCGA-CI-6622-01	0.467571022294096	0.333653807420049
TCGA-EI-6506-01	0.474545057946383	0.331705083450356
TCGA-AM-5821-01	0.45219185170544	0.293660966234279
TCGA-F5-6812-01	0.471838067531993	0.329372512731631
TCGA-G4-6588-01	0.508960670158669	0.318293617166813
TCGA-EI-6512-01	0.467301566013481	0.33194533699032
TCGA-A6-6648-01	0.452963091082492	0.332419706613754
TCGA-NH-A6GC-01	0.449368160234317	0.335966916305954
TCGA-F4-6805-01	0.480741817997477	0.322664314638001
TCGA-AA-3697-01	0.440864554753286	0.325520326192028
TCGA-QG-A5YX-01	0.418577185480717	0.321517611622831
TCGA-DM-A28C-01	0.483896199395061	0.351713523053472
TCGA-AG-A036-01	0.4568197935917	0.321121181069135
TCGA-AZ-6606-01	0.529542848456053	0.334969567504882
TCGA-F4-6570-01	0.500160704360494	0.310813253245854
TCGA-DC-4745-01	0.479275109454477	0.341529894187673
TCGA-AF-A56K-01	0.432846625439076	0.317161081986702
TCGA-G4-6627-01	0.484707022461048	0.317687022078492
TCGA-A6-5657-01	0.483508197329893	0.312970224072169
TCGA-A6-5662-01	0.476994566032165	0.342556168591955
TCGA-AA-3509-01	0.451682356853882	0.330150969942388
TCGA-D5-6929-01	0.44362218954369	0.301367991164375
TCGA-CM-6679-01	0.463661469777698	0.322925191724925
TCGA-DC-6157-01	0.451797673304055	0.336383021234328
