Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	40	7.662835249042145	2.1453245468104915E-12	OR5M9, OR2G6, OR6K3, OR6K2, OR5I1, OR5K2, OR4K3, OR2M3, OR10AG1, OR2M2, OR10R2, OR52N5, OR4Q2, OR2T10, OR5H15, OR10D3, OR8B4, OR51B6, OR8B2, OR5AL1, OR4D2, OR8J3, OR14C36, OR14K1, OR13G1, OR52E1, OR14I1, OR51M1, OR10S1, OR1J2, OR6P1, OR1L1, OR5AC2, OR6C6, OR8G5, OR56A3, OR10G9, OR13C2, OR51A7, OR56A1	471	432	19256	3.785483997798223	4.599488789835959E-9	4.597430503814883E-9	4.597430503814883E-9
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	40	7.662835249042145	9.471937291146558E-12	OR5M9, OR2G6, OR6K3, OR6K2, OR5I1, OR5K2, OR4K3, OR2M3, OR10AG1, OR2M2, OR10R2, OR52N5, OR4Q2, OR2T10, OR5H15, OR10D3, OR8B4, OR51B6, OR8B2, OR5AL1, OR4D2, OR8J3, OR14C36, OR14K1, OR13G1, OR52E1, OR14I1, OR51M1, OR10S1, OR1J2, OR6P1, OR1L1, OR5AC2, OR6C6, OR8G5, OR56A3, OR10G9, OR13C2, OR51A7, OR56A1	468	446	18811	3.6048829098156454	5.948402659328167E-9	5.957848556131185E-9	5.957848556131185E-9
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	60	11.494252873563218	3.530485963639437E-11	NPFFR2, OR5K2, OR2M3, OR10AG1, OR2M2, OR10R2, OR52N5, OR4Q2, OR2T10, GRM1, OR5H15, GPER1, TSHB, CMKLR1, OR5AL1, OR4D2, GHSR, OR14C36, TAAR9, OR13G1, OR52E1, OR14I1, OR1J2, TAS2R16, OR6P1, ADCYAP1, OR5AC2, OR6C6, VN1R4, OR8G5, OR13C2, OR56A3, OR56A1, OR5M9, OR2G6, OR6K3, OR6K2, OR5I1, OR4K3, FPR2, CCL8, ADGRG7, OR10D3, OR8B4, OR51B6, RGS21, OR8B2, OR8J3, XCR1, OR14K1, OR51M1, OR10S1, TAS2R38, OR1L1, GPR141, VIP, KCNK2, OR10G9, OR51A7, GPHB5	471	947	19256	2.5902783849770312	7.569363869031065E-8	3.7829157100396567E-8	3.7829157100396567E-8
GOTERM_MF_DIRECT	GO:0004930~G-protein coupled receptor activity	53	10.153256704980842	7.670123223998148E-11	NPFFR2, OR5K2, OR2M3, OR10AG1, OR2M2, OR10R2, OR52N5, OR4Q2, OR2T10, GRM1, OR5H15, GRM5, GPER1, CMKLR1, OR5AL1, OR4D2, GHSR, OR14C36, TAAR9, OR13G1, OR52E1, OR14I1, OR1J2, TAS2R16, OR6P1, OR5AC2, OR6C6, OR8G5, OR13C2, OR56A3, OR56A1, OR5M9, OR2G6, OR6K3, OR6K2, OR5I1, OR4K3, FPR2, ADGRG7, CNR1, OR10D3, OR8B4, OR51B6, OR8B2, OR8J3, OR14K1, OR51M1, OR10S1, TAS2R38, OR1L1, GPR141, OR10G9, OR51A7	468	776	18811	2.7452391179839633	4.8168353083966053E-8	2.4122537539474174E-8	2.4122537539474174E-8
GOTERM_MF_DIRECT	GO:0005549~odorant binding	17	3.256704980842912	6.670918857335762E-8	OR8J3, OR5M9, OR6K3, OR14C36, OR14K1, OR6K2, OR5I1, OR13G1, OR5K2, OR14I1, OR10R2, OR5H15, OR5AC2, OR8B4, OR8B2, OR8G5, OR5AL1	468	123	18811	5.555329719963867	4.18924943340615E-5	1.398669320421398E-5	1.398669320421398E-5
GOTERM_BP_DIRECT	GO:0009414~response to water deprivation	4	0.7662835249042145	7.384199365711274E-4	MAPK10, CD9, UMOD, DMD	471	8	19256	20.441613588110403	0.7947973301751374	0.43415269714915133	0.43415269714915133
GOTERM_BP_DIRECT	GO:0060078~regulation of postsynaptic membrane potential	6	1.1494252873563218	9.907204297637169E-4	ADCYAP1, GRM5, FGF14, KCNA1, GRIA3, GRM1	471	32	19256	7.665605095541402	0.8805858402038163	0.43415269714915133	0.43415269714915133
GOTERM_BP_DIRECT	GO:0048812~neuron projection morphogenesis	8	1.532567049808429	0.0010129554296527095	GPM6A, WEE1, TAOK3, BDNF, NEFL, DMD, NEK3, ATP7A	471	65	19256	5.031781806304099	0.8861504160573958	0.43415269714915133	0.43415269714915133
GOTERM_MF_DIRECT	GO:0030246~carbohydrate binding	14	2.681992337164751	0.0014313882443402432	CHODL, CLEC2L, CLEC14A, PKD1L2, SELP, CLEC3A, CLEC4D, CLEC7A, CLEC5A, KLRF1, OLR1, KLRF2, KLRD1, KLRG1	468	199	18811	2.8277498604131774	0.5932496929219695	0.22508580142250323	0.22508580142250323
GOTERM_BP_DIRECT	GO:0043267~negative regulation of potassium ion transport	4	0.7662835249042145	0.0015256557047389186	ADCYAP1, NOS3, HTR2A, VIP	471	10	19256	16.353290870488323	0.9621264987204698	0.5205215943640359	0.5205215943640359
GOTERM_BP_DIRECT	GO:0007608~sensory perception of smell	10	1.9157088122605364	0.0017002571911097766	OR8J3, OR5M9, OR5AC2, OR5I1, OR8B4, OR51M1, OR51B6, OR8B2, OR8G5, OR5AL1	471	112	19256	3.6502881407340007	0.9739686566216289	0.5205215943640359	0.5205215943640359
GOTERM_BP_DIRECT	GO:0007611~learning or memory	7	1.3409961685823755	0.005407172134569016	GHSR, GRM5, SRC, SLC11A2, VIP, LHX8, AFF2	471	66	19256	4.336099852023419	0.9999910551544806	1.0	1.0
GOTERM_BP_DIRECT	GO:0007159~leukocyte cell-cell adhesion	5	0.9578544061302682	0.00733451972512884	SELP, NT5E, ITGA4, OLR1, UMOD	471	32	19256	6.388004246284501	0.9999998602152732	1.0	1.0
GOTERM_BP_DIRECT	GO:2000623~negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	3	0.5747126436781609	0.011509321772909514	APOBEC1, SECISBP2, HNRNPAB	471	7	19256	17.521383075523204	0.9999999999833579	1.0	1.0
GOTERM_BP_DIRECT	GO:0010976~positive regulation of neuron projection development	9	1.7241379310344827	0.013318769901388531	ADCYAP1, BDNF, CNR1, STMN2, UBE2V2, KATNB1, DMD, PTN, RGMA	471	128	19256	2.874601910828025	0.9999999999996725	1.0	1.0
GOTERM_BP_DIRECT	GO:0007399~nervous system development	19	3.6398467432950192	0.013414304972716468	CHODL, TENM1, PCDHGB5, MYT1L, BDNF, DLX5, PCDHGC3, NRG1, GFRA1, PTN, NR2E1, FGF5, PCDHGA11, FGF14, EDNRB, NOVA1, GPER1, GFRAL, CNTN4	471	414	19256	1.8762833728217279	0.9999999999997339	1.0	1.0
GOTERM_BP_DIRECT	GO:0019221~cytokine-mediated signaling pathway	10	1.9157088122605364	0.014542014582868251	IFNA4, HCK, IFNA14, PTPRN, IL31RA, IL5RA, TNFSF11, IL16, LIFR, SOCS5	471	156	19256	2.6207196907833845	0.9999999999999771	1.0	1.0
GOTERM_MF_DIRECT	GO:0005215~transporter activity	5	0.9578544061302682	0.018402721442224764	SLC23A2, STEAP1, CDH17, IPO7, ATP6V1C1	468	41	18811	4.901761517615176	0.9999914070740062	1.0	1.0
GOTERM_BP_DIRECT	GO:0050953~sensory perception of light stimulus	3	0.5747126436781609	0.019103056984132668	PCDH15, USH2A, CLRN1	471	9	19256	13.627742392073603	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0017022~myosin binding	4	0.7662835249042145	0.025882500338994762	ARFGEF2, DMD, TRAK1, USH2A	468	26	18811	6.183760683760685	0.9999999295428806	1.0	1.0
GOTERM_BP_DIRECT	GO:0010942~positive regulation of cell death	5	0.9578544061302682	0.027370188072857283	HBG2, PDX1, KATNB1, CD36, KCNK2	471	47	19256	4.349279486832001	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	22	4.21455938697318	0.03331129362149505	SIGLECL1, PCDHGB5, ITGA4, SRC, NTM, PCDH11X, PCDHGC3, PCDH8, PCDH15, FPR2, PCDH17, DSPP, SELP, ADAMTSL1, PCDHGA11, HCK, CD9, COL6A6, CNTN4, CD36, CHST4, CDH17	471	557	19256	1.6147773750033352	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0090043~regulation of tubulin deacetylation	3	0.5747126436781609	0.03337412714287517	MBIP, NEK3, SGF29	471	12	19256	10.220806794055202	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0009755~hormone-mediated signaling pathway	5	0.9578544061302682	0.03556968972896489	GHSR, RARB, TSHB, RXFP2, GPHB5	471	51	19256	4.008159527080471	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045087~innate immune response	23	4.406130268199234	0.03706284678375584	TRIM64C, TRIM64B, DEFB119, NLRP2B, DEFB118, SRC, TRIL, DEFB125, DEFB121, DEFB107A, DEFB110, IPO7, HCK, VNN1, TREML4, TMEM33, GPER1, CLEC5A, TRIM49B, TRIM48, VIP, KLRG1, FBXO9	471	597	19256	1.5750657036064968	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0072089~stem cell proliferation	5	0.9578544061302682	0.03781803771260076	RNF43, ABCB1, HOXA3, RARB, NR2E1	471	52	19256	3.9310795361750777	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1903238~positive regulation of leukocyte tethering or rolling	3	0.5747126436781609	0.03881612398224602	SELP, ITGA4, CHST4	471	13	19256	9.434590886820187	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0019430~removal of superoxide radicals	3	0.5747126436781609	0.03881612398224602	NQO1, NOS3, ATP7A	471	13	19256	9.434590886820187	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0031175~neuron projection development	8	1.532567049808429	0.03898844066217357	ADCYAP1, GPM6A, TMEM108, STMN2, GFRA1, CNTN4, TBC1D23, RGMA	471	129	19256	2.5353939334090425	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0019233~sensory perception of pain	5	0.9578544061302682	0.045041717753429814	ADCYAP1, EDNRB, CNR1, RETREG1, GRM1	471	55	19256	3.716657016020073	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007568~aging	10	1.9157088122605364	0.04875793039857779	NQO1, EDNRB, CNR1, KRT25, NAPEPLD, TACR3, GFRA1, DMD, HTR2A, PCK1	471	194	19256	2.1073828441350932	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0099530~G-protein coupled receptor activity involved in regulation of postsynaptic membrane potential	2	0.38314176245210724	0.049036761238829954	GRM5, GRM1	468	2	18811	40.19444444444445	0.9999999999999807	1.0	1.0
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell proliferation	21	4.022988505747127	0.04972890783022565	RPS6, PDX1, IL31RA, LIFR, NRG1, PTN, HTR2A, CRKL, FGF5, HCK, ADCYAP1, CNOT6, EDNRB, CLEC7A, GPER1, GID8, HOXA3, PGGT1B, DMD, VIP, EAPP	471	549	19256	1.563839290893692	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0071837~HMG box domain binding	3	0.5747126436781609	0.052173008944801105	DLX5, HOXA3, PAX6	468	15	18811	8.038888888888888	0.9999999999999976	1.0	1.0
GOTERM_BP_DIRECT	GO:0048666~neuron development	5	0.9578544061302682	0.05298191684027351	TENM1, MYT1L, SECISBP2, DMD, VSX1	471	58	19256	3.5244161358811037	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	11	2.10727969348659	0.05399034151199651	ADCYAP1, CCL8, IL26, SRC, CAVIN3, GPER1, NRG1, CD36, FPR2, HTR2A, CRKL	471	228	19256	1.972436398852758	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007019~microtubule depolymerization	3	0.5747126436781609	0.05693028430283694	STMN2, KATNB1, KIF2B	471	16	19256	7.665605095541402	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0021542~dentate gyrus development	3	0.5747126436781609	0.05693028430283694	LMX1A, TMEM108, NR2E1	471	16	19256	7.665605095541402	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	9	1.7241379310344827	0.06059933686293741	PCDHGA11, PCDHGB5, PCDH11X, PCDHGC3, PCDH8, PCDH15, CNTN4, CDH17, PCDH17	471	172	19256	2.139238631313879	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007613~memory	6	1.1494252873563218	0.06170085790218402	LMX1A, BDNF, CNR1, PTN, HTR2A, KCNK2	471	87	19256	2.8195329087048835	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007626~locomotory behavior	6	1.1494252873563218	0.06170085790218402	SNAP25, GRM5, LMX1A, NRG1, ATP7A, GRM1	471	87	19256	2.8195329087048835	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0009395~phospholipid catabolic process	3	0.5747126436781609	0.06350568630156068	ENPP2, NAPEPLD, PLBD1	471	17	19256	7.214687148744849	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045665~negative regulation of neuron differentiation	5	0.9578544061302682	0.06467107978941611	LMX1A, PAX6, DMD, CNTN4, NR2E1	471	62	19256	3.297034449695226	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0051965~positive regulation of synapse assembly	5	0.9578544061302682	0.06467107978941611	LRRTM3, FLRT2, BDNF, UBE2V2, LRRN1	471	62	19256	3.297034449695226	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0001786~phosphatidylserine binding	5	0.9578544061302682	0.06476517776833646	SYT5, GRAMD1B, GSDMB, ANXA13, HAVCR1	468	61	18811	3.294626593806922	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0001530~lipopolysaccharide binding	4	0.7662835249042145	0.06767868153261558	SELP, DEFB119, DEFB118, TRIL	468	38	18811	4.230994152046784	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0030073~insulin secretion	4	0.7662835249042145	0.06919853432690344	ADCYAP1, SLC30A8, PTPRN, PDX1	471	39	19256	4.193151505253415	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0043086~negative regulation of catalytic activity	7	1.3409961685823755	0.06928759107609142	NQO1, PPP1R17, TAOK3, MBIP, PHACTR3, PTN, UMODL1	471	118	19256	2.4252761884198786	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1901379~regulation of potassium ion transmembrane transport	3	0.5747126436781609	0.07032210349143922	DPP10, DPP6, KCNAB1	471	18	19256	6.813871196036802	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0048384~retinoic acid receptor signaling pathway	3	0.5747126436781609	0.07032210349143922	RARB, ESRRG, CRKL	471	18	19256	6.813871196036802	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0061760~antifungal innate immune response	3	0.5747126436781609	0.07032210349143922	CLEC4D, DEFB119, CLEC7A	471	18	19256	6.813871196036802	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1901329~regulation of odontoblast differentiation	2	0.38314176245210724	0.07145484285807946	NFE2L1, DSPP	471	3	19256	27.255484784147203	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0055096~low-density lipoprotein particle mediated signaling	2	0.38314176245210724	0.07145484285807946	LPL, CD36	471	3	19256	27.255484784147203	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0099553~trans-synaptic signaling by endocannabinoid, modulating synaptic transmission	2	0.38314176245210724	0.07145484285807946	GRM5, CNR1	471	3	19256	27.255484784147203	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0014809~regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion	2	0.38314176245210724	0.07145484285807946	GSTM2, DMD	471	3	19256	27.255484784147203	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0033693~neurofilament bundle assembly	2	0.38314176245210724	0.07145484285807946	NEFL, NEFM	471	3	19256	27.255484784147203	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0001046~core promoter sequence-specific DNA binding	3	0.5747126436781609	0.07243322280904345	MMP12, SNAPC3, NR3C1	468	18	18811	6.6990740740740735	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0099583~neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration	2	0.38314176245210724	0.07264778960214612	GRM5, GRM1	468	3	18811	26.796296296296298	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway	5	0.9578544061302682	0.07424788820857714	EDNRB, FPR2, HTR2A, VIP, CMKLR1	471	65	19256	3.1448636289400618	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007417~central nervous system development	8	1.532567049808429	0.07516171032682252	NHLH2, DHX30, PPP1R17, B3GNT5, ZIC1, PDX1, PAX6, ZIC4	471	150	19256	2.1804387827317764	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0019432~triglyceride biosynthetic process	3	0.5747126436781609	0.07736391018368859	AGMO, LPL, LPIN3	471	19	19256	6.455246396245391	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0001819~positive regulation of cytokine production	5	0.9578544061302682	0.07759100437365019	ITK, IL26, SRC, CLEC5A, KLRF2	471	66	19256	3.097214180016728	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0042311~vasodilation	4	0.7662835249042145	0.07794078482261291	ADCYAP1, EDNRB, NOS3, GPER1	471	41	19256	3.9886075293873957	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	7	1.3409961685823755	0.08099291156536162	CCL8, XCR1, ENPP2, IL16, PIK3C2G, FPR2, CMKLR1	471	123	19256	2.326687725475981	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0042594~response to starvation	4	0.7662835249042145	0.08248421796140336	HMGCL, ADCYAP1, PDK4, PCK1	471	42	19256	3.893640683449601	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation	6	1.1494252873563218	0.08299206383076885	CLEC7A, SRC, ENPP2, GFRA1, CD36, HTR2A	471	95	19256	2.582098558498156	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0048663~neuron fate commitment	3	0.5747126436781609	0.08461609702033246	MYT1L, PAX6, NRG1	471	20	19256	6.132484076433122	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0032874~positive regulation of stress-activated MAPK cascade	3	0.5747126436781609	0.08461609702033246	TAOK3, CLEC7A, IL26	471	20	19256	6.132484076433122	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007263~nitric oxide mediated signal transduction	3	0.5747126436781609	0.08461609702033246	NOS3, PDX1, CD36	471	20	19256	6.132484076433122	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045454~cell redox homeostasis	4	0.7662835249042145	0.0871388722823248	NQO1, SELENOS, NOS3, NFE2L1	471	43	19256	3.8030909001135633	1.0	1.0	1.0
