control	tumor
03C	83.4946991999585	66.9963519982057
04C	73.5350411090746	58.2728577837658
14C	75.2797324429996	65.2993432873929
16C	72.1180715893213	61.0832759940736
24C	76.642248746572	58.6926407913321
26C	75.5752694056874	55.366746979147
28C	73.7940643480773	61.6986505593136
35C	74.6550821455975	57.86357100049
53C	74.0192643468894	61.1364744258234
55C	74.2319279559345	64.0207072885858
56C	70.6244089368904	58.0948400214441
61C	74.4632235644085	61.69730681316
66C	78.2183143922306	63.0379159691632
