	pvalue	rho
f__Koribacteraceae|g__Candidatus Koribacter	0.603931204	0.159340659
f__Actinomycetaceae|g__Actinomyces	0.239174539	0.351648352
f__Actinomycetaceae|g__Mobiluncus	0.175773537	-0.401098901
f__Actinomycetaceae|g__Varibaculum	0.202388324	0.379120879
f__Brevibacteriaceae|g__Brevibacterium	0.62975814	0.148351648
f__Corynebacteriaceae|g__Corynebacterium	0.279926505	0.324175824
f__Dermabacteraceae|g__Brachybacterium	0.906202124	0.038461538
f__Dietziaceae|g__Dietzia	0.992769769	0.005494505
f__Geodermatophilaceae|g__Geodermatophilus	0.863235584	0.054945055
f__Micrococcaceae|g__Arthrobacter	0.792485539	-0.082417582
f__Micrococcaceae|g__Kocuria	0.553621558	0.181318681
f__Micrococcaceae|g__Microbispora	0.920585447	0.032967033
f__Micrococcaceae|g__Micrococcus	0.263148015	0.335164835
f__Micrococcaceae|g__Rothia	0.792485539	0.082417582
f__Micromonosporaceae|g__Catellatospora	0.088874294	-0.494505495
f__Micromonosporaceae|g__Pilimelia	0.447771588	-0.230769231
f__Nocardiaceae|g__Rhodococcus	0.669269054	-0.131868132
f__Propionibacteriaceae|g__Propionibacterium	0.279926505	0.324175824
f__Bifidobacteriaceae|g__Bifidobacterium	0.343645873	0.285714286
f__Coriobacteriaceae|g__Adlercreutzia	0.77850131	-0.087912088
f__Coriobacteriaceae|g__Collinsella	0.025268829	0.626373626
f__Coriobacteriaceae|g__Eggerthella	0.097037076	0.483516484
f__Coriobacteriaceae|g__Paraeggerthella	0.188771717	0.39010989
f__Coriobacteriaceae|g__Slackia	0.042537186	0.576923077
f__Rubrobacteraceae|g__Rubrobacter	0.353376452	-0.28021978
f__Bacteroidaceae|g__Bacteroides	0.505254856	-0.203296703
f__Porphyromonadaceae|g__Parabacteroides	0.436693258	0.236263736
f__Porphyromonadaceae|g__Porphyromonas	0.101312257	0.478021978
f__Prevotellaceae|g__Prevotella	0.047339595	0.565934066
f__Rikenellaceae|g__Alistipes	0.682631672	0.126373626
f__Rikenellaceae|g__PW3	0.820631823	0.071428571
f__[Odoribacteraceae]|g__Butyricimonas	0.436693258	0.236263736
f__[Odoribacteraceae]|g__Odoribacter	0.157418637	-0.417582418
f__[Paraprevotellaceae]|g__[Prevotella]	0.110259719	0.467032967
f__[Weeksellaceae]|g__Chryseobacterium	0.96385958	0.016483516
f__Deferribacteraceae|g__Mucispirillum	0.383492244	-0.263736264
f__Bacillaceae|g__Bacillus	0.271457628	0.32967033
f__Listeriaceae|g__Brochothrix	0.414969917	-0.247252747
f__Paenibacillaceae|g__Brevibacillus	0.750730306	-0.098901099
f__Staphylococcaceae|g__Macrococcus	0.45899199	-0.225274725
f__Staphylococcaceae|g__Staphylococcus	0.723248149	0.10989011
f__[Exiguobacteraceae]|g__Exiguobacterium	0.834785888	-0.065934066
f__Aerococcaceae|g__Abiotrophia	0.863235584	0.054945055
f__Carnobacteriaceae|g__Carnobacterium	0.315390822	-0.302197802
f__Carnobacteriaceae|g__Granulicatella	0.764581607	0.093406593
f__Enterococcaceae|g__Enterococcus	0.209430603	-0.373626374
f__Enterococcaceae|g__Vagococcus	0.591181304	-0.164835165
f__Lactobacillaceae|g__Lactobacillus	0.216629807	0.368131868
f__Leuconostocaceae|g__Leuconostoc	0.383492244	0.263736264
f__Leuconostocaceae|g__Weissella	0.297341476	-0.313186813
f__Streptococcaceae|g__Lactococcus	0.578544469	-0.17032967
f__Streptococcaceae|g__Streptococcus	0.792485539	-0.082417582
f__Turicibacteraceae|g__Turicibacter	0.119748805	0.456043956
f__Clostridiaceae|g__02d06	0.949418437	0.021978022
f__Clostridiaceae|g__Clostridium	0.023743428	0.631868132
f__Clostridiaceae|g__Sarcina	0.96385958	0.016483516
f__Eubacteriaceae|g__Pseudoramibacter_Eubacterium	0.877522991	-0.049450549
f__Lachnospiraceae|g__Anaerostipes	0.129793416	0.445054945
f__Lachnospiraceae|g__Blautia	0.040276697	0.582417582
f__Lachnospiraceae|g__Catonella	0.239174539	-0.351648352
f__Lachnospiraceae|g__Clostridium	0.288554526	0.318681319
f__Lachnospiraceae|g__Coprococcus	0.022288507	0.637362637
f__Lachnospiraceae|g__Dorea	0.517155182	0.197802198
f__Lachnospiraceae|g__Lachnoanaerobaculum	0.058133995	0.543956044
f__Lachnospiraceae|g__Lachnobacterium	0.140406593	0.434065934
f__Lachnospiraceae|g__Lachnospira	0.642828943	0.142857143
f__Lachnospiraceae|g__Roseburia	0.070634802	0.521978022
f__Lachnospiraceae|g__Ruminococcus	0.363261725	0.274725275
f__Lachnospiraceae|g__[Ruminococcus]	0.505254856	-0.203296703
f__Peptococcaceae|g__Peptococcus	0.077569311	0.510989011
f__Peptostreptococcaceae|g__Filifactor	0.216629807	0.368131868
f__Peptostreptococcaceae|g__Peptostreptococcus	0.877522991	-0.049450549
f__Ruminococcaceae|g__Butyricicoccus	0.73695123	-0.104395604
f__Ruminococcaceae|g__Faecalibacterium	0.54134105	0.186813187
f__Ruminococcaceae|g__Gemmiger	0.119748805	0.456043956
f__Ruminococcaceae|g__Oscillospira	0.022288507	0.637362637
f__Ruminococcaceae|g__Ruminococcus	0.247006584	0.346153846
f__Syntrophomonadaceae|g__Syntrophomonas	0.33407089	-0.291208791
f__Veillonellaceae|g__Dialister	0.067341838	0.527472527
f__Veillonellaceae|g__Megamonas	0.877522991	-0.049450549
f__Veillonellaceae|g__Megasphaera	0.978311454	0.010989011
f__Veillonellaceae|g__Phascolarctobacterium	0.436693258	0.236263736
f__Veillonellaceae|g__Schwartzia	0.696084751	-0.120879121
f__Veillonellaceae|g__Selenomonas	0.709624773	-0.115384615
f__Veillonellaceae|g__Veillonella	0.566023611	-0.175824176
f__[Mogibacteriaceae]|g__Mogibacterium	0.709624773	0.115384615
f__[Tissierellaceae]|g__Anaerococcus	0.077569311	0.510989011
