	pvalue	rho
g__Bacteroides|s__fragilis	0.470352562	-0.21978022
g__Faecalibacterium|s__prausnitzii	0.920585447	0.032967033
g__Vibrio|s__rumoiensis	0.45899199	0.225274725
g__Lactobacillus|s__delbrueckii	0.216629807	0.368131868
g__Prevotella|s__copri	0.306287044	0.307692308
g__Prevotella|s__intermedia	0.129793416	0.445054945
g__Peptostreptococcus|s__anaerobius	0.447771588	0.230769231
g__Bacteroides|s__caccae	0.393835185	-0.258241758
g__[Ruminococcus]|s__gnavus	0.806530367	-0.076923077
g__Prevotella|s__stercorea	0.481851309	0.214285714
g__Roseburia|s__faecis	0.877522991	-0.049450549
g__Akkermansia|s__muciniphila	0.097037076	-0.483516484
g__Lactococcus|s__garvieae	0.481851309	0.214285714
g__[Ruminococcus]|s__torques	0.101312257	-0.478021978
g__Parabacteroides|s__distasonis	0.216629807	-0.368131868
g__Dorea|s__formicigenerans	0.750730306	-0.098901099
g__Gemmiger|s__formicilis	0.447771588	-0.230769231
g__Aggregatibacter|s__segnis	0.034030658	0.598901099
g__Morganella|s__morganii	0.393835185	0.258241758
g__Haemophilus|s__influenzae	1	0
g__Lactobacillus|s__salivarius	0.129793416	0.445054945
g__Bacteroides|s__ovatus	0.4257588	-0.241758242
g__Collinsella|s__aerofaciens	0.682631672	0.126373626
g__Acinetobacter|s__guillouiae	0.279926505	0.324175824
g__Bacteroides|s__uniformis	0.669269054	0.131868132
g__Shewanella|s__algae	0.436693258	0.236263736
g__Streptococcus|s__anginosus	0.077569311	0.510989011
g__Acinetobacter|s__johnsonii	0.129793416	0.445054945
g__Haemophilus|s__parainfluenzae	0.616791175	-0.153846154
g__Eggerthella|s__lenta	0.709624773	-0.115384615
g__Ruminococcus|s__bromii	0.373300689	-0.269230769
g__Macrococcus|s__caseolyticus	0.493486137	0.208791209
g__Clostridium|s__ramosum	0.279926505	0.324175824
g__Clostridium|s__symbiosum	0.764581607	-0.093406593
g__Alistipes|s__onderdonkii	0.578544469	-0.17032967
g__Clostridium|s__aldenense	0.806530367	0.076923077
g__Coprococcus|s__catus	0.806530367	-0.076923077
g__Bacteroides|s__plebeius	0.891846567	-0.043956044
g__Paraeggerthella|s__hongkongensis	0.383492244	0.263736264
g__Lachnoanaerobaculum|s__orale	0.239174539	0.351648352
g__Lactobacillus|s__iners	0.373300689	0.269230769
g__Corynebacterium|s__stationis	0.195502284	0.384615385
g__Acinetobacter|s__lwoffii	0.114935671	0.461538462
g__Blautia|s__obeum	0.042537186	-0.576923077
g__Streptococcus|s__agalactiae	0.33407089	0.291208791
g__Porphyromonas|s__endodontalis	0.271457628	0.32967033
g__Pseudomonas|s__fragi	0.62975814	0.148351648
g__[Eubacterium]|s__biforme	0.906202124	-0.038461538
g__Clostridium|s__perfringens	0.848988507	0.06043956
g__Corynebacterium|s__durum	0.906202124	0.038461538
g__Propionibacterium|s__acnes	0.373300689	0.269230769
g__Clostridium|s__hathewayi	0.764581607	-0.093406593
g__Lactobacillus|s__helveticus	0.353376452	0.28021978
g__Psychrobacter|s__sanguinis	0.45899199	0.225274725
g__[Eubacterium]|s__dolichum	0.906202124	-0.038461538
g__Citrullus|s__lanatus	0.297341476	0.313186813
g__Psychrobacter|s__pacificensis	0.105719185	0.472527473
g__Staphylococcus|s__equorum	0.114935671	0.461538462
g__Streptococcus|s__alactolyticus	0.414969917	0.247252747
g__Thermomonas|s__fusca	0.151600445	0.423076923
g__Alistipes|s__putredinis	0.848988507	0.06043956
g__Serratia|s__marcescens	0.517155182	0.197802198
