	pvalue	rho
g__Bacteroides|s__fragilis	0.353376452	-0.28021978
g__Faecalibacterium|s__prausnitzii	0.529184737	0.192307692
g__Vibrio|s__rumoiensis	0.493486137	-0.208791209
g__Lactobacillus|s__delbrueckii	0.40432821	0.252747253
g__Prevotella|s__copri	0.067341838	0.527472527
g__Prevotella|s__intermedia	0.044890723	0.571428571
g__Peptostreptococcus|s__anaerobius	0.182195776	-0.395604396
g__Bacteroides|s__caccae	0.891846567	0.043956044
g__[Ruminococcus]|s__gnavus	0.223986535	-0.362637363
g__Prevotella|s__stercorea	0.02686691	0.620879121
g__Roseburia|s__faecis	0.044890723	0.571428571
g__Akkermansia|s__muciniphila	0.934992303	0.027472527
g__Lactococcus|s__garvieae	0.414969917	-0.247252747
g__[Ruminococcus]|s__torques	0.65600035	-0.137362637
g__Parabacteroides|s__distasonis	0.978311454	-0.010989011
g__Dorea|s__formicigenerans	0.254997689	0.340659341
g__Gemmiger|s__formicilis	0.209430603	0.373626374
g__Aggregatibacter|s__segnis	0.505254856	-0.203296703
g__Morganella|s__morganii	0.436693258	0.236263736
g__Haemophilus|s__influenzae	0.920585447	-0.032967033
g__Lactobacillus|s__salivarius	0.65600035	0.137362637
g__Bacteroides|s__ovatus	0.315390822	-0.302197802
g__Collinsella|s__aerofaciens	0.040276697	0.582417582
g__Acinetobacter|s__guillouiae	0.834785888	0.065934066
g__Bacteroides|s__uniformis	0.877522991	-0.049450549
g__Shewanella|s__algae	0.373300689	0.269230769
g__Streptococcus|s__anginosus	0.33407089	-0.291208791
g__Acinetobacter|s__johnsonii	0.723248149	-0.10989011
g__Haemophilus|s__parainfluenzae	0.848988507	0.06043956
g__Eggerthella|s__lenta	0.070634802	0.521978022
g__Ruminococcus|s__bromii	0.591181304	0.164835165
g__Macrococcus|s__caseolyticus	0.436693258	-0.236263736
g__Clostridium|s__ramosum	0.978311454	-0.010989011
g__Clostridium|s__symbiosum	0.105719185	-0.472527473
g__Alistipes|s__onderdonkii	0.848988507	0.06043956
g__Clostridium|s__aldenense	0.553621558	0.181318681
g__Coprococcus|s__catus	0.114935671	0.461538462
g__Bacteroides|s__plebeius	0.834785888	0.065934066
g__Paraeggerthella|s__hongkongensis	0.195502284	0.384615385
g__Lachnoanaerobaculum|s__orale	0.047339595	0.565934066
g__Lactobacillus|s__iners	0.834785888	0.065934066
g__Corynebacterium|s__stationis	0.481851309	0.214285714
g__Acinetobacter|s__lwoffii	0.806530367	-0.076923077
g__Blautia|s__obeum	0.682631672	0.126373626
g__Streptococcus|s__agalactiae	0.96385958	0.016483516
g__Porphyromonas|s__endodontalis	0.806530367	0.076923077
g__Pseudomonas|s__fragi	0.151600445	-0.423076923
g__[Eubacterium]|s__biforme	0.505254856	0.203296703
g__Clostridium|s__perfringens	0.306287044	0.307692308
g__Corynebacterium|s__durum	0.084982763	0.5
g__Propionibacterium|s__acnes	0.353376452	0.28021978
g__Clostridium|s__hathewayi	0.669269054	-0.131868132
g__Lactobacillus|s__helveticus	0.324652306	-0.296703297
g__Psychrobacter|s__sanguinis	0.45899199	-0.225274725
g__[Eubacterium]|s__dolichum	0.436693258	-0.236263736
g__Citrullus|s__lanatus	0.949418437	0.021978022
g__Psychrobacter|s__pacificensis	0.169503998	-0.406593407
g__Staphylococcus|s__equorum	0.393835185	-0.258241758
g__Streptococcus|s__alactolyticus	0.097037076	0.483516484
g__Thermomonas|s__fusca	0.792485539	-0.082417582
g__Alistipes|s__putredinis	0.792485539	-0.082417582
g__Serratia|s__marcescens	0.254997689	0.340659341
g__Bulleidia|s__moorei	0.764581607	0.093406593
g__Psychrobacter|s__pulmonis	0.393835185	-0.258241758
g__Campylobacter|s__ureolyticus	0.022288507	0.637362637
g__Brevundimonas|s__vesicularis	0.231501302	0.357142857
g__Carnobacterium|s__viridans	0.145930216	-0.428571429
g__Bacteroides|s__acidifaciens	0.877522991	0.049450549
g__Psychrobacter|s__marincola	0.175773537	-0.401098901
g__Pseudomonas|s__umsongensis	0.493486137	-0.208791209
g__Bifidobacterium|s__adolescentis	0.978311454	-0.010989011
g__Veillonella|s__parvula	0.792485539	-0.082417582
g__Clostridium|s__celatum	0.188771717	0.39010989
g__Brevundimonas|s__diminuta	0.049886085	0.56043956
g__Blautia|s__producta	0.820631823	0.071428571
g__Pseudomonas|s__balearica	0.324652306	-0.296703297
g__Pseudomonas|s__alcaligenes	0.45899199	0.225274725
g__Clostridium|s__neonatale	0.049886085	0.56043956
g__Corynebacterium|s__variabile	0.616791175	0.153846154
g__Ruminococcus|s__callidus	0.529184737	0.192307692
g__Brevibacterium|s__paucivorans	0.696084751	0.120879121
g__Helicobacter|s__ganmani	0.45899199	0.225274725
g__Ruminococcus|s__lactaris	0.151600445	0.423076923
g__Hyphomicrobium|s__zavarzinii	1	0
g__Parabacteroides|s__gordonii	0.891846567	0.043956044
g__Shinella|s__granuli	0.279926505	-0.324175824
g__Microbispora|s__rosea	0.834785888	0.065934066
g__Veillonella|s__dispar	0.288554526	-0.318681319
g__Clostridium|s__lavalense	0.591181304	-0.164835165
g__Paracoccus|s__marcusii	0.40432821	0.252747253
g__Stenotrophomonas|s__acidaminiphila	0.978311454	0.010989011
g__Psychrobacter|s__celer	0.529184737	-0.192307692
g__Clostridium|s__cocleatum	0.297341476	-0.313186813
g__Rothia|s__aeria	0.723248149	0.10989011
g__Ruminococcus|s__flavefaciens	0.642828943	-0.142857143
g__Rothia|s__nasimurium	0.383492244	-0.263736264
g__Streptococcus|s__luteciae	0.45899199	-0.225274725
g__Bacillus|s__flexus	0.436693258	-0.236263736
g__Rothia|s__amarae	0.517155182	0.197802198
