cpg	taxa	a	b	cor	ci
cg11931223	Staphylococcus	TDRD6	TSS200	0.602147917476801	-0.000431866384179477
cg05304507	Curvibacter	FRK	TSS200	0.473456227196103	-0.00129118036352948
cg16750914	Alistipes	CCDC88A	5'UTR	0.477955761916874	-0.000268761328881768
cg16750914	Alistipes	CCDC88A	1stExon	0.477955761916874	-0.000268761328881768
cg04539574	Staphylococcus	MYO10	TSS1500	0.56264017599088	-7.10693404205647e-05
cg25987171	Staphylococcus	SPDYC	TSS200	0.332944306519367	1.89157778396404e-05
cg01332054	Staphylococcus	STRA6	5'UTR	0.535866948327671	-0.000644669186641786
cg12179353	Lachnoclostridium	FAM151A	1stExon	0.560988205631546	5.2868389660352e-05
cg12179353	Lachnoclostridium	FAM151A	5'UTR	0.560988205631546	5.2868389660352e-05
cg24020398	Anaerostipes	CCND1	TSS200	0.0334328493369335	-0.000132053253881675
cg04351049	Staphylococcus	LMX1A	TSS1500	0.996982989336838	-5.69879206963696e-05
cg02071553	Planctopirus	MIR216B	TSS1500	0.553251836503519	-0.00582134597900302
cg13025668	Anaerostipes	POMC	TSS200	0.58233214840276	-0.000311581811731053
cg19108736	Prevotella	MAPT	5'UTR	0.349267630467618	-8.22600202271108e-06
cg10058920	Curvibacter	PDYN	TSS200	0.250408760013285	0.00022389016075926
cg01591227	Staphylococcus	TAF6L	TSS1500	0.3109156401975	-5.53044247637179e-05
cg21783729	Staphylococcus	LPHN2	5'UTR	0.993763494584111	-0.000118461197591795
cg18818563	Lachnoclostridium	ZNF266	1stExon	0.60987925844998	-9.30647378088266e-05
cg18818563	Lachnoclostridium	ZNF266	5'UTR	0.60987925844998	-9.30647378088266e-05
cg22685369	Prevotella	SLC35F3	TSS1500	0.373471926221511	1.59995972113112e-06
cg22457903	Anaerostipes	L3MBTL1	TSS1500	0.396089156640155	8.64507467146916e-05
cg04380955	Staphylococcus	ABCA6	TSS1500	0.483074477480352	-0.000553829885780153
cg00293936	Staphylococcus	POMC	5'UTR	0.781475353618915	-0.000221761182242448
cg00293936	Staphylococcus	POMC	1stExon	0.781475353618915	-0.000221761182242448
cg08012672	Cylindrospermopsis	RDM1	TSS1500	0.409617229690238	0.000171378831416916
cg21510892	Staphylococcus	SHH	5'UTR	0.316954474830187	-0.000339945353204484
cg21510892	Staphylococcus	SHH	1stExon	0.316954474830187	-0.000339945353204484
cg21819604	Staphylococcus	ZNF691	5'UTR	0.514597554131824	-0.000173618911064
cg10011623	Staphylococcus	GNAS	TSS1500	0.450296825128176	-0.000601879658919637
cg01678580	Prevotella	MGRN1	TSS1500	0.415668610582325	-4.05576512791814e-06
cg07676273	Staphylococcus	EPB41L4A	TSS200	0.55406429813078	-0.000120980666540385
cg07676273	Staphylococcus	FLJ11235	TSS1500	0.55406429813078	-0.000120980666540385
cg05594872	Staphylococcus	TRIM27	TSS1500	0.857753592699841	6.29652329451329e-05
cg07760773	Lachnoclostridium	LTB4R2	1stExon	0.484867908819049	0.000223340045642341
cg07760773	Lachnoclostridium	LTB4R	TSS1500	0.484867908819049	0.000223340045642341
cg07760773	Lachnoclostridium	CIDEB	1stExon	0.484867908819049	0.000223340045642341
cg07760773	Lachnoclostridium	CIDEB	5'UTR	0.484867908819049	0.000223340045642341
cg04579398	Pseudomonas	SDHAF1	TSS1500	0.556750444329266	0.000533574591316177
cg25893869	Staphylococcus	SRSF11	5'UTR	0.389964569286759	-0.000115531890917282
cg13770361	Lachnoclostridium	BAG6	TSS1500	0.415837833706452	-0.000315359682087399
cg07980469	Staphylococcus	PCDH9	TSS200	0.406062811463457	-6.37577837574276e-05
cg04245935	Staphylococcus	DPYSL3	TSS1500	0.351427093496956	-7.79827475567423e-05
cg16817034	Staphylococcus	GMEB1	TSS200	0.612506583063313	-0.000113934577355718
cg03804136	Staphylococcus	SEPT9	TSS200	0.308154126239038	-0.000152371068715185
cg03804136	Staphylococcus	SEPT9	5'UTR	0.308154126239038	-0.000152371068715185
cg12755421	Curvibacter	PRKCDBP	TSS1500	0.349773376480387	0.000364622989822387
cg17445145	Tetrasphaera	ZNF141	TSS1500	0.474902810780187	0.000141384769908547
cg18617860	Anaerostipes	SNAP25	5'UTR	0.151094637097538	-0.000824309326101534
cg08681365	Staphylococcus	SPAG1	TSS1500	0.605375244071875	-0.000193598631194997
cg09158990	Lachnoclostridium	WNT1	TSS200	0.38437294313326	-6.18401407145502e-05
cg02744536	Staphylococcus	HELT	TSS1500	0.991525322142686	-0.000347034948034616
cg02486351	Lachnoclostridium	BACH2	5'UTR	0.477891926850338	-7.30734348469638e-05
cg15730313	Tetrasphaera	LRRC14B	1stExon	0.306878096755436	5.87055101312171e-05
cg15730313	Tetrasphaera	LRRC14B	5'UTR	0.306878096755436	5.87055101312171e-05
cg20469799	Lactobacillus	KATNAL2	TSS200	-0.081344802873643	2.61071462774429e-05
cg01587049	Anaerostipes	MIR329-2	TSS1500	0.482037412492083	-0.000111862581158494
cg01587049	Anaerostipes	MIR329-1	TSS1500	0.482037412492083	-0.000111862581158494
cg02396005	Erysipelatoclostridium	LPCAT1	TSS1500	0.629479613638242	-0.000447165470188838
cg21634104	Cylindrospermopsis	ELP6	TSS1500	0.463421618867551	0.000148143142020586
cg24080577	Staphylococcus	HS3ST1	1stExon	0.393789270877501	-9.92556335508853e-05
cg24080577	Staphylococcus	HS3ST1	5'UTR	0.393789270877501	-9.92556335508853e-05
cg00883329	Lachnoclostridium	BMP4	5'UTR	0.382456736832777	-0.000252199842291722
cg00883329	Lachnoclostridium	BMP4	TSS1500	0.382456736832777	-0.000252199842291722
cg26445292	Lachnoclostridium	CACNB4	TSS1500	0.626877659522366	-3.13558684156345e-05
cg26445292	Lachnoclostridium	CACNB4	TSS200	0.626877659522366	-3.13558684156345e-05
cg17443299	Staphylococcus	RNGTT	TSS1500	0.473900656478004	-0.000100530784501258
cg03443751	Lachnoclostridium	ZNF829	TSS1500	0.461927549217388	-0.000114325478407311
cg03443751	Lachnoclostridium	ZNF568	5'UTR	0.461927549217388	-0.000114325478407311
cg03443751	Lachnoclostridium	ZNF568	1stExon	0.461927549217388	-0.000114325478407311
cg27200446	Prevotella	MDFI	5'UTR	0.585010101987228	8.59277891635097e-07
cg22834998	Lachnoclostridium	STC2	5'UTR	0.594582000111994	-0.000318974195446124
cg22834998	Lachnoclostridium	STC2	1stExon	0.594582000111994	-0.000318974195446124
cg10927510	Corynebacterium	GMEB2	TSS1500	0.307684597637764	-8.54414774065454e-05
cg07873812	Lachnoclostridium	ZNF419	TSS200	0.0291679522648317	-3.2423959130588e-05
cg16704739	Campylobacter	ZNF148	5'UTR	0.328026397916211	7.98049537693393e-05
cg01813761	Nocardia	RPPH1	TSS1500	0.680687497929642	0.000614823989935704
cg06410746	Tetrasphaera	NKAIN3	1stExon	0.425439420571795	0.000106588204198504
cg22719559	Staphylococcus	C20orf194	TSS200	0.482219543392259	-4.88903111852931e-05
cg10979181	Cylindrospermopsis	CHRM2	5'UTR	0.301761840996092	4.51814037647795e-05
cg10979181	Cylindrospermopsis	MIR490	TSS1500	0.301761840996092	4.51814037647795e-05
cg01754028	Staphylococcus	TANC1	5'UTR	0.364721948017335	-0.000210265640892004
cg24397552	Staphylococcus	EIF2AK4	TSS1500	0.568918328100007	-7.4567651659867e-05
cg06460869	Achromatium	VIM	TSS200	0.262104516361647	0.000653392016997677
cg27405010	Prevotella	HSBP1	TSS1500	0.33918593119535	-1.39135902361055e-05
cg22605822	Anaerostipes	DNMT3B	5'UTR	0.402696112969751	8.85752503763247e-05
cg22605822	Anaerostipes	DNMT3B	1stExon	0.402696112969751	8.85752503763247e-05
cg18482367	Sphaerimonospora	SNORD114-31	TSS1500	0.996252302763292	-0.000234625840962173
cg23808704	Lachnoclostridium	CLDN14	5'UTR	0.620896537711772	8.45859848441981e-05
cg23808704	Lachnoclostridium	CLDN14	TSS1500	0.620896537711772	8.45859848441981e-05
cg26393294	Anaerostipes	NPAS3	TSS200	0.651360242965632	1.51604895765922e-05
cg00598730	Tetrasphaera	C16orf74	5'UTR	0.481904976380114	9.63282905315033e-06
cg16696645	Staphylococcus	RNF150	TSS200	0.515876848428938	-8.94744356355083e-05
cg20650513	Staphylococcus	TOM1L2	TSS200	0.430109009960104	-3.0881934323603e-05
cg20650513	Staphylococcus	LRRC48	TSS200	0.430109009960104	-3.0881934323603e-05
cg14453949	Tetrasphaera	SEPT8	5'UTR	0.481065945217783	9.08011321594016e-05
cg18757974	Staphylococcus	CRHR1	TSS1500	0.490338647877137	-0.000206626960602549
cg24998770	Staphylococcus	NME8	TSS200	0.406692661883902	0.000234560954390246
cg24739098	Prevotella	RASGRF1	1stExon	0.50100020124048	-1.2551070987149e-05
cg24739098	Prevotella	RASGRF1	5'UTR	0.50100020124048	-1.2551070987149e-05
cg02926397	Tetrasphaera	LY6D	TSS1500	0.377276299820019	-0.00040764350334004
cg15720343	Rhizobacter	INTS9	TSS1500	0.362287562190652	0.000606880586892096
cg15720343	Rhizobacter	HMBOX1	5'UTR	0.362287562190652	0.000606880586892096
cg19748341	Tetrasphaera	ACSF2	TSS200	0.888297444400072	-3.57808344465093e-05
cg12926589	Campylobacter	SCN5A	TSS1500	0.209316090381337	8.22159116585466e-05
cg03683031	Catellicoccus	PCGF3	TSS200	0.991863363584755	-0.000115856205741766
cg15300436	Eubacterium	LOC730811	TSS1500	0.292693684020034	-0.00971690051755476
cg15300436	Eubacterium	MYT1L	5'UTR	0.292693684020034	-0.00971690051755476
cg01468193	Cylindrospermopsis	DEFB134	TSS200	0.545250946856391	0.000273521520067819
cg23562675	Planctopirus	C2orf76	5'UTR	0.609826824775495	-0.00795329675468577
cg13113599	Lachnoclostridium	SOLH	5'UTR	0.147666674663578	0.000115782425636304
cg26599373	Planctopirus	IL17B	TSS1500	0.319762232946876	-0.00485771775519584
cg20880031	Staphylococcus	RELN	TSS1500	0.501129306755099	-0.00104409907794868
cg05126887	Staphylococcus	COL21A1	TSS200	0.187602589216382	-0.000278558439137818
cg18699242	Tetrasphaera	USP18	TSS1500	0.42753202062361	0.000218295248375219
cg18873439	Planctopirus	C18orf54	TSS200	0.203778499106102	0.000670228264457266
cg22946876	Staphylococcus	RASSF8	TSS1500	0.472541906594295	-5.23756005531772e-05
cg23535596	Staphylococcus	TFAP2A	TSS1500	0.578463777190736	-0.000457979397655413
cg06549216	Tetrasphaera	SFRP2	5'UTR	0.288747534855484	4.92682392287576e-05
cg06549216	Tetrasphaera	SFRP2	1stExon	0.288747534855484	4.92682392287576e-05
cg22284448	Lachnoclostridium	CENPA	TSS1500	0.585206533549506	-0.00122718462525165
cg22861965	Staphylococcus	AAAS	TSS1500	0.44775523903395	-0.000106215454511331
cg24304268	Corynebacterium	AMIGO1	TSS1500	0.370457301352773	-1.49707393817655e-05
cg07012128	Lactobacillus	DLGAP2	TSS1500	0.556537440812738	-0.000549557448252087
cg20243285	Lachnoclostridium	KLF17	TSS200	0.611941844615836	9.93836812932213e-06
cg14271531	Tetrasphaera	ID4	1stExon	0.275724507309322	9.77153387543377e-05
cg14271531	Tetrasphaera	ID4	5'UTR	0.275724507309322	9.77153387543377e-05
cg21917349	Anaerostipes	APBA2	5'UTR	0.586124853952107	0.000104623300016287
cg21917349	Anaerostipes	APBA2	1stExon	0.586124853952107	0.000104623300016287
cg20550677	Lachnoclostridium	BIK	TSS1500	0.39562541544578	-0.000193621437846339
cg17363540	Tetrasphaera	APLNR	1stExon	0.493896102682975	-0.000596873850932323
cg10137253	Cylindrospermopsis	MIR300	TSS200	0.465456138673906	0.000291632361454495
cg08571203	Cutibacterium	FOXJ2	1stExon	0.52562051450805	-1.95766927470892e-05
cg08571203	Cutibacterium	FOXJ2	5'UTR	0.52562051450805	-1.95766927470892e-05
cg07176410	Pseudomonas	CPA6	5'UTR	0.414722698398878	-0.000401577278945985
cg05433642	Eubacterium	MBNL2	TSS1500	0.650429608829888	0.0017036369393538
cg23080733	Staphylococcus	DDAH1	5'UTR	0.397504858833053	-0.000107069622601394
cg17934790	Prevotella	CLEC17A	TSS200	0.375534777771264	-1.41841670531402e-05
cg22530293	Lachnoclostridium	PANK4	TSS1500	0.472852105455006	-8.55543984294053e-05
cg16459103	Eubacterium	KLHL35	TSS200	0.522313035142151	-0.00381482091637351
cg17399362	Staphylococcus	EPHX3	5'UTR	0.287313346458289	-0.000311428459869778
