N1	T1	N2	T2	N3	T3	N4	T4	N5	T5	N6	T6	N7	T7	N8	T8	N9	T9	N10	T10	N11	T11	N12	T12	N13	T13
chr1:37160577	0.466666666666667	0	0.461538461538462	0.166666666666667	0	0	0.833333333333333	0	0	0.0909090909090909	0.461538461538462	0	0	0	0.538461538461538	0.214285714285714	0.5	0.357142857142857	0	0	0.421052631578947	0	0.666666666666667	0.0909090909090909	0	0
chr1:55945055	0.916666666666667	0	0	0.2	0.909090909090909	0	0.923076923076923	0	0.818181818181818	0	0	0	1	0.545454545454545	0.833333333333333	0	0.933333333333333	0	0.909090909090909	0.428571428571429	0.764705882352941	0.285714285714286	0	0	1	0.846153846153846
chr1:66051173	0.75	0.789473684210526	0.764705882352941	0	0.857142857142857	0.266666666666667	0.75	0	0.8	0	0	0	0	0.923076923076923	0.571428571428571	0.166666666666667	0.8125	0	0	0	0.666666666666667	0.263157894736842	0.933333333333333	0	0.692307692307692	0.631578947368421
chr1:66751535	0.733333333333333	0.333333333333333	0.916666666666667	0.823529411764706	0.8	0.5	0	0	0.866666666666667	0	0.666666666666667	0.916666666666667	0	0.727272727272727	0	0	0	0	0	0.75	0.727272727272727	0.647058823529412	0.923076923076923	0	0	0
chr1:69918532	0.666666666666667	0.25	0.48	0.153846153846154	0.75	0.277777777777778	0.565217391304348	0.166666666666667	0.6	0.272727272727273	0.75	0.333333333333333	0.833333333333333	0.76	0.565217391304348	0.333333333333333	0.523809523809524	0.4	0.689655172413793	0.269230769230769	0.625	0.2	0.523809523809524	0.2	0.7	0.32
chr1:69918685	0.636363636363636	0.285714285714286	0.413793103448276	0.0555555555555556	0.5	0.35	0.5	0.133333333333333	0.571428571428571	0.0833333333333333	0.451612903225806	0.28	0.810810810810811	0.133333333333333	0.433333333333333	0.16	0.521739130434783	0.314285714285714	0.518518518518518	0.115384615384615	0.4	0.193548387096774	0.333333333333333	0.08	0.538461538461538	0.25
chr1:69918778	0.631578947368421	0.5	0.7	0.733333333333333	0.7	0.45	0.5625	0.307692307692308	0.526315789473684	0.0769230769230769	0.756756756756757	0.44	0.875	0.642857142857143	0.689655172413793	0.533333333333333	0.75	0.321428571428571	0.791666666666667	0.12	0.533333333333333	0.277777777777778	0.695652173913043	0.894736842105263	0.740740740740741	0.4375
chr1:73305492	0.590909090909091	0.333333333333333	0.5	0.285714285714286	0.814814814814815	0.409090909090909	0.695652173913043	0.214285714285714	0.68	0.0625	0.513513513513513	0.24	0.95	0.375	0.612903225806452	0.303030303030303	0.6875	0.361702127659574	0.621621621621622	0.333333333333333	0.542857142857143	0.355555555555556	0.580645161290323	0.35	0.76	0.518518518518518
chr1:73305493	0.75	0.266666666666667	0.545454545454545	0	0.642857142857143	0.307692307692308	0.714285714285714	0.333333333333333	0.6875	0	0.615384615384615	0.111111111111111	0.846153846153846	0.375	0	0.142857142857143	0.65	0.277777777777778	0.857142857142857	0.25	0.548387096774194	0.4375	0.647058823529412	0	0.714285714285714	0.388888888888889
chr1:76010933	0.933333333333333	0.916666666666667	0.714285714285714	0.454545454545455	1	0.636363636363636	1	0	0.642857142857143	0.25	0	0	0.8125	0.578947368421053	0.789473684210526	0.692307692307692	0.692307692307692	0.333333333333333	0.769230769230769	0.6	0.761904761904762	0.5	0.863636363636364	0.266666666666667	0.823529411764706	0
chr1:76010936	0.928571428571429	0.916666666666667	0.733333333333333	0	0.888888888888889	0.583333333333333	1	0	0.666666666666667	0.25	0	0	1	0.526315789473684	0.736842105263158	0.461538461538462	0.615384615384615	0.416666666666667	0.75	0.45	0.681818181818182	0.416666666666667	0.857142857142857	0.266666666666667	0.888888888888889	0
chr1:76011084	0.466666666666667	0.181818181818182	0.25	0.125	0.785714285714286	0.375	0.785714285714286	0.230769230769231	0.833333333333333	0.142857142857143	0.875	0.0714285714285714	0.8	0	0.533333333333333	0.2	0.529411764705882	0.444444444444444	0.615384615384615	0.285714285714286	0.722222222222222	0.357142857142857	0.695652173913043	0	0.692307692307692	0
chr1:80535065	0.375	0.2	0.642857142857143	0.0625	0	0	0	0	0.5	0	0.384615384615385	0.0714285714285714	0.714285714285714	0.333333333333333	0.473684210526316	0.25	0.722222222222222	0.235294117647059	0.409090909090909	0.0714285714285714	0.5	0.304347826086957	0.3	0	0.571428571428571	0.363636363636364
chr1:81799475	0.909090909090909	0.333333333333333	0.533333333333333	0.307692307692308	0.714285714285714	0	0.428571428571429	0	0.545454545454545	0.214285714285714	0.647058823529412	0.266666666666667	0.733333333333333	0.615384615384615	0.611111111111111	0.166666666666667	0.545454545454545	0.5	0.470588235294118	0.416666666666667	0.470588235294118	0.555555555555556	0.666666666666667	0.230769230769231	0.833333333333333	0.75
