	V1	gene	taxa	r.sqr	r.sqr.adj	beta	pval	padj	ci.lower	ci.upper	sigma	sigma.flag	id	id	annt	gene	type
1	13875	chr1:159170687	f__Coriobacteriaceae|g__Slackia	0.496049802	0.395259763	0.172413508	0.000180014	0.026822132	0.181132252	0.578779784	0.308490645	0	chr1:159170687:f__Coriobacteriaceae|g__Slackia	chr1:159170687	promoter-TSS (NM_021189)	CADM3	protein-coding
2	23445	chr1:199019212	f__Lachnospiraceae|g__Clostridium	0.459621143	0.351545371	0.329306985	0.000268673	0.040032244	0.379946585	1.264468076	0.341752338	0	chr1:199019212:f__Lachnospiraceae|g__Clostridium	chr1:199019212	promoter-TSS (NR_110525)	LINC01222	ncRNA
3	26636	chr1:215005328	f__Geobacteraceae|g__Geobacter	0.58206418	0.498477017	0.055463928	8.56E-06	0.001275782	0.068333262	0.175879836	0.168444517	0	chr1:215005328:f__Geobacteraceae|g__Geobacter	chr1:215005328	promoter-TSS (NM_001017424)	KCNK2	protein-coding
4	34750	chr1:248202872	f__Paenibacillaceae|g__Brevibacillus	0.746758233	0.66234431	0.011832744	5.13E-06	0.000764846	0.011734969	0.029432096	0.038836264	0	chr1:248202872:f__Paenibacillaceae|g__Brevibacillus	chr1:248202872	promoter-TSS (NM_001004689)	OR2M3	protein-coding
5	72490	chr11:89709915	f__[Mogibacteriaceae]|g__Mogibacterium	0.980837082	0.967149283	-0.175767699	2.03E-06	0.000303166	-0.277098578	-0.115217747	0.120439644	0	chr11:89709915:f__[Mogibacteriaceae]|g__Mogibacterium	chr11:89709915	promoter-TSS (NM_001271942)	TRIM77	protein-coding
6	73091	chr11:101520620	f__[Tissierellaceae]|g__Sporanaerobacter	0.665778329	0.554371106	-0.09565649	0.000132322	0.019716015	-0.245421032	-0.07903867	0.17441017	0	chr11:101520620:f__[Tissierellaceae]|g__Sporanaerobacter	chr11:101520620	promoter-TSS (NR_037485)	MIR3920	ncRNA
7	76199	chr11:124022155	f__Lachnospiraceae|g__Ruminococcus	0.55796283	0.469555396	0.021841978	0.00052288	0.077909055	0.021004986	0.075577244	0.130507102	0	chr11:124022155:f__Lachnospiraceae|g__Ruminococcus	chr11:124022155	promoter-TSS (NM_001001953)	OR10G9	protein-coding
8	82350	chr12:8513107	f__Sphingomonadaceae|g__Sphingomonas	0.560744596	0.520812287	-0.080356709	0.000139665	0.020810136	-0.308233284	-0.098784498	0.103045786	0	chr12:8513107:f__Sphingomonadaceae|g__Sphingomonas	chr12:8513107	promoter-TSS (NM_080387)	CLEC4D	protein-coding
9	111408	chr12:90956077	f__Alcaligenaceae|g__Sutterella	0.527218209	0.43266185	-0.087479	0.0004164	0.062043575	-0.31697634	-0.090627791	0.168768456	0	chr12:90956077:f__Alcaligenaceae|g__Sutterella	chr12:90956077	promoter-TSS (NM_152638)	CCER1	protein-coding
10	120622	chr13:29023962	f__[Tissierellaceae]|g__Sporanaerobacter	0.466587342	0.418095282	-0.048984682	0.000310472	0.046260362	-0.176747985	-0.052279096	0.130474407	0	chr13:29023962:f__[Tissierellaceae]|g__Sporanaerobacter	chr13:29023962	promoter-TSS (NM_001033602)	MTUS2	protein-coding
11	136482	chr13:62807416	f__Deinococcaceae|g__Deinococcus	0.665502588	0.55400345	0.046765519	7.39E-06	0.001100554	0.043772663	0.111800705	0.092237852	0	chr13:62807416:f__Deinococcaceae|g__Deinococcus	chr13:62807416	promoter-TSS (NR_120403)	LINC00448	ncRNA
12	139365	chr13:66977286	f__Lachnospiraceae|g__Anaerostipes	0.74709031	0.620635464	0.073658806	0.000523252	0.077964556	0.053155439	0.191274083	0.159602452	0	chr13:66977286:f__Lachnospiraceae|g__Anaerostipes	chr13:66977286	promoter-TSS (NR_046636)	PCDH9-AS3	ncRNA
13	193492	chr15:51242057	f__Fusobacteriaceae|g__Fusobacterium	0.694487133	0.63338456	0.317158391	6.44E-06	0.000958847	0.286272088	0.726061665	0.314340614	0	chr15:51242057:f__Fusobacteriaceae|g__Fusobacterium	chr15:51242057	promoter-TSS (NR_039863)	MIR4713	ncRNA
14	209887	chr19:47950220	f__Brucellaceae|g__Ochrobactrum	0.895048865	0.820083769	0.022132649	0.000100193	0.014928798	0.017989911	0.054525316	0.070154387	0	chr19:47950220:f__Brucellaceae|g__Ochrobactrum	chr19:47950220	promoter-TSS (NR_024221)	SNAR-C3	snRNA
15	212796	chr19:56205324	f__Porphyromonadaceae|g__Parabacteroides	0.485246676	0.382296012	-0.134161593	0.00060302	0.089850003	-0.750585018	-0.204736944	0.2662423	0	chr19:56205324:f__Porphyromonadaceae|g__Parabacteroides	chr19:56205324	promoter-TSS (NM_001358413)	ZSCAN5C	protein-coding
16	240149	chr2:206718513	f__Oxalobacteraceae|g__Cupriavidus	0.852863353	0.839487294	-0.063168241	4.07E-06	0.000606274	-0.125314112	-0.050521512	0.09657407	0	chr2:206718513:f__Oxalobacteraceae|g__Cupriavidus	chr2:206718513	promoter-TSS (NM_001093730)	DYTN	protein-coding
17	260440	chr21:23079048	f__Moraxellaceae|g__Psychrobacter	0.82005391	0.803695175	-0.056464715	2.64E-05	0.003927168	-0.135494153	-0.049311639	0.099120686	0	chr21:23079048:f__Moraxellaceae|g__Psychrobacter	chr21:23079048	promoter-TSS (NR_106746)	MIR6130	ncRNA
