cpg	taxa	a	b	cor	ci
cg01377807	Lachnoclostridium	FILIP1L	5'UTR	0.535632703138234	0.0013204375590983
cg04730925	Chryseobacterium	POLI	TSS200	0.360917788190643	5.35698186143453e-05
cg09996076	Curvibacter	HSD3B7	TSS1500	0.786316451968228	-0.0024167986056604
cg09996076	Clostridium	HSD3B7	TSS1500	0.786316451968228	-0.000993300903611019
cg03962809	Chryseobacterium	CFLAR	5'UTR	0.249845371889269	0.000500854970416851
cg03962809	Chryseobacterium	CFLAR	TSS200	0.249845371889269	0.000500854970416851
cg03356490	Campylobacter	FXYD3	TSS1500	0.454118923237022	-0.00140005583684872
cg02539855	Bacillus	LY6H	1stExon	0.190262467404111	0.0288425735758795
cg02539855	Bacillus	LY6H	5'UTR	0.190262467404111	0.0288425735758795
cg10834038	Cylindrospermopsis	WDTC1	5'UTR	0.299173520828709	-0.0113677429990146
cg09459339	Stenotrophomonas	CD96	TSS200	0.288001096667382	0.0020726267516317
cg24569624	Stenotrophomonas	CCKBR	TSS200	0.810918341055801	0.00317544027603931
cg07537206	Stenotrophomonas	STX1B	TSS1500	0.469813207004646	0.00304719815707948
cg21158815	Planococcus	BATF	TSS200	0.324016939453389	-0.113767466300826
cg16931465	Cylindrospermopsis	ZBTB2	TSS1500	0.492530827638378	-0.000968758659118906
cg11228197	Paenibacillus	EPS8L2	5'UTR	0.481688069243784	-0.00184155547261339
cg17498272	Lachnoclostridium	A1BG	TSS200	0.380899457069663	0.00111750578783371
cg15645309	Planococcus	BATF	TSS200	0.304083603990358	-0.134399235974087
cg06524630	Clostridium	SLC26A9	TSS1500	0.632739313722327	-0.000780051657607157
cg08575696	Lachnoclostridium	CABP1	TSS1500	0.340854934766393	-0.00625324556144595
cg04033580	Lachnoclostridium	ADORA2A-AS1	TSS1500	0.584836310976057	-0.0020427862059979
cg04033580	Clostridium	ADORA2A-AS1	TSS1500	0.584836310976057	-0.000775213934356585
cg22403811	Kurthia	RALYL	5'UTR	0.529098952165469	-0.00478389781477727
cg22403811	Kurthia	RALYL	TSS1500	0.529098952165469	-0.00478389781477727
cg22403811	Kurthia	RALYL	1stExon	0.529098952165469	-0.00478389781477727
cg04442388	Stenotrophomonas	HECW1	TSS1500	0.633210205130227	0.00263028290961749
cg10705800	Kurthia	CITED4	TSS1500	0.569750763098126	0.00190674081034703
cg24251035	Kurthia	ZC3HAV1L	TSS1500	0.659765513838537	0.00312749941374008
cg03327307	Chryseobacterium	MGST2	TSS200	0.498604840765138	-0.000289925237869594
cg21293464	Ralstonia	KDM2A	TSS1500	0.177360278842403	0.00320271444737336
cg17993442	Gemmata	ZBTB44	5'UTR	0.264200785142953	-0.00318520177135179
cg16000227	Stenotrophomonas	VCAN	TSS1500	0.39075778222253	0.00125900817157958
cg19646112	Lachnoclostridium	ADCY4	TSS1500	0.300296754505818	-0.00724459308434431
cg13936387	Ralstonia	RNASEH2A	TSS1500	0.318434794632989	0.000785167927856698
cg14361672	Catellicoccus	PKN3	TSS1500	0.286099287589739	-0.0262379687893902
cg02231052	Cylindrospermopsis	SNORD15A	TSS200	0.254090731736688	-0.00630625458805658
cg10330885	Clostridium	MVD	TSS1500	0.267251323477732	0.00014537587076848
cg13579205	Ralstonia	MAN2A2	1stExon	0.389377060616308	0.00141061917222099
cg00881010	Ralstonia	NHLH1	TSS200	0.432820924017443	0.00190991844149664
cg13845338	Bacillus	ZSWIM5	TSS1500	0.491518828305118	0.00621808038376331
cg07738533	Stenotrophomonas	PPM1M	TSS1500	0.5517255374166	0.00327775006932805
cg07918726	Bacillus	SCRT1	TSS200	0.158590162487996	0.0154144524364691
cg02609127	Stenotrophomonas	DIO3	TSS1500	0.603283197912772	0.00355048511599637
cg14178306	Asinibacterium	MIR29B1	TSS1500	0.592185046751281	-0.00174739531088017
cg14178306	Asinibacterium	MIR29A	TSS1500	0.592185046751281	-0.00174739531088017
cg05258261	Bacillus	SPSB4	TSS200	0.153280335252398	0.0247365691553203
cg09795569	Stenotrophomonas	DYRK3	5'UTR	0.359198539472658	0.00315743501879583
cg17264271	Stenotrophomonas	ESR1	5'UTR	0.210749724803039	0.00157825374098269
cg17264271	Stenotrophomonas	ESR1	1stExon	0.210749724803039	0.00157825374098269
cg25426815	Ralstonia	PCDHGB5	TSS1500	0.506750584413513	0.0031352024784297
cg05240570	Ralstonia	PDE4A	1stExon	0.655468983226721	0.00250971072565823
cg00005166	Lachnoclostridium	OR1F2P	TSS1500	0.283093639086736	0.00249516952508845
cg24413879	Curvibacter	HMGXB4	TSS1500	0.581744320813526	0.00166968376086143
cg09661503	Erysipelatoclostridium	SLC6A7	TSS1500	0.138884344942014	-0.000791773001647566
cg22629065	Kurthia	OR8H1	TSS1500	0.553029639000215	0.00102723653721936
cg06393227	Stenotrophomonas	COX6B2	TSS200	0.672957939926	0.00131386273292489
cg09729598	Campylobacter	CDH6	TSS1500	0.495070280196567	-0.0103136132318877
cg16755630	Curvibacter	GABRB1	TSS200	0.432853497812037	0.0026685377296409
