V1	gene	taxa	r.sqr	r.sqr.adj	pval	padj	ci.lower	ci.upper	sigma	sigma.flag	id	id	annt	gene	type
1	9826	chr1:169630801	g__Dorea|s__formicigenerans	0.653589530584784	0.538119374113045	5.02868922571871e-05	0.00452582030314684	0.155341596560595	0.446092887093843	0.272924950250507	0	chr1:169630801:g__Dorea|s__formicigenerans	chr1:169630801	promoter-TSS (NM_003005)	SELP	protein-coding
2	18542	chr1:241847719	g__Faecalibacterium|s__prausnitzii	0.793433302006256	0.724577736008341	1.92870875956059e-05	0.00173583788360453	0.00878429682556512	0.0236712202628575	0.0212078389148838	0	chr1:241847719:g__Faecalibacterium|s__prausnitzii	chr1:241847719	promoter-TSS (NM_130398)	EXO1	protein-coding
3	23318	chr10:6634225	g__Bacteroides|s__caccae	0.634943571007438	0.601756622917205	4.65550945799404e-06	0.000418995851219464	-0.113581660368535	-0.045500318192087	0.203223729376262	0	chr10:6634225:g__Bacteroides|s__caccae	chr10:6634225	promoter-TSS (NR_039659).2	MIR4454	ncRNA
4	29408	chr10:85577210	g__Veillonella|s__parvula	0.710871310830329	0.653045572996394	2.94890892672471e-05	0.00265401803405224	-0.108833473730556	-0.0393213796977655	0.0825266428636674	0	chr10:85577210:g__Veillonella|s__parvula	chr10:85577210	promoter-TSS (NR_038986)	GRID1-AS1	ncRNA
5	52898	chr12:10173134	g__Veillonella|s__parvula	0.515029204863688	0.418035045836425	0.000171822230738203	0.0154640007664383	0.118262619392132	0.376203057861907	0.306233882634169	0	chr12:10173134:g__Veillonella|s__parvula	chr12:10173134	promoter-TSS (NM_001172633)	OLR1	protein-coding
6	54137	chr12:10307253	g__Pseudomonas|s__fragi	0.59996632408729	0.46662176544972	9.89095135397819e-05	0.00890185621858037	0.0461383652827945	0.139688376094591	0.242669830932316	0	chr12:10307253:g__Pseudomonas|s__fragi	chr12:10307253	promoter-TSS (NR_147040)	KLRD1	protein-coding
7	57062	chr12:20128116	g__Faecalibacterium|s__prausnitzii	0.716492647941892	0.659791177530271	4.79497956794391e-05	0.00431548161114952	-0.258727977355899	-0.0904070682059705	0.239789150679459	0	chr12:20128116:g__Faecalibacterium|s__prausnitzii	chr12:20128116	promoter-TSS (NR_146523)	LINC02468	ncRNA
8	64637	chr12:64780062	g__Gemmiger|s__formicilis	0.471888944250907	0.423878848273717	0.000187927742326236	0.0169134968093613	-0.14600837567278	-0.0455036241575962	0.215627878201629	0	chr12:64780062:g__Gemmiger|s__formicilis	chr12:64780062	promoter-TSS (NM_001330188)	TBC1D30	protein-coding
9	66062	chr12:81369629	g__Faecalibacterium|s__prausnitzii	0.596071750348365	0.559351000380035	2.03136276467178e-05	0.00182822648820461	-0.214725966451048	-0.0794327664621689	0.192738036420316	0	chr12:81369629:g__Faecalibacterium|s__prausnitzii	chr12:81369629	promoter-TSS (NM_001220480)	PPFIA2	protein-coding
10	67454	chr12:91005581	g__Blautia|s__obeum	0.94302208995025	0.914533134925376	2.3728410757339e-05	0.00213555696816051	-0.133262441206706	-0.0488242950002738	0.0546636212813391	0	chr12:91005581:g__Blautia|s__obeum	chr12:91005581	promoter-TSS (NM_004950)	EPYC	protein-coding
